ticker,official_path,backup_path,status,notes
RVMD,state/v18/price_cache/RVMD.csv,state/v18/price_cache/RVMD.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SATS,state/v18/price_cache/SATS.csv,state/v18/price_cache/SATS.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SCCO,state/v18/price_cache/SCCO.csv,state/v18/price_cache/SCCO.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SCHW,state/v18/price_cache/SCHW.csv,state/v18/price_cache/SCHW.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SE,state/v18/price_cache/SE.csv,state/v18/price_cache/SE.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SEI,state/v18/price_cache/SEI.csv,state/v18/price_cache/SEI.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SFIX,state/v18/price_cache/SFIX.csv,state/v18/price_cache/SFIX.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SFM,state/v18/price_cache/SFM.csv,state/v18/price_cache/SFM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SHOP,state/v18/price_cache/SHOP.csv,state/v18/price_cache/SHOP.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SHW,state/v18/price_cache/SHW.csv,state/v18/price_cache/SHW.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SITM,state/v18/price_cache/SITM.csv,state/v18/price_cache/SITM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SMTC,state/v18/price_cache/SMTC.csv,state/v18/price_cache/SMTC.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SNPS,state/v18/price_cache/SNPS.csv,state/v18/price_cache/SNPS.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
SPOT,state/v18/price_cache/SPOT.csv,state/v18/price_cache/SPOT.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
STG,state/v18/price_cache/STG.csv,state/v18/price_cache/STG.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
STM,state/v18/price_cache/STM.csv,state/v18/price_cache/STM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TEAM,state/v18/price_cache/TEAM.csv,state/v18/price_cache/TEAM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TEVA,state/v18/price_cache/TEVA.csv,state/v18/price_cache/TEVA.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TIGR,state/v18/price_cache/TIGR.csv,state/v18/price_cache/TIGR.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TSEM,state/v18/price_cache/TSEM.csv,state/v18/price_cache/TSEM.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TTD,state/v18/price_cache/TTD.csv,state/v18/price_cache/TTD.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TTMI,state/v18/price_cache/TTMI.csv,state/v18/price_cache/TTMI.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TTWO,state/v18/price_cache/TTWO.csv,state/v18/price_cache/TTWO.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TWLO,state/v18/price_cache/TWLO.csv,state/v18/price_cache/TWLO.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
TWST,state/v18/price_cache/TWST.csv,state/v18/price_cache/TWST.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
U,state/v18/price_cache/U.csv,state/v18/price_cache/U.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
UAL,state/v18/price_cache/UAL.csv,state/v18/price_cache/UAL.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
UBER,state/v18/price_cache/UBER.csv,state/v18/price_cache/UBER.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
UNH,state/v18/price_cache/UNH.csv,state/v18/price_cache/UNH.csv,MISSING_BEFORE_INTEGRATION,No official cache existed before integration.
