ticker,staged_local_price_available,staged_row_count,latest_staged_date,min_staged_date,history_span_days,minimum_history_threshold_met,staged_scan_status
LYFT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MCK,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MELI,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MNTN,TRUE,250,2026-05-20,2025-05-22,363,FALSE,STAGED_INSUFFICIENT_HISTORY
MOH,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MPLX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MPW,FALSE,0,,,0,FALSE,STAGED_EMPTY_DATA
MTSI,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
MTZ,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NAMS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NFLX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NI,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NRG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NTRA,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NU,TRUE,1115,2026-05-20,2021-12-09,1623,TRUE,STAGED_FULL_HISTORY_READY
NUVB,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
NVAX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
OC,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
