priority_rank,ticker,current_output_bucket,trust_level,official_rank_allowed,watch_only,trade_allowed,data_gap_reason,rolling_ledger_status,never_success,stale_or_overdue,official_price_cache_available,factor_present,technical_present,tier_migration_present,held_out_from_previous_batch,previous_hold_reason,batch3_candidate,batch3_priority_rank,selection_reason,exclusion_reason
21,QS,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,21,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
22,QSR,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,22,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
23,RBLX,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,23,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
24,RDDT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,24,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
25,RERE,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,25,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
26,RH,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,26,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
27,RIOT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,27,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
28,RKT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,28,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
29,RNG,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,29,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
30,ROKU,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,30,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
31,RSP,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,31,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
32,RTX,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,TRUE,32,DATA_NOT_READY|NEVER_SUCCESS|MISSING_PRICE_CACHE|MISSING_FACTOR|MISSING_TECHNICAL,
