batch_id,ticker,fetch_status,staged_file_exists,staged_row_count,staged_min_date,staged_max_date,latest_date_age_days,has_required_ohlcv_columns,close_non_null_count,volume_non_null_count,duplicate_date_count,missing_date_or_parse_issue_count,non_positive_close_count,suspicious_large_gap_count,suspicious_return_outlier_count,staged_local_price_scan_success_from_r4,staged_full_history_ready_from_r4,staged_insufficient_history_from_r4,official_price_overlap_found,existing_official_latest_date,staged_newer_than_official,recommended_integration_action,integration_block_reason,quality_grade,classification
V18_23C_BATCH2,CART,SUCCESS,TRUE,670,2023-09-19,2026-05-20,1,TRUE,670,670,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CDNS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CDTX,EMPTY,FALSE,0,,,,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,UNKNOWN,,UNKNOWN,HOLD_REVIEW,Empty provider response.,F,HOLD_EMPTY_FETCH
V18_23C_BATCH2,CFLT,EMPTY,FALSE,0,,,,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,UNKNOWN,,UNKNOWN,HOLD_REVIEW,Empty provider response.,F,HOLD_EMPTY_FETCH
V18_23C_BATCH2,CHPT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CHRW,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CHYM,SUCCESS,TRUE,236,2025-06-12,2026-05-20,1,TRUE,236,236,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,,UNKNOWN,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not factor-ready.,B,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
V18_23C_BATCH2,CLF,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CLH,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,CLSK,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
