ticker,r16_candidate,r17_fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_file_exists,normalized_file_exists,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,partial_history,invalid_artifact,artifact_reason,quality_status,integration_gate_decision,hold_reason,recommended_next_action
STUB,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,171,2025-09-17,2026-05-21,2026-05-21,TRUE,171,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
TEAM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2627,2015-12-09,2026-05-21,2026-05-21,TRUE,2627,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TEVA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,11156,1982-02-16,2026-05-21,2026-05-21,TRUE,11156,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TICKERS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,,,,FALSE,0,0,0,0,FALSE,FALSE,TRUE,Non-ticker artifact from R16 candidate selection.,QUALITY_REVIEW_NEEDED,INVALID_ARTIFACT_EXCLUDE,Non-ticker artifact from R16 candidate selection.,Keep excluded from future Batch3 stock backfill plans.
TIGR,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1804,2019-03-20,2026-05-21,2026-05-21,TRUE,1804,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TLN,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,745,2023-06-02,2026-05-21,2026-05-21,TRUE,745,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
TSEM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7945,1994-10-26,2026-05-21,2026-05-21,TRUE,7945,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TTD,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2430,2016-09-21,2026-05-21,2026-05-21,TRUE,2430,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TTMI,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6452,2000-09-25,2026-05-21,2026-05-21,TRUE,6452,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TTWO,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7322,1997-04-15,2026-05-21,2026-05-21,TRUE,7322,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TWLO,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2492,2016-06-23,2026-05-21,2026-05-21,TRUE,2492,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
TWST,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1898,2018-10-31,2026-05-21,2026-05-21,TRUE,1898,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
U,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1425,2020-09-18,2026-05-21,2026-05-21,TRUE,1425,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
UAL,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,5105,2006-02-06,2026-05-21,2026-05-21,TRUE,5105,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
UBER,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1768,2019-05-10,2026-05-21,2026-05-21,TRUE,1768,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
UNH,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,10479,1984-10-17,2026-05-21,2026-05-21,TRUE,10479,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
