ticker,original_path,backup_path,original_existed,backup_created,restore_action
GOOG,D:\us-tech-quant\state\v18\price_cache\GOOG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GOOG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
GRAB,D:\us-tech-quant\state\v18\price_cache\GRAB.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GRAB.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
GS,D:\us-tech-quant\state\v18\price_cache\GS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
GSG,D:\us-tech-quant\state\v18\price_cache\GSG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GSG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
GT,D:\us-tech-quant\state\v18\price_cache\GT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\GT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
HIVE,D:\us-tech-quant\state\v18\price_cache\HIVE.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\HIVE.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
HLT,D:\us-tech-quant\state\v18\price_cache\HLT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\HLT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
HUBS,D:\us-tech-quant\state\v18\price_cache\HUBS.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\HUBS.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
HUM,D:\us-tech-quant\state\v18\price_cache\HUM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\HUM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
HUT,D:\us-tech-quant\state\v18\price_cache\HUT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\HUT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
IBIT,D:\us-tech-quant\state\v18\price_cache\IBIT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\IBIT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
INFY,D:\us-tech-quant\state\v18\price_cache\INFY.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\INFY.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
ISRG,D:\us-tech-quant\state\v18\price_cache\ISRG.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\ISRG.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
IWM,D:\us-tech-quant\state\v18\price_cache\IWM.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\IWM.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
JCI,D:\us-tech-quant\state\v18\price_cache\JCI.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\JCI.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
JD,D:\us-tech-quant\state\v18\price_cache\JD.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\JD.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
JHX,D:\us-tech-quant\state\v18\price_cache\JHX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\JHX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
KKR,D:\us-tech-quant\state\v18\price_cache\KKR.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\KKR.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
KNX,D:\us-tech-quant\state\v18\price_cache\KNX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\KNX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
KRC,D:\us-tech-quant\state\v18\price_cache\KRC.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\KRC.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
KVYO,D:\us-tech-quant\state\v18\price_cache\KVYO.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\KVYO.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
KWEB,D:\us-tech-quant\state\v18\price_cache\KWEB.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\KWEB.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LBRT,D:\us-tech-quant\state\v18\price_cache\LBRT.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\LBRT.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LCID,D:\us-tech-quant\state\v18\price_cache\LCID.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\LCID.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LHX,D:\us-tech-quant\state\v18\price_cache\LHX.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\LHX.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
LIN,D:\us-tech-quant\state\v18\price_cache\LIN.csv,D:\us-tech-quant\archive\v18\price_cache_backups\V18_23C_R2_20260521_150701\LIN.csv,FALSE,FALSE,DELETE_CREATED_DESTINATION
