ticker,staged_local_price_available,staged_row_count,latest_staged_date,min_staged_date,history_span_days,minimum_history_threshold_met,staged_scan_status
GOOG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
GRAB,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
GS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
GSG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
GT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
HIVE,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
HLT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
HOOD,TRUE,1208,2026-05-20,2021-07-29,1756,TRUE,STAGED_FULL_HISTORY_READY
HTZ,TRUE,1227,2026-05-20,2021-07-01,1784,TRUE,STAGED_FULL_HISTORY_READY
HUBS,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
HUM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
HUT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
IBIT,TRUE,591,2026-05-20,2024-01-11,860,TRUE,STAGED_FULL_HISTORY_READY
INFY,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
INSM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
ISRG,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
IWM,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
JBS,TRUE,235,2026-05-20,2025-06-13,341,FALSE,STAGED_INSUFFICIENT_HISTORY
JCI,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
JD,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
JFROG,FALSE,0,,,0,FALSE,STAGED_FETCH_FAILED
JHX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
KKR,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
KLAR,TRUE,174,2026-05-20,2025-09-11,251,FALSE,STAGED_INSUFFICIENT_HISTORY
KNX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
KRC,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
KVYO,TRUE,669,2026-05-20,2023-09-20,973,TRUE,STAGED_FULL_HISTORY_READY
KWEB,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LBRT,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LCID,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LHX,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
LIN,TRUE,1262,2026-05-20,2021-05-12,1834,TRUE,STAGED_FULL_HISTORY_READY
