ticker,approved_for_integration,staged_normalized_path,official_price_cache_path,r18_quality_status,r18_gate_decision,plan_status,notes
PI,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PI.csv,D:\us-tech-quant\state\v18\price_cache\PI.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PINS,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PINS.csv,D:\us-tech-quant\state\v18\price_cache\PINS.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PLUG,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PLUG.csv,D:\us-tech-quant\state\v18\price_cache\PLUG.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PM.csv,D:\us-tech-quant\state\v18\price_cache\PM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PSIX,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PSIX.csv,D:\us-tech-quant\state\v18\price_cache\PSIX.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PTGX,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTGX.csv,D:\us-tech-quant\state\v18\price_cache\PTGX.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PTON,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PTON.csv,D:\us-tech-quant\state\v18\price_cache\PTON.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PUMP,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PUMP.csv,D:\us-tech-quant\state\v18\price_cache\PUMP.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
PYPL,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PYPL.csv,D:\us-tech-quant\state\v18\price_cache\PYPL.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
QS,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QS.csv,D:\us-tech-quant\state\v18\price_cache\QS.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
QSR,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\QSR.csv,D:\us-tech-quant\state\v18\price_cache\QSR.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RBLX,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RBLX.csv,D:\us-tech-quant\state\v18\price_cache\RBLX.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RERE,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RERE.csv,D:\us-tech-quant\state\v18\price_cache\RERE.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RH,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RH.csv,D:\us-tech-quant\state\v18\price_cache\RH.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RIOT,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RIOT.csv,D:\us-tech-quant\state\v18\price_cache\RIOT.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RKT,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RKT.csv,D:\us-tech-quant\state\v18\price_cache\RKT.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RNG,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RNG.csv,D:\us-tech-quant\state\v18\price_cache\RNG.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
ROKU,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\ROKU.csv,D:\us-tech-quant\state\v18\price_cache\ROKU.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RSP,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RSP.csv,D:\us-tech-quant\state\v18\price_cache\RSP.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RTX,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RTX.csv,D:\us-tech-quant\state\v18\price_cache\RTX.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
RVMD,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RVMD.csv,D:\us-tech-quant\state\v18\price_cache\RVMD.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SATS,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SATS.csv,D:\us-tech-quant\state\v18\price_cache\SATS.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SCCO,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCCO.csv,D:\us-tech-quant\state\v18\price_cache\SCCO.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SCHW,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCHW.csv,D:\us-tech-quant\state\v18\price_cache\SCHW.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SE,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SE.csv,D:\us-tech-quant\state\v18\price_cache\SE.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SEI,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SEI.csv,D:\us-tech-quant\state\v18\price_cache\SEI.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SFIX,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFIX.csv,D:\us-tech-quant\state\v18\price_cache\SFIX.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SFM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFM.csv,D:\us-tech-quant\state\v18\price_cache\SFM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SHOP,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHOP.csv,D:\us-tech-quant\state\v18\price_cache\SHOP.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SHW,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHW.csv,D:\us-tech-quant\state\v18\price_cache\SHW.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SITM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SITM.csv,D:\us-tech-quant\state\v18\price_cache\SITM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SMTC,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SMTC.csv,D:\us-tech-quant\state\v18\price_cache\SMTC.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SNPS,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SNPS.csv,D:\us-tech-quant\state\v18\price_cache\SNPS.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
SPOT,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SPOT.csv,D:\us-tech-quant\state\v18\price_cache\SPOT.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
STG,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STG.csv,D:\us-tech-quant\state\v18\price_cache\STG.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
STM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STM.csv,D:\us-tech-quant\state\v18\price_cache\STM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TEAM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEAM.csv,D:\us-tech-quant\state\v18\price_cache\TEAM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TEVA,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEVA.csv,D:\us-tech-quant\state\v18\price_cache\TEVA.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TIGR,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TIGR.csv,D:\us-tech-quant\state\v18\price_cache\TIGR.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TSEM,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TSEM.csv,D:\us-tech-quant\state\v18\price_cache\TSEM.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TTD,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTD.csv,D:\us-tech-quant\state\v18\price_cache\TTD.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TTMI,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTMI.csv,D:\us-tech-quant\state\v18\price_cache\TTMI.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TTWO,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTWO.csv,D:\us-tech-quant\state\v18\price_cache\TTWO.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TWLO,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWLO.csv,D:\us-tech-quant\state\v18\price_cache\TWLO.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
TWST,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWST.csv,D:\us-tech-quant\state\v18\price_cache\TWST.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
U,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\U.csv,D:\us-tech-quant\state\v18\price_cache\U.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
UAL,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UAL.csv,D:\us-tech-quant\state\v18\price_cache\UAL.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
UBER,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UBER.csv,D:\us-tech-quant\state\v18\price_cache\UBER.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
UNH,TRUE,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UNH.csv,D:\us-tech-quant\state\v18\price_cache\UNH.csv,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,READY,Full-history-only Batch3 integration candidate.
