ticker,integration_attempted,integration_success,backup_status,official_path,row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,full_history_ready,error_message
PUMP,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\PUMP.csv,2308,2017-03-17,2026-05-21,2026-05-21,TRUE,2308,TRUE,
PYPL,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\PYPL.csv,2737,2015-07-06,2026-05-21,2026-05-21,TRUE,2737,TRUE,
QS,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\QS.csv,1448,2020-08-17,2026-05-21,2026-05-21,TRUE,1448,TRUE,
QSR,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\QSR.csv,2877,2014-12-11,2026-05-21,2026-05-21,TRUE,2877,TRUE,
RBLX,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RBLX.csv,1307,2021-03-10,2026-05-21,2026-05-21,TRUE,1307,TRUE,
RERE,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RERE.csv,1237,2021-06-18,2026-05-21,2026-05-21,TRUE,1237,TRUE,
RH,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RH.csv,3407,2012-11-02,2026-05-21,2026-05-21,TRUE,3407,TRUE,
RIOT,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RIOT.csv,2551,2016-03-31,2026-05-21,2026-05-21,TRUE,2551,TRUE,
RKT,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RKT.csv,1455,2020-08-06,2026-05-21,2026-05-21,TRUE,1455,TRUE,
RNG,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RNG.csv,3181,2013-09-27,2026-05-21,2026-05-21,TRUE,3181,TRUE,
ROKU,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\ROKU.csv,2173,2017-09-28,2026-05-21,2026-05-21,TRUE,2173,TRUE,
RSP,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RSP.csv,5802,2003-05-01,2026-05-21,2026-05-21,TRUE,5802,TRUE,
RTX,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RTX.csv,16142,1962-04-02,2026-05-21,2026-05-21,TRUE,16142,TRUE,
RVMD,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\RVMD.csv,1576,2020-02-13,2026-05-21,2026-05-21,TRUE,1576,TRUE,
SATS,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SATS.csv,4626,2008-01-02,2026-05-21,2026-05-21,TRUE,4626,TRUE,
SCCO,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SCCO.csv,7644,1996-01-05,2026-05-21,2026-05-21,TRUE,7644,TRUE,
SCHW,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SCHW.csv,9740,1987-09-22,2026-05-21,2026-05-21,TRUE,9740,TRUE,
SE,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SE.csv,2157,2017-10-20,2026-05-21,2026-05-21,TRUE,2157,TRUE,
SEI,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SEI.csv,2269,2017-05-12,2026-05-21,2026-05-21,TRUE,2269,TRUE,
SFIX,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SFIX.csv,2137,2017-11-17,2026-05-21,2026-05-21,TRUE,2137,TRUE,
SFM,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SFM.csv,3221,2013-08-01,2026-05-21,2026-05-21,TRUE,3221,TRUE,
SHOP,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SHOP.csv,2768,2015-05-20,2026-05-21,2026-05-21,TRUE,2768,TRUE,
SHW,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SHW.csv,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,TRUE,
SITM,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SITM.csv,1633,2019-11-20,2026-05-21,2026-05-21,TRUE,1633,TRUE,
SMTC,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SMTC.csv,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,TRUE,
SNPS,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SNPS.csv,8620,1992-02-26,2026-05-21,2026-05-21,TRUE,8620,TRUE,
SPOT,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\SPOT.csv,2046,2018-04-03,2026-05-21,2026-05-21,TRUE,2046,TRUE,
STG,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\STG.csv,2052,2018-03-23,2026-05-21,2026-05-21,TRUE,2052,TRUE,
STM,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\STM.csv,7915,1994-12-08,2026-05-21,2026-05-21,TRUE,7915,TRUE,
TEAM,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TEAM.csv,2627,2015-12-09,2026-05-21,2026-05-21,TRUE,2627,TRUE,
TEVA,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TEVA.csv,11156,1982-02-16,2026-05-21,2026-05-21,TRUE,11156,TRUE,
TIGR,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TIGR.csv,1804,2019-03-20,2026-05-21,2026-05-21,TRUE,1804,TRUE,
TSEM,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TSEM.csv,7945,1994-10-26,2026-05-21,2026-05-21,TRUE,7945,TRUE,
TTD,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TTD.csv,2430,2016-09-21,2026-05-21,2026-05-21,TRUE,2430,TRUE,
TTMI,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TTMI.csv,6452,2000-09-25,2026-05-21,2026-05-21,TRUE,6452,TRUE,
TTWO,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TTWO.csv,7322,1997-04-15,2026-05-21,2026-05-21,TRUE,7322,TRUE,
TWLO,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TWLO.csv,2492,2016-06-23,2026-05-21,2026-05-21,TRUE,2492,TRUE,
TWST,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\TWST.csv,1898,2018-10-31,2026-05-21,2026-05-21,TRUE,1898,TRUE,
U,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\U.csv,1425,2020-09-18,2026-05-21,2026-05-21,TRUE,1425,TRUE,
UAL,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\UAL.csv,5105,2006-02-06,2026-05-21,2026-05-21,TRUE,5105,TRUE,
UBER,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\UBER.csv,1768,2019-05-10,2026-05-21,2026-05-21,TRUE,1768,TRUE,
UNH,TRUE,TRUE,MISSING_BEFORE_INTEGRATION,D:\us-tech-quant\state\v18\price_cache\UNH.csv,10479,1984-10-17,2026-05-21,2026-05-21,TRUE,10479,TRUE,
