ticker,candidate_priority_rank,fetch_provider,fetch_status,quality_status,raw_row_count,normalized_row_count,min_date,max_date,latest_date,staged_raw_path,staged_normalized_path,error_message
RBLX,23,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1307,1307,2021-03-10,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RBLX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RBLX.csv,
RDDT,24,yfinance,FETCH_SUCCESS_PARTIAL_HISTORY,FETCH_SUCCESS_PARTIAL_HISTORY,544,544,2024-03-21,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RDDT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RDDT.csv,
RERE,25,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1237,1237,2021-06-18,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RERE.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RERE.csv,
RH,26,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,3407,3407,2012-11-02,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RH.csv,
RIOT,27,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2551,2551,2016-03-31,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RIOT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RIOT.csv,
RKT,28,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1455,1455,2020-08-06,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RKT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RKT.csv,
RNG,29,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,3181,3181,2013-09-27,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RNG.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RNG.csv,
ROKU,30,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2173,2173,2017-09-28,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\ROKU.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\ROKU.csv,
RSP,31,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,5802,5802,2003-05-01,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RSP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RSP.csv,
RTX,32,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,16142,16142,1962-04-02,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RTX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RTX.csv,
RVMD,33,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1576,1576,2020-02-13,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RVMD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RVMD.csv,
SATS,34,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,4626,4626,2008-01-02,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SATS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SATS.csv,
SCCO,35,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,7644,7644,1996-01-05,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SCCO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCCO.csv,
SCHW,36,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,9740,9740,1987-09-22,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SCHW.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCHW.csv,
SE,37,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2157,2157,2017-10-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SE.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SE.csv,
SEI,38,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2269,2269,2017-05-12,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SEI.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SEI.csv,
SFIX,39,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2137,2137,2017-11-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SFIX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFIX.csv,
SFM,40,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,3221,3221,2013-08-01,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SFM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFM.csv,
SHOP,41,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2768,2768,2015-05-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SHOP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHOP.csv,
SHW,42,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,11640,11640,1980-03-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SHW.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHW.csv,
SITM,43,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1633,1633,2019-11-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SITM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SITM.csv,
SMTC,44,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,11640,11640,1980-03-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SMTC.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SMTC.csv,
SNPS,45,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,8620,8620,1992-02-26,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SNPS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SNPS.csv,
SOLS,46,yfinance,FETCH_SUCCESS_PARTIAL_HISTORY,FETCH_SUCCESS_PARTIAL_HISTORY,148,148,2025-10-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SOLS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SOLS.csv,
SPOT,47,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2046,2046,2018-04-03,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SPOT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SPOT.csv,
STG,48,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2052,2052,2018-03-23,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STG.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STG.csv,
STM,49,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,7915,7915,1994-12-08,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STM.csv,
STUB,50,yfinance,FETCH_SUCCESS_PARTIAL_HISTORY,FETCH_SUCCESS_PARTIAL_HISTORY,171,171,2025-09-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STUB.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STUB.csv,
TEAM,51,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2627,2627,2015-12-09,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TEAM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEAM.csv,
TEVA,52,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,11156,11156,1982-02-16,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TEVA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEVA.csv,
TICKERS,53,yfinance,QUALITY_REVIEW_NEEDED,QUALITY_REVIEW_NEEDED,0,0,,,,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TICKERS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TICKERS.csv,non-ticker artifact from R16 candidate plan; not fetched
TIGR,54,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1804,1804,2019-03-20,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TIGR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TIGR.csv,
TLN,55,yfinance,FETCH_SUCCESS_PARTIAL_HISTORY,FETCH_SUCCESS_PARTIAL_HISTORY,745,745,2023-06-02,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TLN.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TLN.csv,
TSEM,56,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,7945,7945,1994-10-26,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TSEM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TSEM.csv,
TTD,57,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2430,2430,2016-09-21,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTD.csv,
TTMI,58,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,6452,6452,2000-09-25,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTMI.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTMI.csv,
TTWO,59,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,7322,7322,1997-04-15,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TTWO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TTWO.csv,
TWLO,60,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,2492,2492,2016-06-23,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TWLO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWLO.csv,
TWST,61,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1898,1898,2018-10-31,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TWST.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TWST.csv,
U,62,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1425,1425,2020-09-18,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\U.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\U.csv,
UAL,63,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,5105,5105,2006-02-06,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UAL.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UAL.csv,
UBER,64,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,1768,1768,2019-05-10,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UBER.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UBER.csv,
UNH,65,yfinance,FETCH_SUCCESS_FULL_HISTORY,FETCH_SUCCESS_FULL_HISTORY,10479,10479,1984-10-17,2026-05-21,2026-05-21,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\UNH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\UNH.csv,
