ticker,fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_row_count,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,price_only_partial,quality_status,staged_raw_path,staged_normalized_path,error_message
RVMD,TRUE,TRUE,FALSE,FALSE,1576,1576,2020-02-13,2026-05-21,2026-05-21,TRUE,1576,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\RVMD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\RVMD.csv,
SATS,TRUE,TRUE,FALSE,FALSE,4626,4626,2008-01-02,2026-05-21,2026-05-21,TRUE,4626,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SATS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SATS.csv,
SCCO,TRUE,TRUE,FALSE,FALSE,7644,7644,1996-01-05,2026-05-21,2026-05-21,TRUE,7644,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SCCO.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCCO.csv,
SCHW,TRUE,TRUE,FALSE,FALSE,9740,9740,1987-09-22,2026-05-21,2026-05-21,TRUE,9740,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SCHW.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SCHW.csv,
SE,TRUE,TRUE,FALSE,FALSE,2157,2157,2017-10-20,2026-05-21,2026-05-21,TRUE,2157,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SE.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SE.csv,
SEI,TRUE,TRUE,FALSE,FALSE,2269,2269,2017-05-12,2026-05-21,2026-05-21,TRUE,2269,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SEI.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SEI.csv,
SFIX,TRUE,TRUE,FALSE,FALSE,2137,2137,2017-11-17,2026-05-21,2026-05-21,TRUE,2137,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SFIX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFIX.csv,
SFM,TRUE,TRUE,FALSE,FALSE,3221,3221,2013-08-01,2026-05-21,2026-05-21,TRUE,3221,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SFM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SFM.csv,
SHOP,TRUE,TRUE,FALSE,FALSE,2768,2768,2015-05-20,2026-05-21,2026-05-21,TRUE,2768,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SHOP.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHOP.csv,
SHW,TRUE,TRUE,FALSE,FALSE,11640,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SHW.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SHW.csv,
