ticker,normalized_row_count,min_date,max_date,latest_date,quality_status,integration_gate_decision,recommended_next_action
PINS,1783,2019-04-18,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PLUG,6680,1999-10-29,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PM,4575,2008-03-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PSIX,3545,2012-04-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PTGX,2458,2016-08-11,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PTON,1672,2019-09-26,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PUMP,2308,2017-03-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
PYPL,2737,2015-07-06,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
QS,1448,2020-08-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
QSR,2877,2014-12-11,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RBLX,1307,2021-03-10,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RERE,1237,2021-06-18,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RH,3407,2012-11-02,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RIOT,2551,2016-03-31,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RKT,1455,2020-08-06,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RNG,3181,2013-09-27,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
ROKU,2173,2017-09-28,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RSP,5802,2003-05-01,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RTX,16142,1962-04-02,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
RVMD,1576,2020-02-13,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SATS,4626,2008-01-02,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SCCO,7644,1996-01-05,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SCHW,9740,1987-09-22,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SE,2157,2017-10-20,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SEI,2269,2017-05-12,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SFIX,2137,2017-11-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SFM,3221,2013-08-01,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SHOP,2768,2015-05-20,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SHW,11640,1980-03-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SITM,1633,2019-11-20,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SMTC,11640,1980-03-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SNPS,8620,1992-02-26,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
SPOT,2046,2018-04-03,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
STG,2052,2018-03-23,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
STM,7915,1994-12-08,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TEAM,2627,2015-12-09,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TEVA,11156,1982-02-16,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TIGR,1804,2019-03-20,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TSEM,7945,1994-10-26,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TTD,2430,2016-09-21,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TTMI,6452,2000-09-25,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TTWO,7322,1997-04-15,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TWLO,2492,2016-06-23,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
TWST,1898,2018-10-31,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
U,1425,2020-09-18,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
UAL,5105,2006-02-06,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
UBER,1768,2019-05-10,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
UNH,10479,1984-10-17,2026-05-21,2026-05-21,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,Eligible for future official price cache integration.
