ticker,rank,composite_candidate_score,primary_theme,recommendation_tier,manual_action,risk_bucket,technical_timing_status,technical_timing_score,overheat_flag,buy_now_status,buy_now_score,buy_gate_result,buy_block_reason,entry_condition,manual_operator_action,gate_recommendation_pass,gate_technical_pass,gate_overheat_pass,gate_risk_pass,gate_operator_pass,gate_data_quality_pass,gate_summary,source_recommendation_file,source_technical_file,generated_at,run_id
OLPX,11,40.593772,CONSUMER,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
APLD,12,40.362536,AI_INFRASTRUCTURE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
U,13,39.897302,SOFTWARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,45,BLOCK,HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
SMTC,14,39.742207,SEMICONDUCTOR,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,65,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
SEI,15,39.144581,ENERGY,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
SATS,16,38.622888,DATA_INFRASTRUCTURE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
RVMD,17,38.438059,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
XYZ,18,38.326374,FINTECH,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,45,BLOCK,HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
WULF,19,38.015944,CRYPTO_BETA,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
QSR,20,37.694858,CONSUMER,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,75,BLOCK,GATES_PASS_MANUAL_REVIEW_REQUIRED,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=WATCHLIST_STRONG;technical=FAVORABLE;risk=MEDIUM_RISK;overheat=FALSE;manual_only=TRUE,,,,
XENE,21,37.636994,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
TWST,22,37.448987,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
RIOT,23,36.503542,CRYPTO_BETA,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
ROKU,24,36.420390,INTERNET_PLATFORM,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
UNH,25,36.332522,HEALTHCARE,DEFENSIVE_HEDGE,DEFENSIVE_HOLD_CANDIDATE,DEFENSIVE_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,50,BLOCK,TECHNICAL_CAUTION,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=DEFENSIVE_HEDGE;technical=CAUTION;risk=DEFENSIVE_RISK;overheat=FALSE;manual_only=TRUE,,,,
VIST,26,36.042571,ENERGY,WATCHLIST_STRONG,WATCH_FOR_ENTRY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,55,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=WATCHLIST_STRONG;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
DBVT,27,35.851684,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
XPO,28,35.726432,TRANSPORTATION,CORE_CANDIDATE,REVIEW_FIRST,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,75,BLOCK,HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=CORE_CANDIDATE;technical=FAVORABLE;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
WLK,29,35.644882,INDUSTRIAL,WATCHLIST_STRONG,WATCH_FOR_ENTRY,MEDIUM_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,75,BLOCK,GATES_PASS_MANUAL_REVIEW_REQUIRED,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=WATCHLIST_STRONG;technical=FAVORABLE;risk=MEDIUM_RISK;overheat=FALSE;manual_only=TRUE,,,,
PTON,30,34.719287,CONSUMER,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,60.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
PCT,31,34.600968,INDUSTRIAL,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,40.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
UPST,32,34.519048,FINTECH,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
CVNA,33,34.321612,ECOMMERCE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
BLTE,34,34.247077,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_WATCH_POSITIVE;NONE;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_WATCH_POSITIVE;NONE;BB_LOWER_HALF;RSI_WEAK,68.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
BYND,35,33.941802,CONSUMER,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,70.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=FAVORABLE;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
RNG,36,33.774110,SOFTWARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_WEAK,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,35,BLOCK,TECHNICAL_CAUTION;HIGH_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=HIGH_RISK;overheat=FALSE;manual_only=TRUE,,,,
PTGX,37,33.581955,HEALTHCARE,SPECULATIVE_SATELLITE,HIGH_RISK_SMALL_SIZE_ONLY,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,50.0,FALSE,BLOCKED_BY_OPERATOR_STATE,25,BLOCK,TECHNICAL_CAUTION;EXTREME_RISK,BLOCKED_OPERATOR_STATE,BLOCKED,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,tier=SPECULATIVE_SATELLITE;technical=CAUTION;risk=EXTREME_RISK;overheat=FALSE;manual_only=TRUE,,,,
