ticker,rank,composite_candidate_score,primary_theme,recommendation_tier,buy_now_status,buy_now_score,manual_operator_action,risk_bucket,technical_timing_status,overheat_flag,position_policy_status,position_policy_action,risk_budget_pct_of_account,stop_review_pct,take_profit_review_pct,suggested_initial_position_pct,suggested_max_position_pct,suggested_initial_notional_usd,suggested_max_notional_usd,max_loss_usd_at_stop,min_effective_trade_notional_usd,below_min_effective_trade_flag,concentration_caution,position_size_reason,sizing_formula,account_size_usd,cash_reserve_pct,max_active_positions,max_speculative_positions,source_buyability_file,generated_at,run_id
HOOD,86,26.689519,FINTECH,DO_NOT_PRIORITIZE,BLOCKED_BY_OPERATOR_STATE,0,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
PGNY,87,26.025378,HEALTHCARE,DO_NOT_PRIORITIZE,BLOCKED_BY_OPERATOR_STATE,0,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
WDAY,88,25.641569,SOFTWARE,TACTICAL_ENTRY,BLOCKED_BY_OPERATOR_STATE,60,BLOCKED,MEDIUM_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.40,-5.00,8.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
SE,89,25.111539,INTERNET_PLATFORM,DO_NOT_PRIORITIZE,BLOCKED_BY_OPERATOR_STATE,0,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
OKTA,90,24.779580,CYBERSECURITY,WATCHLIST_STRONG,BLOCKED_BY_OPERATOR_STATE,55,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.35,-6.00,10.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
RERE,91,24.683748,ECOMMERCE,DO_NOT_PRIORITIZE,BLOCKED_BY_OPERATOR_STATE,0,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
RH,92,24.578681,CONSUMER,TACTICAL_ENTRY,BLOCKED_BY_OPERATOR_STATE,50,BLOCKED,HIGH_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_UPPER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.35,-5.00,8.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,HIGH_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
WING,93,22.868124,CONSUMER,TACTICAL_ENTRY,BLOCKED_BY_OPERATOR_STATE,70,BLOCKED,MEDIUM_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_OVERSOLD,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.40,-5.00,8.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
OPCH,94,22.641466,HEALTHCARE,TACTICAL_ENTRY,BLOCKED_BY_OPERATOR_STATE,60,BLOCKED,DEFENSIVE_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.40,-5.00,8.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
STG,95,22.577206,CONSUMER,DO_NOT_PRIORITIZE,BLOCKED_BY_OPERATOR_STATE,0,BLOCKED,EXTREME_RISK,TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL;TECH_TIMING_STAGED_REFRESH;STAGED_R25B_NOT_MERGED;BB_LOWER_HALF;RSI_NEUTRAL,FALSE,POSITION_OPERATOR_BLOCKED,BLOCKED,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,FALSE,,EXTREME_RISK_CAP_APPLIED;OPERATOR_STATE_BLOCKED,"min(tier_max_position_pct, risk_budget_pct_of_account / abs(stop_review_pct) * 100)",2000.00,15.00,8,2,D:\us-tech-quant\outputs\v18\execution\V18_CURRENT_BUYABILITY_GATE.csv,2026-05-24T18:28:40,V18_31B_20260524_182840
