experiment_id,experiment_name,experiment_family,experiment_type,signal_source,candidate_scope,portfolio_construction_method,benchmark,expected_horizons,current_forward_readiness,entry_count,matured_horizon_count,any_forward_outcome_available,readiness_status,upstream_files,downstream_recommended_next_step,notes
LEAN_MOTIF_LOW_VOL_MOMENTUM,低波动动量,LEAN_MOTIF_LOW_VOL_MOMENTUM,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:LOW_VOL_MOMENTUM,,,PROXY_ONLY,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=PROXY_RESEARCH_ONLY; research_readiness=PROXY_ONLY
LEAN_MOTIF_BREAKOUT_CONTINUATION,突破延续,LEAN_MOTIF_BREAKOUT_CONTINUATION,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:BREAKOUT_CONTINUATION,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
LEAN_MOTIF_MEAN_REVERSION_CANDIDATE,均值回归候选,LEAN_MOTIF_MEAN_REVERSION_CANDIDATE,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:MEAN_REVERSION_CANDIDATE,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
LEAN_MOTIF_TECHNICAL_OVERHEAT_AVOIDANCE,技术过热回避,LEAN_MOTIF_TECHNICAL_OVERHEAT_AVOIDANCE,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:TECHNICAL_OVERHEAT_AVOIDANCE,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
LEAN_MOTIF_RISK_ADJUSTED_TOP_RANK,风险调整高排名,LEAN_MOTIF_RISK_ADJUSTED_TOP_RANK,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:RISK_ADJUSTED_TOP_RANK,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
LEAN_MOTIF_SECTOR_BALANCED_TOP_RANK,行业均衡高排名,LEAN_MOTIF_SECTOR_BALANCED_TOP_RANK,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:SECTOR_BALANCED_TOP_RANK,,,NOT_READY,10,0,FALSE,MISSING_INPUT,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=MISSING_REQUIRED_FACTOR; research_readiness=NOT_READY
LEAN_MOTIF_EQUAL_WEIGHT_TOP_N_BASELINE,等权 Top N 基线,LEAN_MOTIF_EQUAL_WEIGHT_TOP_N_BASELINE,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:EQUAL_WEIGHT_TOP_N_BASELINE,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
LEAN_MOTIF_SCORE_WEIGHTED_TOP_N_BASELINE,分数加权 Top N 基线,LEAN_MOTIF_SCORE_WEIGHTED_TOP_N_BASELINE,STRATEGY_MOTIF,V18_CURRENT_FULL_RANKED_CANDIDATES.csv,MOTIF_SHADOW_CANDIDATES,LEAN_INSPIRED_MOTIF:SCORE_WEIGHTED_TOP_N_BASELINE,,,READY_FOR_PAPER_OBSERVATION,10,0,FALSE,REGISTERED_NOT_YET_MEASURABLE,outputs/v18/ops/V18_37A_STRATEGY_MOTIF_REGISTRY.csv;outputs/v18/ops/V18_37A_LEAN_INSPIRED_STRATEGY_MOTIF_SUMMARY.csv,Use as research grouping; connect to forward outcomes only after motif-level performance evidence exists.,evidence_status=READY_REAL_EVIDENCE; research_readiness=READY_FOR_PAPER_OBSERVATION
BENCHMARK_SPY,Benchmark SPY,BENCHMARK_SPY,BENCHMARK,benchmark evidence from paper/shadow output if available,SPY,BENCHMARK_BUY_AND_HOLD_REFERENCE,SPY,1D;3D;5D;10D;20D,PENDING_NOT_ENOUGH_FUTURE_PRICES,1,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_BENCHMARK_COMPARISON.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,Use only as reference once benchmark forward returns are filled.,Benchmark experiment row; no trading action implied.
BENCHMARK_QQQ,Benchmark QQQ,BENCHMARK_QQQ,BENCHMARK,benchmark evidence from paper/shadow output if available,QQQ,BENCHMARK_BUY_AND_HOLD_REFERENCE,QQQ,1D;3D;5D;10D;20D,PENDING_NOT_ENOUGH_FUTURE_PRICES,1,0,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/paper_trading/V18_36A_BENCHMARK_COMPARISON.csv;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,Use only as reference once benchmark forward returns are filled.,Benchmark experiment row; no trading action implied.
FACTOR_FORWARD_ATTRIBUTION_PENDING,Factor forward attribution pending,FACTOR_FORWARD_ATTRIBUTION_PENDING,FACTOR_RESEARCH_PENDING,V18.38A forward evidence dashboard,PAPER_TOPN;FULL318,ATTRIBUTION_ANALYSIS_PENDING,SPY;QQQ,1D;3D;5D;10D;20D,,,,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_38A_READ_FIRST.txt;outputs/v18/ops/V18_38A_FORWARD_EVIDENCE_DETAIL.csv,Run factor attribution only after forward outcomes exist.,Registry placeholder; no attribution computed here.
SHADOW_PORTFOLIO_LEAGUE_TABLE_PENDING,Shadow portfolio league table pending,SHADOW_PORTFOLIO_LEAGUE_TABLE_PENDING,FACTOR_RESEARCH_PENDING,V18.37C / V18.38A,SHADOW_PORTFOLIO_*,LEAGUE_TABLE_PENDING,SPY;QQQ,1D;3D;5D;10D;20D,,,,FALSE,PENDING_FORWARD_OUTCOME,outputs/v18/ops/V18_37C_SHADOW_PORTFOLIO_FORWARD_READINESS.csv;outputs/v18/ops/V18_38A_READ_FIRST.txt,Build league table only after shadow portfolio horizons mature.,Registry placeholder; no league table ranking computed here.
TURNOVER_COST_SIMULATION_PENDING,Turnover cost simulation pending,TURNOVER_COST_SIMULATION_PENDING,COST_RESEARCH_PENDING,paper/shadow ledgers,PAPER_TOPN;SHADOW_PORTFOLIO_*,TURNOVER_COST_SIMULATION_PENDING,,,,,,UNKNOWN,REGISTERED_NOT_YET_MEASURABLE,state/v18/paper_trading/V18_PAPER_TRADING_LEDGER.csv;state/v18/shadow_portfolios/V18_SHADOW_PORTFOLIO_DAILY_SNAPSHOT_LEDGER.csv,Define cost model after enough forward snapshots and turnover events exist.,Pending research family registered for future cost/slippage analysis.
