ticker,official_price_cache_present,local_price_cache_readable,price_row_count,min_price_date,max_price_date,latest_close,rolling_ledger_present,rolling_ledger_success_within_lookback,rolling_ledger_last_success_date,price_ledger_ready,reason
SCHW,TRUE,TRUE,9740,1987-09-22,2026-05-21,89.91500091552734,TRUE,TRUE,2026-05-22,TRUE,
SE,TRUE,TRUE,2157,2017-10-20,2026-05-21,87.62000274658203,TRUE,TRUE,2026-05-22,TRUE,
SEI,TRUE,TRUE,2269,2017-05-12,2026-05-21,72.73500061035156,TRUE,TRUE,2026-05-22,TRUE,
SFIX,TRUE,TRUE,2137,2017-11-17,2026-05-21,3.2249999046325684,TRUE,TRUE,2026-05-22,TRUE,
SFM,TRUE,TRUE,3221,2013-08-01,2026-05-21,84.61499786376953,TRUE,TRUE,2026-05-22,TRUE,
SHOP,TRUE,TRUE,2768,2015-05-20,2026-05-21,104.36000061035156,TRUE,TRUE,2026-05-22,TRUE,
SHW,TRUE,TRUE,11640,1980-03-17,2026-05-21,303.8699951171875,TRUE,TRUE,2026-05-22,TRUE,
SITM,TRUE,TRUE,1633,2019-11-20,2026-05-21,702.885009765625,TRUE,TRUE,2026-05-22,TRUE,
SMTC,TRUE,TRUE,11640,1980-03-17,2026-05-21,148.1699981689453,TRUE,TRUE,2026-05-22,TRUE,
SNPS,TRUE,TRUE,8620,1992-02-26,2026-05-21,501.55499267578125,TRUE,TRUE,2026-05-22,TRUE,
SPOT,TRUE,TRUE,2046,2018-04-03,2026-05-21,503.5199890136719,TRUE,TRUE,2026-05-22,TRUE,
STG,TRUE,TRUE,2052,2018-03-23,2026-05-21,3.1600000858306885,TRUE,TRUE,2026-05-22,TRUE,
STM,TRUE,TRUE,7915,1994-12-08,2026-05-21,64.6449966430664,TRUE,TRUE,2026-05-22,TRUE,
TEAM,TRUE,TRUE,2627,2015-12-09,2026-05-21,83.10070037841797,TRUE,TRUE,2026-05-22,TRUE,
TEVA,TRUE,TRUE,11156,1982-02-16,2026-05-21,33.93000030517578,TRUE,TRUE,2026-05-22,TRUE,
TIGR,TRUE,TRUE,1804,2019-03-20,2026-05-21,5.764999866485596,TRUE,TRUE,2026-05-22,TRUE,
TSEM,TRUE,TRUE,7945,1994-10-26,2026-05-21,272.67498779296875,TRUE,TRUE,2026-05-22,TRUE,
TTD,TRUE,TRUE,2430,2016-09-21,2026-05-21,20.950000762939453,TRUE,TRUE,2026-05-22,TRUE,
TTMI,TRUE,TRUE,6452,2000-09-25,2026-05-21,175.26499938964844,TRUE,TRUE,2026-05-22,TRUE,
TTWO,TRUE,TRUE,7322,1997-04-15,2026-05-21,239.8000030517578,TRUE,TRUE,2026-05-22,TRUE,
TWLO,TRUE,TRUE,2492,2016-06-23,2026-05-21,183.88999938964844,TRUE,TRUE,2026-05-22,TRUE,
TWST,TRUE,TRUE,1898,2018-10-31,2026-05-21,53.935001373291016,TRUE,TRUE,2026-05-22,TRUE,
U,TRUE,TRUE,1425,2020-09-18,2026-05-21,25.799999237060547,TRUE,TRUE,2026-05-22,TRUE,
UAL,TRUE,TRUE,5105,2006-02-06,2026-05-21,96.70999908447266,TRUE,TRUE,2026-05-22,TRUE,
UBER,TRUE,TRUE,1768,2019-05-10,2026-05-21,73.30500030517578,TRUE,TRUE,2026-05-22,TRUE,
UNH,TRUE,TRUE,10479,1984-10-17,2026-05-21,385.1099853515625,TRUE,TRUE,2026-05-22,TRUE,
UPST,TRUE,TRUE,1363,2020-12-16,2026-05-21,28.850000381469727,TRUE,TRUE,2026-05-22,TRUE,
USFD,TRUE,TRUE,2511,2016-05-26,2026-05-21,81.23999786376953,TRUE,TRUE,2026-05-22,TRUE,
V,TRUE,TRUE,4573,2008-03-19,2026-05-21,331.1199951171875,TRUE,TRUE,2026-05-22,TRUE,
VECO,TRUE,TRUE,7922,1994-11-29,2026-05-21,57.7400016784668,TRUE,TRUE,2026-05-22,TRUE,
VEEV,TRUE,TRUE,3168,2013-10-16,2026-05-21,158.27000427246094,TRUE,TRUE,2026-05-22,TRUE,
VIAV,TRUE,TRUE,8182,1993-11-17,2026-05-21,48.97999954223633,TRUE,TRUE,2026-05-22,TRUE,
VIST,TRUE,TRUE,1715,2019-07-26,2026-05-21,75.54000091552734,TRUE,TRUE,2026-05-22,TRUE,
VMC,TRUE,TRUE,13426,1973-02-21,2026-05-21,262.0799865722656,TRUE,TRUE,2026-05-22,TRUE,
WAB,TRUE,TRUE,7784,1995-06-16,2026-05-21,255.16000366210938,TRUE,TRUE,2026-05-22,TRUE,
WDAY,TRUE,TRUE,3420,2012-10-12,2026-05-21,121.8499984741211,TRUE,TRUE,2026-05-22,TRUE,
WHR,TRUE,TRUE,13426,1973-02-21,2026-05-21,43.209999084472656,TRUE,TRUE,2026-05-22,TRUE,
WING,TRUE,TRUE,2752,2015-06-12,2026-05-21,132.64999389648438,TRUE,TRUE,2026-05-22,TRUE,
WLK,TRUE,TRUE,5479,2004-08-12,2026-05-21,88.0999984741211,TRUE,TRUE,2026-05-22,TRUE,
WULF,TRUE,TRUE,8087,1994-04-05,2026-05-21,22.920000076293945,TRUE,TRUE,2026-05-22,TRUE,
WVE,TRUE,TRUE,2646,2015-11-11,2026-05-21,6.420000076293945,TRUE,TRUE,2026-05-22,TRUE,
WWD,TRUE,TRUE,8088,1994-04-04,2026-05-21,355.760009765625,TRUE,TRUE,2026-05-22,TRUE,
XENE,TRUE,TRUE,2902,2014-11-05,2026-05-21,54.119998931884766,TRUE,TRUE,2026-05-22,TRUE,
XLF,TRUE,TRUE,6895,1998-12-22,2026-05-21,51.72999954223633,TRUE,TRUE,2026-05-22,TRUE,
