priority_rank,ticker,price_row_count,min_price_date,max_price_date,latest_close,latest_volume,enough_history_for_technical_refresh,technical_plan_status,reason,source_batch
65,TTWO,7322,1997-04-15,2026-05-21,239.8000030517578,1185065,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
66,TWLO,2492,2016-06-23,2026-05-21,183.88999938964844,1184531,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
67,TWST,1898,2018-10-31,2026-05-21,53.935001373291016,315373,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
68,U,1425,2020-09-18,2026-05-21,25.799999237060547,2047672,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
69,UAL,5105,2006-02-06,2026-05-21,96.70999908447266,2227088,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
70,UBER,1768,2019-05-10,2026-05-21,73.30500030517578,5578070,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
71,UNH,10479,1984-10-17,2026-05-21,385.1099853515625,1623669,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
72,UPST,1363,2020-12-16,2026-05-21,28.850000381469727,3800900,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
73,USFD,2511,2016-05-26,2026-05-21,81.23999786376953,2040000,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
74,V,4573,2008-03-19,2026-05-21,331.1199951171875,7033800,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
75,VEEV,3168,2013-10-16,2026-05-21,158.27000427246094,2129100,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
76,VIAV,8182,1993-11-17,2026-05-21,48.97999954223633,5812300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
77,VIST,1715,2019-07-26,2026-05-21,75.54000091552734,1064500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
78,VMC,13426,1973-02-21,2026-05-21,262.0799865722656,701500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
79,WAB,7784,1995-06-16,2026-05-21,255.16000366210938,1012900,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
80,WDAY,3420,2012-10-12,2026-05-21,121.8499984741211,9053300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
81,WHR,13426,1973-02-21,2026-05-21,43.209999084472656,2758600,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
82,WING,2752,2015-06-12,2026-05-21,132.64999389648438,1148200,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
83,WLK,5479,2004-08-12,2026-05-21,88.0999984741211,873300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
84,WULF,8087,1994-04-05,2026-05-21,22.920000076293945,20136200,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
85,WVE,2646,2015-11-11,2026-05-21,6.420000076293945,3668600,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
86,WWD,8088,1994-04-04,2026-05-21,355.760009765625,616800,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
87,XENE,2902,2014-11-05,2026-05-21,54.119998931884766,1148600,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
88,XLF,6895,1998-12-22,2026-05-21,51.72999954223633,33338300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
89,XPO,5692,2003-10-07,2026-05-21,203.57000732421875,1253500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
90,XYZ,2640,2015-11-19,2026-05-21,68.6500015258789,8492500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
91,YPF,8281,1993-06-29,2026-05-21,47.939998626708984,2068300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
92,Z,2717,2015-08-03,2026-05-21,36.75,4805300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
