priority_rank,ticker,source_batch,price_ledger_ready,factor_ready,technical_ready,factor_plan_status,technical_plan_status,combined_action,reason
11,INSM,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
12,NVAX,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
13,OKTA,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
14,OLMA,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
15,OLPX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
16,OPCH,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
17,PATH,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
18,PCOR,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
19,PCT,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
20,PDD,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
21,PFGC,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
22,PGNY,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
23,PI,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
24,PINS,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
25,PLUG,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
26,PM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
27,PSIX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
28,PTGX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
29,PTON,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
30,PUMP,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
31,PYPL,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
32,QS,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
33,QSR,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
34,RBLX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
35,RERE,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
36,RH,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
37,RIOT,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
38,RKT,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
39,RNG,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
40,ROKU,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
41,RSP,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
42,RTX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
43,RVMD,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
44,SATS,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
45,SCCO,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
46,SCHW,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
47,SE,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
48,SEI,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
49,SFIX,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
50,SFM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
51,SHOP,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
52,SHW,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
53,SITM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
54,SMTC,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
55,SNPS,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
56,SPOT,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
57,STG,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
58,STM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
59,TEAM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
60,TEVA,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
61,TIGR,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
62,TSEM,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
63,TTD,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
64,TTMI,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
65,TTWO,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
66,TWLO,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
67,TWST,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
68,U,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
69,UAL,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
70,UBER,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
71,UNH,R19_R20,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
72,UPST,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
73,USFD,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
74,V,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
75,VEEV,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
76,VIAV,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
77,VIST,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
78,VMC,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
79,WAB,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
80,WDAY,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
81,WHR,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
82,WING,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
83,WLK,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
84,WULF,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
85,WVE,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
86,WWD,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
87,XENE,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
88,XLF,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
89,XPO,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
90,XYZ,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
91,YPF,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
92,Z,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
93,ZG,R23D_R23E,TRUE,FALSE,FALSE,READY_FOR_FACTOR_ROW_BUILD,READY_FOR_TECHNICAL_TIMING_REFRESH,BUILD_FACTOR_AND_TECHNICAL,Price cache has sufficient local history and required OHLCV schema. Price cache has sufficient local history and required OHLCV schema.
