ticker,in_total_universe,in_current_full_candidates_before,in_current_top_candidates_before,in_latest_signal_freeze,calculation_attempted,price_data_attempted,price_data_available,price_data_source,latest_price_date,history_row_count,history_start_date,history_end_date,factor_calculation_attempted,factor_calculation_success,technical_calculation_attempted,technical_calculation_success,ranking_merge_attempted,ranking_merge_success,factor_score,technical_timing_score,recomputed_composite_score,recomputed_rank,rank_eligible,calculation_status,failure_bucket,failure_reason,evidence_sources,raw_universe_token_count,sanitized_universe_count,invalid_pseudo_ticker_count,invalid_pseudo_tickers,yfinance_failed_ticker_count,yfinance_failed_tickers,yfinance_failed_ticker_count_raw,price_unavailable_excluded_count,price_unavailable_excluded_tickers,current_price_refresh_blocking_failed_ticker_count
AEHR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.52,40.0,15.808,308,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AEIS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AEIS.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41.725758,70.0,37.690303,77,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AEIS.csv,,,,,,,,,,
AEVA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AEVA.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,70.240356,40.0,40.096142,58,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AEVA.csv,,,,,,,,,,
AFRM,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AFRM.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,45.922864,50.0,33.369146,124,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AFRM.csv,,,,,,,,,,
AGX,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AGX.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69.058797,60.0,45.623519,35,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AGX.csv,,,,,,,,,,
ALAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41.9,14.0,20.96,295,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ALM,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ALM.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67.63899,70.0,48.055596,25,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ALM.csv,,,,,,,,,,
AMAT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,26.67,40.0,22.668,284,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AMC,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AMC.csv,2026-05-21,3124,2013-12-18,2026-05-21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36.521931,50.0,29.608772,195,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AMC.csv,,,,,,,,,,
AMD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15.24,25.0,13.596,312,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AMKR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.48,58.0,53.592,6,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AMZN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67.62,58.0,44.448,37,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ANET,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68.57,50.0,42.428,44,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
APG,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/APG.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,35.077352,70.0,35.030941,104,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/APG.csv,,,,,,,,,,
APH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56.19,50.0,37.476,79,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
APLD,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/APLD.csv,2026-05-21,1030,2022-04-13,2026-05-21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,70.906341,40.0,40.362536,53,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/APLD.csv,,,,,,,,,,
APO,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/APO.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41.505532,50.0,31.602213,155,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/APO.csv,,,,,,,,,,
APP,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/APP.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37.743753,50.0,30.097501,182,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/APP.csv,,,,,,,,,,
ARGT,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/ARGT.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34.890218,50.0,28.956087,210,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/ARGT.csv,,,,,,,,,,
ARM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,47.14,29.0,27.556,234,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
ASML,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,61.9,50.0,39.76,60,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AVGO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80.95,50.0,47.38,29,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
AXON,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/AXON.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.947537,50.0,26.579015,253,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/AXON.csv,,,,,,,,,,
BABA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BABA.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29.749513,50.0,26.899805,246,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BABA.csv,,,,,,,,,,
BAC,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BAC.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34.489631,60.0,31.795852,152,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BAC.csv,,,,,,,,,,
BALL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BALL.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33.38513,70.0,34.354052,110,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BALL.csv,,,,,,,,,,
BE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69.52,50.0,42.808,43,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
BIDU,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BIDU.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,45.567122,50.0,33.226849,128,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BIDU.csv,,,,,,,,,,
BITF,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BITF.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,70.523302,40.0,40.209321,54,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BITF.csv,,,,,,,,,,
BKNG,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BKNG.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31.868913,70.0,33.747565,116,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BKNG.csv,,,,,,,,,,
BLSH,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BLSH.csv,2026-05-22,196,2025-08-13,2026-05-22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36.692342,70.0,35.676937,97,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BLSH.csv,,,,,,,,,,
BLTE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BLTE.csv,2026-05-20,1018,2022-04-29,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30.044066,70.0,33.017626,130,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BLTE.csv,,,,,,,,,,
BN,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BN.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,35.81658,50.0,29.326632,200,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BN.csv,,,,,,,,,,
BSX,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BSX.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20.926663,50.0,23.370665,280,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BSX.csv,,,,,,,,,,
BTDR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17.14,50.0,21.856,293,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
BW,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BW.csv,2026-05-21,2750,2015-06-16,2026-05-21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,88.803,40.0,47.5212,28,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BW.csv,,,,,,,,,,
BYND,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/BYND.csv,2026-05-21,1774,2019-05-02,2026-05-21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,32.354505,70.0,33.941802,113,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/BYND.csv,,,,,,,,,,
CAI,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/CAI.csv,2026-05-22,234,2025-06-18,2026-05-22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23.56078,70.0,30.424312,175,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/CAI.csv,,,,,,,,,,
CAMT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80.0,50.0,47.0,31,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
CARR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85.71,58.0,51.684,12,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
CART,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/CART.csv,2026-05-20,670,2023-09-19,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38.353288,50.0,30.341315,176,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/CART.csv,,,,,,,,,,
CDNS,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,state/v18/price_cache/CDNS.csv,2026-05-20,1262,2021-05-12,2026-05-20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,46.380582,50.0,33.552233,119,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;state/v18/price_cache/CDNS.csv,,,,,,,,,,
CDTX,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,YFINANCE_IN_MEMORY,UNKNOWN,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,CALCULATION_FAILED,UNAVAILABLE_PRICE_DATA_EXCLUDED,yfinance returned empty data,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,,,,,,,,,,
CEG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-26,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37.14,50.0,29.856,187,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,,,,,,,,,
CFLT,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,YFINANCE_IN_MEMORY,UNKNOWN,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,FALSE,CALCULATION_FAILED,UNAVAILABLE_PRICE_DATA_EXCLUDED,yfinance returned empty data,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,,,,,,,,,,
