rank,ticker,composite_candidate_score,ranking_source_policy,primary_score_source_files,audit_only_source_files,score_source_status,score_source_files,score_source_columns,latest_price_date,latest_close,technical_status,event_risk_status,overheat_status,pullback_status,execution_status,final_action,reason
68,TIGR,29.475559,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,5.764999866485596,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
69,XLF,29.281688,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,51.72999954223633,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
70,SCCO,29.162130,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,176.0,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
71,INSM,28.991239,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,109.52999877929688,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
72,TTWO,28.820733,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,239.8000030517578,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
73,SCHW,28.545088,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,89.91500091552734,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
74,SHOP,28.523376,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,104.36000061035156,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
75,TLN,28.181930,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-22,366.2513122558594,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R27J preview refreshed from current official factor pack and technical timing only; no external fetch.
76,HUBB,28.077904,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-18,470.869995,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
77,RTX,28.051253,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,175.10000610351562,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
