ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,formula_compatibility,technical_status,technical_refresh_blocker,input_history_rows,duplicate_date_count,close_column_available,dryrun_scope
ALM,ALM,2026-05-20,17.64,19.9633,23.2599,16.6666,0.1476,0.3303,False,BB_LOWER_HALF,42.8612,RSI_WEAK,19.6542,24.0999,10.763,KDJ_NEUTRAL,0.993,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
APG,APG,2026-05-20,42.04,45.2275,50.2721,40.1829,0.1841,0.2231,False,BB_LOWER_HALF,39.6667,RSI_WEAK,15.9922,15.1624,17.6518,KDJ_LOW_GOLDEN_CROSS,0.7772,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
APO,APO,2026-05-20,132.24,129.4875,137.53,121.445,0.6711,0.1242,False,BB_UPPER_HALF,59.3402,RSI_NEUTRAL,63.4137,69.511,51.2191,KDJ_NEUTRAL,0.9299,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
APP,APP,2026-05-20,482.28,470.564,506.7009,434.4271,0.6621,0.1536,True,BB_UPPER_HALF,53.5654,RSI_NEUTRAL,56.312,58.8317,51.2727,KDJ_NEUTRAL,0.9417,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
ARGT,ARGT,2026-05-20,90.07,90.328,93.5351,87.1209,0.4598,0.071,True,BB_MID,48.8881,RSI_NEUTRAL,41.1839,31.1927,61.1663,KDJ_NEUTRAL,0.7868,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
AXON,AXON,2026-05-20,398.44,396.4485,417.438,375.459,0.5474,0.1059,True,BB_MID,48.7922,RSI_NEUTRAL,40.9492,38.8325,45.1824,KDJ_LOW_GOLDEN_CROSS,0.8,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BABA,BABA,2026-05-20,134.47,135.385,144.0616,126.7084,0.4473,0.1282,False,BB_MID,49.0346,RSI_NEUTRAL,32.6475,41.9194,14.1035,KDJ_NEUTRAL,1.1101,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BAC,BAC,2026-05-20,51.23,51.7885,54.3573,49.2197,0.3913,0.0992,False,BB_LOWER_HALF,48.6504,RSI_NEUTRAL,31.7665,23.6281,48.0434,KDJ_NEUTRAL,1.27,0,8,4,62.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BALL,BALL,2026-05-20,56.81,58.7445,63.5785,53.9105,0.2999,0.1646,False,BB_LOWER_HALF,41.5007,RSI_WEAK,20.8814,14.1221,34.4001,KDJ_LOW_GOLDEN_CROSS,0.8375,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BIDU,BIDU,2026-05-20,135.22,133.9055,150.8949,116.9161,0.5387,0.2538,False,BB_MID,52.9189,RSI_NEUTRAL,30.9456,48.4451,-4.0535,KDJ_NEUTRAL,1.1159,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BITF,BITF,2026-05-20,4.235,3.7223,4.8866,2.5579,0.7202,0.6256,False,BB_UPPER_HALF,64.4926,RSI_STRONG,66.7362,72.8675,54.4735,KDJ_NEUTRAL,0.9848,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BKNG,BKNG,2026-05-20,156.95,165.3585,182.7674,147.9496,0.2585,0.2106,False,BB_LOWER_HALF,38.3106,RSI_WEAK,16.4202,12.2699,24.7207,KDJ_LOW_GOLDEN_CROSS,0.9262,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BLTE,BLTE,2026-05-20,143.36,153.5965,167.2525,139.9405,0.1252,0.1778,False,BB_LOWER_HALF,35.6586,RSI_WEAK,22.704,24.4313,19.2495,KDJ_NEUTRAL,1.6627,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1018,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BN,BN,2026-05-20,45.34,45.4675,47.4879,43.4471,0.4684,0.0889,False,BB_MID,51.3234,RSI_NEUTRAL,24.5648,36.0988,1.4968,KDJ_NEUTRAL,0.9646,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
BSX,BSX,2026-05-20,56.67,56.6455,62.9836,50.3074,0.5019,0.2238,False,BB_MID,45.5427,RSI_NEUTRAL,55.5275,34.7143,97.1538,KDJ_NEUTRAL,0.897,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CART,CART,2026-05-20,41.3,41.171,44.4395,37.9025,0.5197,0.1588,False,BB_MID,52.6825,RSI_NEUTRAL,56.0226,44.3733,79.3211,KDJ_NEUTRAL,0.9035,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,670,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CDNS,CDNS,2026-05-20,350.89,344.953,371.9192,317.9868,0.6101,0.1563,False,BB_UPPER_HALF,59.3667,RSI_NEUTRAL,37.2983,45.8051,20.2846,KDJ_NEUTRAL,0.7235,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CHPT,CHPT,2026-05-20,6.23,6.4595,6.9636,5.9554,0.2724,0.1561,True,BB_LOWER_HALF,49.0881,RSI_NEUTRAL,43.4939,48.8072,32.8673,KDJ_NEUTRAL,1.1509,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CHRW,CHRW,2026-05-20,180.64,173.7805,192.1866,155.3744,0.6863,0.2118,False,BB_UPPER_HALF,58.2494,RSI_NEUTRAL,75.8509,59.6004,108.3519,KDJ_NEUTRAL,1.3349,0,0,4,54.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CLF,CLF,2026-05-20,10.34,10.4885,11.4982,9.4788,0.4265,0.1925,False,BB_MID,50.7601,RSI_NEUTRAL,27.9307,41.2258,1.3404,KDJ_NEUTRAL,0.7861,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CLH,CLH,2026-05-20,291.4,301.9535,320.6303,283.2767,0.2175,0.1237,False,BB_LOWER_HALF,43.5133,RSI_WEAK,48.8987,54.526,37.6443,KDJ_NEUTRAL,0.968,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CLSK,CLSK,2026-05-20,15.4,13.285,15.4003,11.1697,0.9999,0.3184,False,BB_NEAR_UPPER,67.1273,RSI_STRONG,65.5887,60.8774,75.0112,KDJ_NEUTRAL,1.1802,10,0,0,40.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
CMG,CMG,2026-05-20,32.96,32.928,34.3105,31.5455,0.5116,0.084,True,BB_MID,48.2125,RSI_NEUTRAL,56.8471,47.2196,76.1021,KDJ_NEUTRAL,0.7665,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
LPLA,LPLA,2026-05-20,283.83,311.2505,344.8544,277.6466,0.092,0.2159,False,BB_NEAR_LOWER,34.977,RSI_WEAK,13.904,20.0997,1.5126,KDJ_NEUTRAL,1.0351,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
LSCC,LSCC,2026-05-20,138.74,123.2065,133.7481,112.6649,1.2368,0.1711,False,BB_ABOVE_UPPER,68.6238,RSI_STRONG,69.2656,64.3163,79.1641,KDJ_GOLDEN_CROSS,0.9769,10,0,5,45.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
LYB,LYB,2026-05-20,71.3,73.245,77.1799,69.3101,0.2529,0.1074,True,BB_LOWER_HALF,45.4618,RSI_NEUTRAL,43.6635,49.4427,32.1051,KDJ_DEAD_CROSS,0.7922,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
LYFT,LYFT,2026-05-20,13.35,13.9065,14.8567,12.9563,0.2072,0.1366,False,BB_LOWER_HALF,43.2216,RSI_WEAK,23.6014,23.4409,23.9225,KDJ_LOW_GOLDEN_CROSS,1.2105,0,22,4,76.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MA,MA,2026-05-20,498.04,500.5135,516.1791,484.8479,0.4211,0.0626,True,BB_MID,47.883,RSI_NEUTRAL,44.7216,38.2753,57.6142,KDJ_NEUTRAL,0.8789,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MCK,MCK,2026-05-20,754.68,781.007,859.7426,702.2713,0.3328,0.2016,False,BB_LOWER_HALF,36.6121,RSI_WEAK,53.9072,42.8627,75.9962,KDJ_NEUTRAL,0.9895,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
