ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
CLH,CLH,2026-05-20,291.3999938964844,301.953502,320.157409,283.749595,0.210131,0.120574,False,BB_LOWER_HALF,36.676688,RSI_NEUTRAL,31.977409,31.977409,31.977409,KDJ_NEUTRAL,0.968043,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CLS,CLS,2026-05-26,370.84,378.4315,429.9101,326.9529,0.4263,0.2721,False,BB_MID,51.3418,RSI_NEUTRAL,56.1557,39.9638,88.5395,KDJ_NEUTRAL,0.7965,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CLSK,CLSK,2026-05-20,15.399999618530273,13.285,15.346713,11.223287,1.012923,0.310382,False,BB_NEAR_UPPER,67.144563,RSI_NEUTRAL,77.725107,77.725107,77.725107,KDJ_NEUTRAL,1.180206,10,0,10,40.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CMG,CMG,2026-05-20,32.959999084472656,32.928,34.275466,31.580535,0.511874,0.081843,False,BB_MID,43.890851,RSI_NEUTRAL,52.362222,52.362222,52.362222,KDJ_NEUTRAL,0.76647,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CNM,CNM,2026-05-20,47.119998931884766,48.4935,51.374994,45.612006,0.261669,0.11884,False,BB_LOWER_HALF,37.717298,RSI_NEUTRAL,34.039537,34.039537,34.039537,KDJ_NEUTRAL,0.873969,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
COF,COF,2026-05-20,187.22999572753906,189.095998,197.200988,180.991008,0.384886,0.085724,False,BB_LOWER_HALF,44.082574,RSI_NEUTRAL,45.187473,45.187473,45.187473,KDJ_NEUTRAL,1.014396,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
COGT,COGT,2026-05-21,32.58000183105469,34.753,38.310948,31.195052,0.194628,0.204756,False,BB_LOWER_HALF,27.399546,RSI_OVERSOLD,25.753037,25.753037,25.753037,KDJ_NEUTRAL,1.309424,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
COHR,COHR,2026-05-26,381.35,353.9765,415.8178,292.1352,0.7213,0.3494,False,BB_UPPER_HALF,60.5909,RSI_STRONG,56.0245,58.6079,50.8577,KDJ_NEUTRAL,0.7153,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
COHU,COHU,2026-05-26,49.93,47.175,51.8379,42.5121,0.7954,0.1977,False,BB_UPPER_HALF,62.4014,RSI_STRONG,56.9357,43.8009,83.2052,KDJ_NEUTRAL,0.9795,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CORZ,CORZ,2026-05-26,26.37,22.906,26.7513,19.0607,0.9504,0.3357,False,BB_NEAR_UPPER,70.0761,RSI_OVERHEAT,80.7487,73.3639,95.5183,KDJ_NEUTRAL,0.8052,20,0,0,30.0,TECH_TIMING_NEUTRAL,BB_UPPER_CHASE_RISK;RSI_OVERHEAT,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CPAY,CPAY,2026-05-20,350.4800109863281,322.588,355.135435,290.040566,0.928482,0.201789,False,BB_NEAR_UPPER,71.884655,RSI_OVERHEAT,92.054522,92.054522,92.054522,KDJ_NEUTRAL,0.987839,10,0,10,30.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CPNG,CPNG,2026-05-20,15.619999885559082,18.1595,22.414546,13.904454,0.20159,0.46863,False,BB_LOWER_HALF,24.884798,RSI_OVERSOLD,10.000002,10.000002,10.000002,KDJ_NEUTRAL,0.975796,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CRCL,CRCL,2026-05-22,113.12000274658203,112.013499,134.418251,89.608748,0.524693,0.400037,False,BB_MID,45.560328,RSI_NEUTRAL,22.401854,22.401854,22.401854,KDJ_NEUTRAL,0.585312,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CRDO,CRDO,2026-05-26,221.64,187.2668,220.9344,153.5991,1.0105,0.3596,False,BB_ABOVE_UPPER,65.4143,RSI_STRONG,72.2132,57.1193,102.4009,KDJ_NEUTRAL,1.283,10,0,9,49.0,TECH_TIMING_NEUTRAL,BB_UPPER_CHASE_RISK,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
CRH,CRH,2026-05-20,101.44999694824219,111.2555,122.412331,100.098669,0.060561,0.200562,False,BB_NEAR_LOWER,24.769553,RSI_OVERSOLD,17.615806,17.615806,17.615806,KDJ_NEUTRAL,1.195328,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
CRM,CRM,2026-05-26,179.08,178.745,190.1325,167.3575,0.5147,0.1274,False,BB_MID,49.8287,RSI_NEUTRAL,59.9539,53.4529,72.9558,KDJ_NEUTRAL,1.1025,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
