ticker,universe_tier,data_depth,selected_this_run,event_update_attempted,event_update_status,event_depth,event_cache_file,known_event_date,event_source,failed_reason,runtime_deferred,updated_at
ICHR,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/ICHR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
FORM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/FORM.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CIEN,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CIEN.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
FLEX,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/FLEX.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
GLW,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/GLW.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CIFR,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CIFR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
COHR,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/COHR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CORZ,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CORZ.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CRWD,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CRWD.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
CSCO,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/CSCO.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
DDOG,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/DDOG.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
FN,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/FN.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
GNRC,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/GNRC.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
GOOGL,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/GOOGL.csv,2026-07-22,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
HPE,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,CORE_EVENT_CHECK,state/v18/event_cache/HPE.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
ANET,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/ANET.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
AMKR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/AMKR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
AMZN,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/AMZN.csv,2026-07-30,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
OLPX,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/OLPX.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
PLUG,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PLUG.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
PUMP,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/PUMP.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
QSR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/QSR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
RVMD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/RVMD.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
SATS,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/SATS.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
SEI,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/SEI.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
SMTC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/SMTC.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
TTMI,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/TTMI.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
TWLO,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/TWLO.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
U,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/U.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
ALM,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/ALM.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
APLD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/APLD.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
HTZ,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/HTZ.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
MTZ,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/MTZ.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
OC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/OC.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
RDDT,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/RDDT.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
TLN,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/TLN.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
WULF,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/WULF.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
XYZ,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/XYZ.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
ACMR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,NOT_UPDATED_NO_PROVIDER_IN_SAFE_MODE,BASIC_EVENT_CHECK,state/v18/event_cache/ACMR.csv,,state/v18/cloud_earnings_event_calendar.csv,No event provider enabled in safe mode.,FALSE,2026-05-25T18:47:36
