ticker,old_tier,new_tier,tier_action,promotion_score,demotion_score,promotion_reason,demotion_reason,data_sufficiency_status,scan_status,promotion_candidate_flag,demotion_candidate_flag,cap_limited,first_run_conservative_limit_applied,is_position,protected_position,same_day_core_promotion_guard,core_promotion_allowed_this_run,updated_state,failed_reason
AFRM,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,185,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_negative;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
AGX,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,50,115,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;above_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
ALAB,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ALM,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,20,135,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;below_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AMAT,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AMC,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,140,25,promotion_candidate;full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma20;above_ma60;above_ma120,ret_20d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AMD,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AMKR,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,160,25,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma60;above_ma120,relative_strength_vs_qqq_negative;below_ma20,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AMZN,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,160,25,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma60;above_ma120,relative_strength_vs_qqq_negative;below_ma20,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ANET,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,50,115,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;above_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
APG,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-20,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_positive;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
APH,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
APLD,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
APO,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
APP,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,130,25,promotion_candidate;full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma20;above_ma60,ret_20d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ARGT,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-20,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_positive;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ARM,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
ASML,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AVGO,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
AXON,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-20,140,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma20;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BABA,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,0,130,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BAC,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,30,115,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BALL,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-20,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_positive;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BE,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BIDU,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,210,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
BITF,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
BKNG,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BLSH,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,0,135,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BLTE,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-20,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_positive;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
BN,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,40,115,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BSX,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-20,140,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma20;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BTDR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BW,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,220,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;relative_strength_vs_smh_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
BYND,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,0,130,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CAI,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CAMT,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,20,135,full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;below_ma60;above_ma120;demotion_candidate,demotion_candidate;ret_20d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
CARR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CART,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,140,25,promotion_candidate;full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_negative;above_ma20;above_ma60;above_ma120,ret_20d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CDNS,CANDIDATE,CANDIDATE,CAP_LIMITED_NO_PROMOTION,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
CEG,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,
CHPT,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,0,130,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;above_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CHRW,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,150,25,promotion_candidate;full_history;full_light_metrics;ret_20d_negative;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120,ret_20d_negative;relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CHYM,CANDIDATE,STRONG_WATCH,DEMOTED_TO_STRONG_WATCH,-30,150,full_history;full_light_metrics;ret_20d_negative;ret_60d_negative;ret_120d_negative;below_ma60;demotion_candidate,demotion_candidate;ret_20d_negative;ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20;below_ma60;weak_downtrend,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CIEN,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,210,0,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;relative_strength_vs_qqq_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CIFR,CORE_DAILY,CORE_DAILY,KEPT_SAME_TIER,195,15,promotion_candidate;full_history;full_light_metrics;ret_20d_positive;ret_60d_positive;ret_120d_positive;above_ma20;above_ma60;above_ma120;strong_uptrend,relative_strength_vs_qqq_negative,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
CLF,CANDIDATE,CANDIDATE,KEPT_SAME_TIER,60,40,full_history;full_light_metrics;ret_20d_positive;ret_60d_negative;ret_120d_negative;above_ma60,ret_60d_negative;relative_strength_vs_qqq_negative;below_ma20,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
