ticker,universe_tier,data_depth,scan_priority,scan_importance,selected_this_run,cache_file,cache_exists,data_sufficiency_status,benchmark_data_status,latest_price_date,last_close,earliest_price_date,available_price_row_count,available_unique_date_count,ret_5d,ret_20d,ret_60d,ret_120d,ma20,ma60,ma120,above_ma20,above_ma60,above_ma120,distance_from_52w_high,distance_from_52w_low,simple_volatility_20d,relative_strength_vs_qqq,relative_strength_vs_smh,relative_strength_vs_xlk,volume_surge_score,volatility_status,overheat_status,light_trend_status,trend_improvement_flag,data_sufficient_for_scan,scan_quality_status,scan_status,scan_fail_reason,promotion_candidate_flag,demotion_candidate_flag,promotion_score_prelim,demotion_score_prelim,updated_at
DDOG,CORE_DAILY,FULL_FACTOR_DATA,1430,HIGH,TRUE,state/v18/price_cache/DDOG.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,205.449997,2020-09-21,1420,1420,0.026429,0.622700,0.703566,0.287523,158.015000,132.100750,133.980708,TRUE,TRUE,TRUE,0.000000,1.002144,0.070211,0.527840,0.415207,0.476653,,HIGH_VOLATILITY,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:14
FN,CORE_DAILY,FULL_FACTOR_DATA,1430,HIGH,TRUE,state/v18/price_cache/FN.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,716.929993,2020-09-21,1420,1420,0.153956,0.039195,0.395267,0.851480,679.964505,605.404169,538.741084,TRUE,TRUE,TRUE,-0.039573,2.206593,0.048368,-0.055665,-0.168298,-0.106852,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,1,2026-05-27T22:47:14
GNRC,CORE_DAILY,FULL_FACTOR_DATA,1430,HIGH,TRUE,state/v18/price_cache/GNRC.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,263.670013,2020-09-21,1420,1420,-0.021306,0.243140,0.159142,0.880402,248.287501,221.996334,193.116333,TRUE,TRUE,TRUE,-0.046367,1.185594,0.039576,0.148280,0.035647,0.097093,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:14
HPE,CORE_DAILY,FULL_FACTOR_DATA,1430,HIGH,TRUE,state/v18/price_cache/HPE.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,33.055000,2020-09-21,1420,1420,0.054386,0.250189,0.545348,0.651099,29.694250,25.148083,23.972542,TRUE,TRUE,TRUE,-0.031497,0.912905,0.030365,0.155329,0.042696,0.104142,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:14
ALM,CANDIDATE,MEDIUM_TREND_DATA,1410,MEDIUM,TRUE,state/v18/price_cache/ALM.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-20,17.639999,2021-05-12,1262,1262,-0.096774,-0.243892,0.063932,1.845161,19.963250,19.044583,14.602375,FALSE,FALSE,TRUE,-0.246798,4.157894,0.052966,-0.338752,-0.451385,-0.389939,,HIGH_VOLATILITY,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,2,4,2026-05-27T22:47:14
MTZ,CANDIDATE,MEDIUM_TREND_DATA,1410,MEDIUM,TRUE,state/v18/price_cache/MTZ.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-20,384.209991,2021-05-12,1262,1262,-0.093395,0.020478,0.335454,0.866275,404.732498,350.536832,293.621832,FALSE,TRUE,TRUE,-0.121826,1.548319,0.032761,-0.074382,-0.187015,-0.125569,,NORMAL,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,2,2026-05-27T22:47:14
OC,CANDIDATE,MEDIUM_TREND_DATA,1410,MEDIUM,TRUE,state/v18/price_cache/OC.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-20,113.430000,2021-05-12,1262,1262,-0.043269,-0.076904,-0.104241,0.037976,120.064000,114.554500,117.761333,FALSE,FALSE,FALSE,-0.280677,0.154151,0.027074,-0.171764,-0.284397,-0.222951,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,1,4,2026-05-27T22:47:15
AMZN,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/AMZN.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,262.100006,2020-09-21,1420,1420,-0.038800,0.046057,0.279410,0.207055,264.425000,232.312333,230.664417,FALSE,TRUE,TRUE,-0.046874,0.318477,0.013748,-0.048803,-0.161436,-0.099990,,NORMAL,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,2,2026-05-27T22:47:15
CLH,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/CLH.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-20,291.399994,2021-05-12,1262,1262,-0.038125,-0.042707,0.023677,0.301706,301.953502,295.689668,274.123251,FALSE,FALSE,TRUE,-0.071087,0.444505,0.023749,-0.137567,-0.250200,-0.188754,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,2,4,2026-05-27T22:47:15
MU,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/MU.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,735.750000,2020-09-21,1420,1420,-0.014810,0.616784,0.762909,2.653722,606.219008,473.953669,398.234917,TRUE,TRUE,TRUE,-0.084467,6.879940,0.053684,0.521924,0.409291,0.470737,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:15
OLPX,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/OLPX.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,2.030000,2021-09-30,1165,1165,0.000000,0.000000,0.230303,0.812500,2.033500,1.813167,1.636250,FALSE,TRUE,TRUE,-0.004902,1.009901,0.003474,-0.094860,-0.207493,-0.146047,,NORMAL,OVERHEATED,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,FALSE,2,2,2026-05-27T22:47:15
PLUG,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/PLUG.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,3.765000,1999-10-29,6680,6680,-0.006596,0.183962,0.971204,0.901515,3.367750,2.750917,2.450708,TRUE,TRUE,TRUE,-0.088378,3.889611,0.065943,0.089102,-0.023531,0.037915,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:15
PUMP,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/PUMP.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,16.945000,2017-03-17,2308,2308,-0.002061,0.006833,0.454506,0.798832,16.883750,14.906083,12.702708,TRUE,TRUE,TRUE,-0.068956,2.748894,0.032031,-0.088027,-0.200660,-0.139214,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,1,2026-05-27T22:47:15
QSR,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/QSR.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,75.205002,2014-12-11,2877,2877,-0.016156,-0.074172,0.112171,0.041332,78.179750,76.009750,72.623959,FALSE,FALSE,TRUE,-0.079160,0.215729,0.018237,-0.169032,-0.281665,-0.220219,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,2,4,2026-05-27T22:47:15
RVMD,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/RVMD.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,153.509995,2020-02-13,1576,1576,0.027029,0.141508,0.486924,0.978732,144.845000,120.461333,107.072250,TRUE,TRUE,TRUE,0.000000,3.423919,0.033986,0.046648,-0.065985,-0.004539,,NORMAL,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:15
SATS,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/SATS.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,135.770004,2008-01-02,4626,4626,0.004885,0.117265,0.268760,0.915491,127.838000,121.184833,115.031166,TRUE,TRUE,TRUE,-0.042525,7.490932,0.029057,0.022405,-0.090228,-0.028782,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:15
SEI,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/SEI.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,72.735001,2017-05-12,2269,2269,-0.070717,0.046848,0.317186,0.559833,74.108750,63.648917,57.385458,FALSE,TRUE,TRUE,-0.074383,2.347216,0.033413,-0.048012,-0.160645,-0.099199,,NORMAL,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,2,2026-05-27T22:47:15
SMTC,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/SMTC.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,148.169998,1980-03-17,11640,11640,0.049660,0.406588,0.607747,1.017291,122.178001,98.517834,88.978667,TRUE,TRUE,TRUE,0.000000,3.143457,0.047712,0.311728,0.199095,0.260541,,HIGH_VOLATILITY,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:15
TTMI,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/TTMI.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,175.264999,2000-09-25,6452,6452,0.019753,0.317980,0.610004,1.566481,158.876751,122.981750,103.829708,TRUE,TRUE,TRUE,0.000000,5.130290,0.050939,0.223120,0.110487,0.171933,,HIGH_VOLATILITY,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:15
TWLO,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/TWLO.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,183.889999,2016-06-23,2492,2492,-0.071450,0.298750,0.554175,0.447839,181.171498,145.927666,136.492000,TRUE,TRUE,TRUE,-0.088299,0.989290,0.056346,0.203890,0.091257,0.152703,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:15
U,CANDIDATE,MEDIUM_TREND_DATA,1390,MEDIUM,TRUE,state/v18/price_cache/U.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,25.799999,2020-09-18,1425,1425,-0.054252,0.061292,0.388590,-0.392512,26.807500,23.080833,30.467000,FALSE,TRUE,FALSE,-0.478472,0.506130,0.026087,-0.033568,-0.146201,-0.084755,,NORMAL,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,2,2026-05-27T22:47:16
APLD,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/APLD.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,48.020000,2022-04-13,1030,1030,0.028045,0.321045,0.651307,0.925421,39.517250,31.553583,31.585250,TRUE,TRUE,TRUE,0.000000,6.082596,0.076147,0.226185,0.113552,0.174998,,HIGH_VOLATILITY,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:16
HTZ,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/HTZ.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,5.060000,2021-07-01,1228,1228,-0.132075,-0.142373,0.144796,-0.011719,5.751000,5.324000,5.270417,FALSE,FALSE,FALSE,-0.365119,0.300771,0.050262,-0.237233,-0.349866,-0.288420,,HIGH_VOLATILITY,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,2,4,2026-05-27T22:47:16
RDDT,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/RDDT.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-22,141.487396,2024-03-21,545,545,-0.105473,-0.086530,-0.064546,-0.346388,156.465369,147.699789,175.880311,FALSE,FALSE,FALSE,-0.477347,0.439050,0.043765,-0.181390,-0.294023,-0.232577,,HIGH_VOLATILITY,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,1,4,2026-05-27T22:47:16
TLN,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/TLN.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-22,366.251312,2023-06-02,746,746,0.095773,0.005301,-0.061014,-0.071065,364.497566,342.829522,355.660677,TRUE,TRUE,TRUE,-0.178514,0.534808,0.040690,-0.089559,-0.202192,-0.140746,,HIGH_VOLATILITY,NORMAL,EARLY_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,1,2026-05-27T22:47:16
WULF,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/WULF.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,22.920000,1994-04-05,8087,8087,-0.051717,0.125184,0.279018,0.544474,22.352000,18.564667,16.334833,TRUE,TRUE,TRUE,-0.109557,5.492918,0.049474,0.030324,-0.082309,-0.020863,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:16
XYZ,CANDIDATE,MEDIUM_TREND_DATA,1370,MEDIUM,TRUE,state/v18/price_cache/XYZ.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,68.650002,2015-11-19,2640,2640,-0.040263,-0.018304,0.321717,0.055667,70.975000,65.716500,63.779500,FALSE,TRUE,TRUE,-0.153619,0.398452,0.023677,-0.113164,-0.225797,-0.164351,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,3,3,2026-05-27T22:47:16
ACMR,CANDIDATE,MEDIUM_TREND_DATA,1350,MEDIUM,TRUE,state/v18/price_cache/ACMR.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,62.660000,2020-09-21,1420,1420,0.046951,0.238095,-0.041163,1.111898,55.874500,51.108083,49.200750,TRUE,TRUE,TRUE,-0.113469,1.796073,0.040791,0.143235,0.030602,0.092048,,HIGH_VOLATILITY,NORMAL,EARLY_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:16
MOD,CANDIDATE,MEDIUM_TREND_DATA,1350,MEDIUM,TRUE,state/v18/price_cache/MOD.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,275.799988,2020-09-21,1420,1420,0.010256,0.131673,0.262012,0.984030,262.386499,233.101667,196.053417,TRUE,TRUE,TRUE,-0.055997,2.106205,0.035384,0.036813,-0.075820,-0.014374,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:16
POWL,CANDIDATE,MEDIUM_TREND_DATA,1350,MEDIUM,TRUE,state/v18/price_cache/POWL.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,289.290009,2020-09-21,1420,1420,-0.064967,0.200324,0.618074,1.948429,278.498498,218.147222,175.921750,TRUE,TRUE,TRUE,-0.101723,4.117460,0.040761,0.105464,-0.007169,0.054277,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:16
COHU,CANDIDATE,MEDIUM_TREND_DATA,1330,MEDIUM,TRUE,state/v18/price_cache/COHU.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,46.980000,2020-09-21,1420,1420,-0.051675,0.138633,0.549984,1.197381,47.096500,36.785333,31.761083,FALSE,TRUE,TRUE,-0.083853,1.770047,0.034350,0.043773,-0.068860,-0.007414,,NORMAL,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,1,2026-05-27T22:47:16
