input_order,raw_ticker,ticker,source_tag,initial_tier,is_blank_or_invalid,is_duplicate_in_manual_file,existed_before,final_present,final_tier,source_tag_added,validation_status,note
49,CHPT,CHPT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
50,CHRW,CHRW,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
51,CHYM,CHYM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
52,CIEN,CIEN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
53,CIFR,CIFR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
54,CLF,CLF,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
55,CLH,CLH,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
56,CLS,CLS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
57,CLSK,CLSK,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
58,CMG,CMG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
59,CNM,CNM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
60,COF,COF,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
61,COG,COG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,RESEARCH,TRUE,PASS,user_manual_large_universe_addition
62,COGT,COGT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
63,COHR,COHR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
64,CORZ,CORZ,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
65,CPAY,CPAY,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
66,CPNG,CPNG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
67,CRCL,CRCL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
68,CRH,CRH,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
69,CRS,CRS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
70,CRWV,CRWV,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
71,CSGP,CSGP,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
72,CVNA,CVNA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
73,DAKT,DAKT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
74,DAL,DAL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
75,DASH,DASH,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
76,DB,DB,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
77,DBVT,DBVT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
78,DIS,DIS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
79,DOCU,DOCU,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
80,DUOL,DUOL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
81,EEM,EEM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
82,ENPH,ENPH,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
83,ENTG,ENTG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
84,EQIX,EQIX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
85,EQT,EQT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
86,ET,ET,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
87,ETN,ETN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
88,EWY,EWY,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
89,EWZ,EWZ,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
90,FCNCA,FCNCA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
91,FIGR,FIGR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
92,FLS,FLS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
93,FLUT,FLUT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
94,FN,FN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
95,FWONK,FWONK,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
96,GEHC,GEHC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
97,GEMI,GEMI,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
98,GEV,GEV,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
99,GLW,GLW,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
100,GNRC,GNRC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
101,GOOG,GOOG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
102,GOOGL,GOOGL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
