ticker,universe_tier,last_scan_date,days_since_last_scan,scan_priority,reason
NAMS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NFLX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NRG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NTRA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NU,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NUVB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
NVAX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
OC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
OKTA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
OLMA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
OLPX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
OPCH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PATH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PCOR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PCT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PDD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PFGC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PGNY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PINS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PLUG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PONY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PSIX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PTGX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PTON,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PUMP,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
PYPL,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
QS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
QSR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RBLX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RDDT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RERE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RIOT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RKT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RNG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
ROKU,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RSP,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RTX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
RVMD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SATS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SCCO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SCHW,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SEI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SFIX,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SFM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SHOP,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SHW,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SITM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SMTC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SNPS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SOLS,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
SPOT,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
STG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
STM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
STUB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TEAM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TEVA,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TIGR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TLN,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TSEM,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TTD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TTMI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TTWO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TWLO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
TWST,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
U,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
UAL,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
UBER,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
UNH,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
UPST,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
USFD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
V,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
VECO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
VEEV,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
VIAV,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
VIST,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
VMC,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WAB,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WDAY,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WHR,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WING,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WLK,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WOLF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WULF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WVE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WWD,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
WYFI,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
XENE,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
XLF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
XLK,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
XPO,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
XYZ,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
YPF,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
Z,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
ZG,RESEARCH,,,100,NO_SCAN_EVIDENCE_IN_MOST_RECENT_5_SCAN_DAYS
