ticker,build_attempted,build_success,row_count,status,error_message
SHW,TRUE,TRUE,11640,TECHNICAL_ROW_STAGED,
SITM,TRUE,TRUE,1633,TECHNICAL_ROW_STAGED,
SMTC,TRUE,TRUE,11640,TECHNICAL_ROW_STAGED,
SNPS,TRUE,TRUE,8620,TECHNICAL_ROW_STAGED,
SPOT,TRUE,TRUE,2046,TECHNICAL_ROW_STAGED,
STG,TRUE,TRUE,2052,TECHNICAL_ROW_STAGED,
STM,TRUE,TRUE,7915,TECHNICAL_ROW_STAGED,
TEAM,TRUE,TRUE,2627,TECHNICAL_ROW_STAGED,
TEVA,TRUE,TRUE,11156,TECHNICAL_ROW_STAGED,
TIGR,TRUE,TRUE,1804,TECHNICAL_ROW_STAGED,
TSEM,TRUE,TRUE,7945,TECHNICAL_ROW_STAGED,
TTD,TRUE,TRUE,2430,TECHNICAL_ROW_STAGED,
TTMI,TRUE,TRUE,6452,TECHNICAL_ROW_STAGED,
TTWO,TRUE,TRUE,7322,TECHNICAL_ROW_STAGED,
TWLO,TRUE,TRUE,2492,TECHNICAL_ROW_STAGED,
TWST,TRUE,TRUE,1898,TECHNICAL_ROW_STAGED,
U,TRUE,TRUE,1425,TECHNICAL_ROW_STAGED,
UAL,TRUE,TRUE,5105,TECHNICAL_ROW_STAGED,
UBER,TRUE,TRUE,1768,TECHNICAL_ROW_STAGED,
UNH,TRUE,TRUE,10479,TECHNICAL_ROW_STAGED,
UPST,TRUE,TRUE,1363,TECHNICAL_ROW_STAGED,
USFD,TRUE,TRUE,2511,TECHNICAL_ROW_STAGED,
V,TRUE,TRUE,4573,TECHNICAL_ROW_STAGED,
VEEV,TRUE,TRUE,3168,TECHNICAL_ROW_STAGED,
VIAV,TRUE,TRUE,8182,TECHNICAL_ROW_STAGED,
VIST,TRUE,TRUE,1715,TECHNICAL_ROW_STAGED,
VMC,TRUE,TRUE,13426,TECHNICAL_ROW_STAGED,
WAB,TRUE,TRUE,7784,TECHNICAL_ROW_STAGED,
WDAY,TRUE,TRUE,3420,TECHNICAL_ROW_STAGED,
WHR,TRUE,TRUE,13426,TECHNICAL_ROW_STAGED,
WING,TRUE,TRUE,2752,TECHNICAL_ROW_STAGED,
WLK,TRUE,TRUE,5479,TECHNICAL_ROW_STAGED,
WULF,TRUE,TRUE,8087,TECHNICAL_ROW_STAGED,
WVE,TRUE,TRUE,2646,TECHNICAL_ROW_STAGED,
WWD,TRUE,TRUE,8088,TECHNICAL_ROW_STAGED,
XENE,TRUE,TRUE,2902,TECHNICAL_ROW_STAGED,
XLF,TRUE,TRUE,6895,TECHNICAL_ROW_STAGED,
XPO,TRUE,TRUE,5692,TECHNICAL_ROW_STAGED,
XYZ,TRUE,TRUE,2640,TECHNICAL_ROW_STAGED,
YPF,TRUE,TRUE,8281,TECHNICAL_ROW_STAGED,
Z,TRUE,TRUE,2717,TECHNICAL_ROW_STAGED,
ZG,TRUE,TRUE,3732,TECHNICAL_ROW_STAGED,
