ticker,ledger_update_status,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count,local_price_available,full_history_ready,failure_reason
DUOL,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
EEM,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
ENPH,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
EQIX,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
EQT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
ET,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
EWY,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
EWZ,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
FLS,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
FLUT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
FWONK,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GEHC,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GOOG,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GRAB,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GS,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GSG,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
GT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
HIVE,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
HLT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
HUBS,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
HUM,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
HUT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
IBIT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
INFY,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
ISRG,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
IWM,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
JCI,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
JD,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
JHX,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
KKR,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
KNX,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
KRC,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
KVYO,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
KWEB,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
LBRT,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
LCID,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
LHX,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
LIN,UPDATED_SUCCESS,SKIPPED_NO_LOCAL_DATA,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,0,1,2,3,TRUE,TRUE,
