ticker,selected_in_r2,r2_scan_status,r2_failure_reason,canonical_universe_present,ledger_last_status,local_price_evidence,local_factor_pack_evidence,local_technical_timing_evidence,local_full_history_ready_evidence,found_in_any_local_source,local_source_count,strongest_evidence_source,likely_skip_category,repair_recommendation
FWONK,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GEHC,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GEMI,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GOOG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GRAB,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GSG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
GT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HIVE,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HLT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HOOD,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HTZ,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HUBS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HUM,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
HUT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
IBIT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
INFY,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
INSM,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
ISRG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
IWM,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
JBS,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
JCI,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
JD,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
JFROG,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
JHX,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KKR,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KLAR,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KNX,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KRC,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KVYO,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
KWEB,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
LBRT,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
LCID,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
LHX,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
LIN,TRUE,SKIPPED_NO_LOCAL_DATA,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,TRUE,SKIPPED_NO_LOCAL_DATA,FALSE,FALSE,FALSE,FALSE,TRUE,3,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,MISSING_LOCAL_PRICE,require staged backfill later
