ticker,last_scan_status,last_success_scan_date,attempt_scan_count,success_scan_count,stale_reason
PINS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PLUG,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PONY,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PSIX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PTGX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PTON,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PUMP,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
PYPL,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
QS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
QSR,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RBLX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RDDT,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RERE,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RH,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RIOT,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RKT,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RNG,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
ROKU,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RSP,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RTX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
RVMD,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SATS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SCCO,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SCHW,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SE,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SEI,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SFIX,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SFM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SHOP,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SHW,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SITM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SMTC,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SNPS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SOLS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
SPOT,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
STG,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
STM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
STUB,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TEAM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TEVA,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TICKERS,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TIGR,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TLN,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TSEM,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TTD,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TTMI,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TTWO,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TWLO,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
TWST,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
U,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
UAL,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
UBER,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
UNH,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
UPST,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
USFD,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
V,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
VECO,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
VEEV,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
VIAV,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
VIST,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
VMC,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WAB,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WDAY,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WHR,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WING,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WLK,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WOLF,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WULF,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WVE,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WWD,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
WYFI,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
XENE,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
XLF,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
XLK,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
XPO,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
XYZ,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
YPF,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
Z,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
ZG,SKIPPED_NO_LOCAL_DATA,,1,0,NEVER_SUCCESS
