ticker,official_cache_path,official_cache_exists,row_count,latest_date,close_non_null_count,factor_pack_available,technical_timing_available,scan_result,failure_reason
LYB,D:\us-tech-quant\state\v18\price_cache\LYB.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
LYFT,D:\us-tech-quant\state\v18\price_cache\LYFT.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MA,D:\us-tech-quant\state\v18\price_cache\MA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MCK,D:\us-tech-quant\state\v18\price_cache\MCK.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MELI,D:\us-tech-quant\state\v18\price_cache\MELI.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MOH,D:\us-tech-quant\state\v18\price_cache\MOH.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MPLX,D:\us-tech-quant\state\v18\price_cache\MPLX.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MTSI,D:\us-tech-quant\state\v18\price_cache\MTSI.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
MTZ,D:\us-tech-quant\state\v18\price_cache\MTZ.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NAMS,D:\us-tech-quant\state\v18\price_cache\NAMS.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NFLX,D:\us-tech-quant\state\v18\price_cache\NFLX.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NI,D:\us-tech-quant\state\v18\price_cache\NI.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NRG,D:\us-tech-quant\state\v18\price_cache\NRG.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NTRA,D:\us-tech-quant\state\v18\price_cache\NTRA.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NU,D:\us-tech-quant\state\v18\price_cache\NU.csv,TRUE,1115,2026-05-20,1115,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NUVB,D:\us-tech-quant\state\v18\price_cache\NUVB.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
OC,D:\us-tech-quant\state\v18\price_cache\OC.csv,TRUE,1262,2026-05-20,1262,FALSE,FALSE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
