ticker,source_name,source_path,evidence_type,present,notes
DB,price_cache,state/v18/price_cache/DB.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DBVT,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DBVT,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DBVT,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DBVT,price_cache,state/v18/price_cache/DBVT.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DIS,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DIS,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DIS,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DIS,price_cache,state/v18/price_cache/DIS.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DOCU,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DOCU,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DOCU,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DOCU,price_cache,state/v18/price_cache/DOCU.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
DUOL,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DUOL,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DUOL,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
DUOL,price_cache,state/v18/price_cache/DUOL.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
EEM,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EEM,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EEM,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EEM,price_cache,state/v18/price_cache/EEM.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
ENPH,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
ENPH,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
ENPH,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
ENPH,price_cache,state/v18/price_cache/ENPH.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
EQIX,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQIX,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQIX,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQIX,price_cache,state/v18/price_cache/EQIX.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
EQT,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQT,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQT,state_universe,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
EQT,price_cache,state/v18/price_cache/EQT.csv,LOCAL_PRICE_CACHE,FALSE,Read-only existence/line-count check.
ET,canonical_plan,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
ET,universe_state,outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TICKER_COLUMN,TRUE,Ticker present in local source.
