ticker,ledger_row_found_before_update,scan_result,ledger_update_attempted,ledger_update_success,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count,error_message
SITM,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SMTC,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SNPS,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
SPOT,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
STG,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
STM,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TEAM,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TEVA,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TIGR,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TSEM,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TTD,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TTMI,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TTWO,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TWLO,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
TWST,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
U,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
UAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
UBER,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
UNH,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
