ticker,force_eligible,classification,selection_reason,selected,last_success_scan_date,last_scan_status,last_scan_run_id,attempt_scan_count,success_scan_count
HTZ,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
HUBS,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
HUM,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
HUT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
IBIT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
INFY,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
INSM,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
ISRG,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
IWM,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
JBS,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
JCI,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
JD,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
JFROG,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
JHX,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
KKR,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
KLAR,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
KNX,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
