priority_rank,ticker,source,r23d_integration_success,r23d_retest_success,r23c_candidate_confirmed,target_status,reason
1,AMC,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
20,VMC,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
21,WAB,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
22,WDAY,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
23,WHR,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
24,WING,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
25,WLK,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
26,WULF,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
27,WVE,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
28,WWD,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
29,XENE,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
30,XLF,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
31,XLK,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
32,XPO,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
33,XYZ,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
34,YPF,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
35,Z,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
36,ZG,R23D_INTEGRATION_RESULT_AND_RETEST,TRUE,TRUE,TRUE,TARGET_READY,R23D integration and post-integration retest succeeded; R23C candidate confirmed.
