ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
SNPS,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/SNPS.csv,TRUE,TRUE,TRUE,state/v18/price_cache/SNPS.csv,270,8620,2026-05-21,501.55499267578125,8620,8620,0,,FALSE,2026-05-27T12:58:07
SPOT,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/SPOT.csv,TRUE,TRUE,TRUE,state/v18/price_cache/SPOT.csv,270,2046,2026-05-21,503.5199890136719,2046,2046,0,,FALSE,2026-05-27T12:58:07
STG,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/STG.csv,TRUE,TRUE,TRUE,state/v18/price_cache/STG.csv,270,2052,2026-05-21,3.1600000858306885,2052,2052,0,,FALSE,2026-05-27T12:58:07
TEAM,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TEAM.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TEAM.csv,270,2627,2026-05-21,83.10070037841797,2627,2627,0,,FALSE,2026-05-27T12:58:07
TEVA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TEVA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TEVA.csv,270,11156,2026-05-21,33.93000030517578,11156,11156,0,,FALSE,2026-05-27T12:58:07
TIGR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TIGR.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TIGR.csv,270,1804,2026-05-21,5.764999866485596,1804,1804,0,,FALSE,2026-05-27T12:58:07
TTD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TTD.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TTD.csv,270,2430,2026-05-21,20.950000762939453,2430,2430,0,,FALSE,2026-05-27T12:58:07
TTWO,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TTWO.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TTWO.csv,270,7322,2026-05-21,239.8000030517578,7322,7322,0,,FALSE,2026-05-27T12:58:08
TWST,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TWST.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TWST.csv,270,1898,2026-05-21,53.935001373291016,1898,1898,0,,FALSE,2026-05-27T12:58:08
UAL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/UAL.csv,TRUE,TRUE,TRUE,state/v18/price_cache/UAL.csv,270,5105,2026-05-21,96.70999908447266,5105,5105,0,,FALSE,2026-05-27T12:58:08
