ticker,current_score,current_score_source,current_rank,factor_pack_score,technical_timing_score,overheat_penalty,event_risk_status,local_price_available,full_history_ready,latest_success_scan_date,data_readiness_status,held_out_status,current_tier,current_tier_reason,review_required
AEHR,94.290000,factor_pack_score,7,94.29,48.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
AEIS,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AEVA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AFRM,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AGX,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ALAB,12.380000,factor_pack_score,93,12.38,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ALM,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AMAT,72.380000,factor_pack_score,30,72.38,44.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_3_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
AMC,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
AMD,61.900000,factor_pack_score,41,61.9,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
AMKR,88.570000,factor_pack_score,13,88.57,58.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
AMZN,19.050000,factor_pack_score,86,19.05,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ANET,32.380000,factor_pack_score,72,32.38,72.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
APG,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
APH,41.900000,factor_pack_score,62,41.9,72.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
APLD,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
APO,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
APP,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ARGT,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
ARM,6.670000,factor_pack_score,99,6.67,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ASML,59.050000,factor_pack_score,44,59.05,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
AVGO,26.670000,factor_pack_score,78,26.67,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
AXON,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BABA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BAC,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BALL,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BE,79.050000,factor_pack_score,23,79.05,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
BIDU,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BITF,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BKNG,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BLSH,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BLTE,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BN,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BSX,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BTDR,33.330000,factor_pack_score,71,33.33,54.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
BW,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
BYND,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CAI,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CAMT,82.860000,factor_pack_score,19,82.86,68.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
CARR,14.290000,factor_pack_score,91,14.29,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CART,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CDNS,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CDTX,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CEG,39.050000,factor_pack_score,65,39.05,68.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CFLT,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CHPT,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CHRW,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CHYM,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CIEN,83.810000,factor_pack_score,18,83.81,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
CIFR,46.670000,factor_pack_score,57,46.67,40.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CLF,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CLH,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CLS,60.950000,factor_pack_score,42,60.95,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
CLSK,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CMG,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,FALSE
CNM,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
COF,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
COG,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,HOLD_EMPTY_FETCH,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
COGT,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
COHR,68.570000,factor_pack_score,34,68.57,40.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_3_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
COHU,85.710000,factor_pack_score,16,85.71,58.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
CORZ,1.900000,factor_pack_score,104,1.9,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CPAY,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
CPNG,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
CRCL,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
CRDO,80.000000,factor_pack_score,22,80.0,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
CRH,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
CRM,27.620000,factor_pack_score,77,27.62,58.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CRS,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
CRWD,10.480000,factor_pack_score,95,10.48,14.0,40.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CRWV,75.240000,factor_pack_score,27,75.24,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
CSCO,22.860000,factor_pack_score,82,22.86,19.0,35.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
CSGP,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
CVNA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
D,20.000000,factor_pack_score,85,20.0,49.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
DAKT,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DAL,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DASH,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DB,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DBVT,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
DDOG,0.950000,factor_pack_score,105,0.95,25.0,25.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
DELL,55.240000,factor_pack_score,48,55.24,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
DIS,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DOCU,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
DUOL,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
ECL,45.710000,factor_pack_score,58,45.71,72.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
EEM,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
ENPH,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
ENTG,70.480000,factor_pack_score,32,70.48,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_3_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
EQIX,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
EQT,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
ET,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
ETN,48.570000,factor_pack_score,55,48.57,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
ETR,52.380000,factor_pack_score,51,52.38,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
EWY,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
EWZ,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
FCNCA,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,HOLD_SUSPICIOUS_PRICE_DATA,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
FIGR,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
FIX,86.670000,factor_pack_score,15,86.67,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
FLEX,81.900000,factor_pack_score,20,81.9,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_2_STRONG_WATCHLIST,SCORE_THRESHOLD_POLICY,FALSE
FLR,29.520000,factor_pack_score,75,29.52,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
FLS,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
FLUT,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
FN,31.430000,factor_pack_score,73,31.43,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
FORM,100.000000,factor_pack_score,1,100.0,64.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
FWONK,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GEHC,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GEMI,,factor_pack_score,,,,,,FALSE,FALSE,,DATA_NOT_READY,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,TRUE
GEV,63.810000,factor_pack_score,39,63.81,58.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_4_REVIEW_ONLY,SCORE_THRESHOLD_POLICY,FALSE
GLW,95.240000,factor_pack_score,6,95.24,40.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_1_CORE_CANDIDATE,SCORE_THRESHOLD_POLICY,FALSE
GNRC,42.860000,factor_pack_score,61,42.86,50.0,0.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
GOOG,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GOOGL,3.810000,factor_pack_score,102,3.81,40.0,10.0,NONE,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_5_WEAK_OR_BLOCKED,SCORE_THRESHOLD_POLICY,FALSE
GRAB,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GS,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GSG,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
GT,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
HIVE,,factor_pack_score,,,,,,TRUE,TRUE,2026-05-21,PRICE_AND_FULL_HISTORY_READY,,TIER_0_DATA_NOT_READY,NO_USABLE_SCORE,FALSE
