factor,strategy_type,lookback_days,start_date,end_date,top_n,hold_days,cost_bps,universe_source,raw_universe_count,available_ticker_count,missing_ticker_count,daily_count,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,hit_rate,bench_cagr,excess_cagr_vs_bench,corr_vs_bench,avg_turnover,rebalance_count,avg_holding_names,config_rank
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.810665238630451,1.3500072475048142,0.6049704566107533,1.7131928149482754,-0.3949046364419804,0.5491329479768786,0.3147880980783788,1.0352191494264353,0.7718398614867992,0.7690058479532164,171,5.0,5
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,2.2954921537258324,0.7843323274649896,0.4693939751450954,1.466537667817784,-0.2966748608877606,0.51252408477842,0.3147880980783788,0.4695442293866108,0.7005890459781104,0.9123529411764706,170,5.0,6
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,10.012962769976449,2.2054991560356743,0.5899665646985788,2.276732418176996,-0.49554839760380753,0.5645472061657033,0.3147880980783788,1.8907110579572954,0.6093599803200515,0.5174698795180723,166,5.0,1
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,10.44695044165494,2.266223624400068,0.6156632538875813,2.2349153019216046,-0.4256385873935208,0.49903660886319845,0.3147880980783788,1.9514355263216894,0.608318759048768,0.27823129251700673,147,5.0,2
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.171248880306603,1.6027551286036958,0.5817760501921354,1.9409325299182127,-0.5152784407297637,0.4605009633911368,0.3147880980783788,1.287967030525317,0.5603135417165399,0.14360902255639096,133,5.0,3
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.376789429341035,1.0479180383287319,0.5247537336888174,1.6364741205220725,-0.54660939692615,0.45472061657032753,0.3147880980783788,0.733129940250353,0.5775005706287705,0.7030075187969925,133,5.0,4
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.176068374693304,1.0017653631037433,0.6068249758246066,1.44490882378958,-0.41709626937169053,0.5394990366088632,0.3147880980783788,0.6869772650253645,0.771218313084458,0.7690058479532164,171,5.0,5
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,3,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,1.2400194588210232,0.47932791825406107,0.46823232274433324,1.0680857450533225,-0.33407747472059257,0.5009633911368016,0.3147880980783788,0.16453982017568225,0.6968674925611882,0.9123529411764706,170,5.0,6
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.893117193961064,2.0428682577514095,0.5735651188413187,2.2336539224174796,-0.43393901573488636,0.5684007707129094,0.3147880980783788,1.7280801596730306,0.6376478971689759,0.597,100,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,7.3271781580396596,1.7986393490595796,0.5376312328778478,2.1898759831149643,-0.42398888592347306,0.4720616570327553,0.3147880980783788,1.4838512509812007,0.6112301551396644,0.77125,80,5.0,2
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.263538081833659,1.4372221994946637,0.45839726217373084,2.1745033146168122,-0.39211251357244303,0.5664739884393064,0.3147880980783788,1.1224341014162849,0.7231139355081342,0.9343137254901961,102,5.0,3
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.145544843001836,1.928967008481175,0.5818804505752037,2.1443615592363123,-0.49957399622362053,0.4527938342967245,0.3147880980783788,1.6141789104027962,0.5571961588299449,0.19125000000000003,80,5.0,4
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,7.276594667391906,1.7903719061049248,0.5929198277408085,2.0326041674132895,-0.5011680121913202,0.5009633911368016,0.3147880980783788,1.475583808026546,0.6035831279735177,0.35340909090909095,88,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.267380082773627,1.2406274909549384,0.5497696729977737,1.7407709331053136,-0.4366049948446329,0.535645472061657,0.3147880980783788,0.9258393928765596,0.7777768626111987,0.9349514563106796,103,5.0,6
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.051030057275371,1.9142304241703694,0.5733511727877585,2.1586509478797615,-0.43701623809860646,0.5684007707129094,0.3147880980783788,1.5994423260919906,0.6376045495169294,0.597,100,5.0,1
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,7.939700946991421,1.8967702619445808,0.5817906116855005,2.1255391421680363,-0.5012408946123375,0.4527938342967245,0.3147880980783788,1.581982163866202,0.5571745009614235,0.19125000000000003,80,5.0,2
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.593677438012558,1.6761026973930333,0.5375957098253235,2.1064307837674074,-0.42827541002977665,0.4682080924855491,0.3147880980783788,1.3613145993146545,0.6109494660258851,0.77125,80,5.0,3
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.431747233891471,1.27430791182878,0.45830819896510017,2.0234792210727077,-0.40041132704835014,0.5568400770712909,0.3147880980783788,0.9595198137504011,0.72370336801357,0.9343137254901961,102,5.0,4
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.899808666880446,1.727953408779213,0.5930137572593149,1.9940860246161498,-0.5047751816967483,0.49903660886319845,0.3147880980783788,1.4131653107008342,0.603637226447941,0.35340909090909095,88,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.562483555811311,1.089655169033311,0.5494100806995785,1.6142504944097624,-0.44877020926907474,0.5317919075144508,0.3147880980783788,0.7748670709549321,0.7778661218722014,0.9349514563106796,103,5.0,6
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,7.606671844752343,1.8438615038388146,0.5816587092983604,2.0940913354799644,-0.5040080449212739,0.4508670520231214,0.3147880980783788,1.5290734057604358,0.5571213121512841,0.19125000000000003,80,5.0,1
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.802291046026453,1.7115504533072343,0.5731310978028277,2.033037203845186,-0.44211385526061786,0.5645472061657033,0.3147880980783788,1.3967623552288555,0.637380391403663,0.597,100,5.0,2
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.510296393783123,1.48337979947879,0.5377299257569143,1.966623295423927,-0.4353612764808179,0.4624277456647399,0.3147880980783788,1.1685917014004112,0.6102619786687383,0.77125,80,5.0,3
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.309016332694838,1.626914608040765,0.5932237495471514,1.9297423637254745,-0.5107349170617331,0.49710982658959535,0.3147880980783788,1.3121265099623862,0.603672963146097,0.35340909090909095,88,5.0,4
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.281644559830296,1.0261798161393938,0.4585450594205919,1.770153270332739,-0.42092411715114486,0.5510597302504817,0.3147880980783788,0.711391718061015,0.7240773366306443,0.9343137254901961,102,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,5,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,2.5893499058794385,0.8598907700331602,0.5491351091213441,1.402185960897339,-0.4687237243675171,0.5240847784200385,0.3147880980783788,0.5451026719547813,0.7775556093805043,0.9349514563106796,103,5.0,6
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,13.061552732996265,2.6093297701376614,0.5911712458910768,2.4741264879400076,-0.4674100528180133,0.5260115606936416,0.3147880980783788,2.2945416720592826,0.6028373939948332,0.4840909090909093,44,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,10.164046443913433,2.2267765054848137,0.5356781884493891,2.46264297083188,-0.4269579320424608,0.4682080924855491,0.3147880980783788,1.9119884074064348,0.6066827939821181,0.8024999999999999,40,5.0,2
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.967024119453056,1.3805018533040374,0.4233657506259242,2.2621277833545577,-0.4008595403122709,0.5703275529865125,0.3147880980783788,1.0657137552256586,0.7275397952732882,0.9549019607843137,51,5.0,3
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,7.092092245509283,1.7599940522689028,0.5660374362903371,2.083172788368556,-0.5024718605759754,0.5606936416184971,0.3147880980783788,1.445205954190524,0.6475326910674485,0.71,50,5.0,4
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.8166839041423355,1.7139780125596773,0.5838513945304497,2.008263550585231,-0.48545432230393426,0.45472061657032753,0.3147880980783788,1.3991899144812985,0.5619453009103531,0.2525,40,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,1.9125121798532083,0.6804469375651798,0.5284041579023906,1.2475258159121663,-0.5490798305648465,0.5414258188824663,0.3147880980783788,0.365658839486801,0.7499083761043118,0.8826923076923077,52,5.0,6
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,12.617864135232821,2.5535762621142437,0.5913825508006605,2.4470102163323824,-0.47002851482328556,0.5260115606936416,0.3147880980783788,2.238788164035865,0.6030577434733488,0.4840909090909093,44,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,9.643336634597722,2.152802269978552,0.5354831110674028,2.4198801192411303,-0.43008879529093513,0.4662813102119461,0.3147880980783788,1.838014171900173,0.6066410770733836,0.8024999999999999,40,5.0,2
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,4.54824581580121,1.2978631054343053,0.4232419649117713,2.178985401511543,-0.40400956808784527,0.5664739884393064,0.3147880980783788,0.9830750073559265,0.7284562650640466,0.9549019607843137,51,5.0,3
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.67582494770199,1.690120328334212,0.5658141481809661,2.0382987891981585,-0.5071222811561341,0.5606936416184971,0.3147880980783788,1.3753322302558333,0.6476465088594577,0.71,50,5.0,4
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.700115205076806,1.694250412015688,0.583785007692589,1.9958912782550533,-0.48641118984273113,0.45472061657032753,0.3147880980783788,1.3794623139373092,0.5620114280566602,0.2525,40,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,1.7185056561617649,0.6251321120488997,0.5285895189641698,1.1838444538994164,-0.5543816445670516,0.5375722543352601,0.3147880980783788,0.3103440139705209,0.7495737236993983,0.8826923076923077,52,5.0,6
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,11.908441864899874,2.4624524797645098,0.5917831976458817,2.401662733741409,-0.47436963458382686,0.5260115606936416,0.3147880980783788,2.147664381686131,0.6033752173633002,0.4840909090909093,44,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.827599401520171,2.0330669482832464,0.5352700663936509,2.3480476410911644,-0.4352767695810862,0.45857418111753373,0.3147880980783788,1.7182788502048676,0.6064444666612624,0.8024999999999999,40,5.0,2
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.9134197430271795,1.1662113995442756,0.4232795228085271,2.0391311400713152,-0.4092322771628475,0.5606936416184971,0.3147880980783788,0.8514233014658967,0.7295643345374858,0.9549019607843137,51,5.0,3
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.509540826306681,1.6616645401322714,0.5836895422072402,1.9752132019754733,-0.4880031127333815,0.4527938342967245,0.3147880980783788,1.3468764420538926,0.5621070550377469,0.2525,40,5.0,4
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.028151487027064,1.5774067916040808,0.5655469948870024,1.9630655235311423,-0.5147879362646297,0.5568400770712909,0.3147880980783788,1.262618693525702,0.6477161343895552,0.71,50,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,10,50.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,1.4229419892411292,0.5368002351289605,0.5290719311525323,1.077454640558064,-0.5630957417308314,0.5337186897880539,0.3147880980783788,0.22201213705058165,0.7487708963769086,0.8826923076923077,52,5.0,6
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.880706276459229,1.5510089725907679,0.4272590190033266,2.408963301053625,-0.43866917845485376,0.5703275529865125,0.3147880980783788,1.236220874512389,0.713660626503717,0.9730769230769231,26,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.638666730296611,2.004613289309424,0.545888961074685,2.297698866319073,-0.3811171480813027,0.4489402697495183,0.3147880980783788,1.6898251912310451,0.5963899752786708,0.745,20,5.0,2
F007_PULLBACK_IN_UPTREND,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,10.116199767276964,2.220054300407333,0.6174870602267983,2.2099319461209634,-0.3980372568310103,0.5067437379576107,0.3147880980783788,1.9052662023289542,0.6021126447579426,0.5681818181818181,22,5.0,3
F009_VOLUME_PRICE_CONFIRM,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.505976104963984,1.4825794816379285,0.5320058413574578,1.9787705430798053,-0.4681845586448492,0.5549132947976878,0.3147880980783788,1.1677913835595497,0.6499988278197079,0.8680000000000001,25,5.0,4
F011_TS_MOMENTUM_60_120,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,6.626863219470368,1.6817748572572557,0.5884535483310603,1.9772851380393694,-0.4714123612885268,0.4605009633911368,0.3147880980783788,1.366986759178877,0.5534090189347127,0.35500000000000004,20,5.0,5
F006_SHORT_REV_5D,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,10.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,3.0602197559346322,0.9746071330355426,0.4980820134185276,1.6159352458217444,-0.48767580779004305,0.5375722543352601,0.3147880980783788,0.6598190349571638,0.7301504487805388,0.9192307692307692,26,5.0,6
F008_VOLUME_ABNORMAL_5_20,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,5.6235893104631085,1.5042702069448168,0.42753079467373006,2.3643319260761597,-0.44125573732714185,0.5684007707129094,0.3147880980783788,1.189482108866438,0.7136996625433617,0.9730769230769231,26,5.0,1
F010_XSEC_COMPOSITE_RANK,LONG_ONLY_TOPN,756,2024-04-19,2026-05-15,5,20,25.0,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,105,105,0,519,8.426054958780163,1.9722481880476357,0.5459198497128331,2.2776904421593946,-0.383191290445393,0.44701348747591524,0.3147880980783788,1.6574600899692569,0.596574151202027,0.745,20,5.0,2
