snapshot_date,ticker,base_date,base_date_source,official_decision_impact,auto_weight_change,auto_promotion,auto_trade,yf_history_status,calendar_status,calendar_method,days_to_month_end,month_end_window_status,month_end_rebalance_factor,days_to_quarter_end,quarter_end_window_status,quarter_end_rebalance_factor,opex_date,options_expiry_pressure_status,options_expiry_pressure_method,options_expiry_pressure_factor,opex_relief_status,opex_relief_method,opex_relief_factor,realized_volatility_status,realized_volatility_factor,realized_volatility_10d,realized_volatility_20d,vwap_proxy_status,vwap_method,vwap_proxy_value,vwap_position_factor,vwap_deviation_factor,vwap_reclaim_support_factor
2026-05-16,AVGO,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.434866,0.478152,0.434866,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,417.351066,1.000000,0.018783,0.000000
2026-05-16,ICHR,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.618708,0.685357,0.618708,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,68.770413,1.000000,0.065429,1.000000
2026-05-16,KLAC,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.508932,0.539834,0.508932,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,1807.256926,0.000000,-0.001625,0.000000
2026-05-16,ZS,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.596479,0.615672,0.596479,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,143.592248,1.000000,0.121579,0.000000
2026-05-16,DDOG,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,1.142391,1.557858,1.142391,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,165.258043,1.000000,0.258517,0.000000
2026-05-16,FLEX,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,1.450080,2.025616,1.450080,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,118.042129,1.000000,0.167888,0.000000
2026-05-16,NTAP,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.304531,0.321092,0.304531,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,113.312513,1.000000,0.058400,0.000000
2026-05-16,CSCO,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.523452,0.675845,0.523452,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,98.355038,1.000000,0.201870,0.000000
2026-05-16,AAPL,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.230353,0.183882,0.230353,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,281.612585,1.000000,0.066110,0.000000
2026-05-16,PANW,2026-05-15,source_row_text.price_date,NONE,DISABLED,DISABLED,DISABLED,YFINANCE_OK,COMPUTABLE_NOW,WEEKDAY_TRADING_DAY_APPROX,10,OUT_OF_WINDOW,0.0,32,OUT_OF_WINDOW,0.0,2026-05-15,MONTHLY_OPEX_FRIDAY,CALENDAR_PROXY_ONLY,1.0,OUT_OF_WINDOW,CALENDAR_PROXY_ONLY,0.0,COMPUTABLE_NOW,0.433452,0.412913,0.433452,PROXY_ONLY_DAILY_OHLCV,PROXY_ONLY_DAILY_OHLCV,197.619634,1.000000,0.228775,0.000000
