factor_name,horizon,n_pairs,status,recommendation,current_weight,factor_direction,label_column,captured_columns_used,factor_method,top_fraction,top_count,bottom_count,all_mean_return,all_median_return,all_win_rate,top_mean_return,top_median_return,top_win_rate,bottom_mean_return,bottom_median_return,bottom_win_rate,top_minus_bottom_mean,pearson_corr,spearman_corr
pullback_quality_score,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_10d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
pullback_quality_score,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.2,,fwd_20d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
momentum_continuation_score,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.15,,fwd_1d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
momentum_continuation_score,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.15,,fwd_5d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
momentum_continuation_score,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.15,,fwd_10d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
momentum_continuation_score,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.15,,fwd_20d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
overheat_penalty,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.1,,fwd_1d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
overheat_penalty,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.1,,fwd_5d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
overheat_penalty,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.1,,fwd_10d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
overheat_penalty,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.1,,fwd_20d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
volatility_penalty,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_1d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
volatility_penalty,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_5d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
volatility_penalty,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_10d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
volatility_penalty,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_20d_return,,NO_CAPTURED_COLUMN,,,,,,,,,,,,,,,
execution_fit,1D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_1d_return,execution_fit | execution_fit_score | execution_fit_status,DIRECT_COLUMN:execution_fit,,,,,,,,,,,,,,,
execution_fit,5D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_5d_return,execution_fit | execution_fit_score | execution_fit_status,DIRECT_COLUMN:execution_fit,,,,,,,,,,,,,,,
execution_fit,10D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_10d_return,execution_fit | execution_fit_score | execution_fit_status,DIRECT_COLUMN:execution_fit,,,,,,,,,,,,,,,
execution_fit,20D,0,NO_MATURE_FORWARD_RETURNS_OR_FACTOR_VALUES,WAIT_FOR_FORWARD_RETURNS,0.05,,fwd_20d_return,execution_fit | execution_fit_score | execution_fit_status,DIRECT_COLUMN:execution_fit,,,,,,,,,,,,,,,
