"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"87","CRCL","FALSE","36.306363",,,"2026-05-22","2026-05-29","113","2026-05-28","108.24","4.4","LATEST_PRICE_OK"
"88","NI","FALSE","36.202758",,,"2026-05-20","2026-05-29","46.22","2026-05-28","46.77","-1.18","LATEST_PRICE_OK"
"89","NFLX","FALSE","36.130062",,,"2026-05-20","2026-05-29","86.02","2026-05-28","86.36","-0.39","LATEST_PRICE_OK"
"90","PANW","FALSE","36.072",,,"2026-05-26","2026-05-29","281.69","2026-05-28","257.77","9.28","LATEST_PRICE_OK"
"91","VIST","FALSE","36.042571",,,"2026-05-21","2026-05-29","74.2","2026-05-28","73.12","1.48","LATEST_PRICE_OK"
"92","JCI","FALSE","36.019782",,,"2026-05-20","2026-05-29","134.06","2026-05-28","136.15","-1.54","LATEST_PRICE_OK"
"93","IGV","FALSE","35.952",,,"2026-05-26","2026-05-29","101.66","2026-05-28","95.68","6.25","LATEST_PRICE_OK"
"94","DBVT","FALSE","35.851684",,,"2026-05-21","2026-05-29","19.1","2026-05-28","18.99","0.58","LATEST_PRICE_OK"
"95","LSCC","FALSE","35.814654",,,"2026-05-20","2026-05-29","147.08","2026-05-28","147.31","-0.16","LATEST_PRICE_OK"
"96","XPO","FALSE","35.726432",,,"2026-05-21","2026-05-29","214.25","2026-05-28","214.03","0.1","LATEST_PRICE_OK"
"97","BLSH","FALSE","35.676937",,,"2026-05-22","2026-05-29","34.91","2026-05-28","35.82","-2.54","LATEST_PRICE_OK"
"98","WLK","FALSE","35.644882",,,"2026-05-21","2026-05-29","86.83","2026-05-28","87.67","-0.96","LATEST_PRICE_OK"
"99","AA","FALSE","35.622948",,,"2026-05-20","2026-05-29","77.64","2026-05-28","75.58","2.73","LATEST_PRICE_OK"
"100","SOLS","FALSE","35.46783",,,"2026-05-22","2026-05-29","84.23","2026-05-28","84.57","-0.4","LATEST_PRICE_OK"
"101","NTAP","FALSE","35.416",,,"2026-05-26","2026-05-29","174.29","2026-05-28","142.4","22.39","LATEST_PRICE_OK"
"102","EWZ","FALSE","35.290541",,,"2026-05-20","2026-05-29","35.91","2026-05-28","36.11","-0.55","LATEST_PRICE_OK"
"103","IBIT","FALSE","35.270648",,,"2026-05-20","2026-05-29","41.63","2026-05-28","41.56","0.17","LATEST_PRICE_OK"
"104","APG","FALSE","35.030941",,,"2026-05-20","2026-05-29","41","2026-05-28","41.58","-1.39","LATEST_PRICE_OK"
"105","GOOG","FALSE","34.850946",,,"2026-05-20","2026-05-29","376.43","2026-05-28","386.12","-2.51","LATEST_PRICE_OK"
"106","PTON","FALSE","34.719287",,,"2026-05-21","2026-05-29","6.4","2026-05-28","6.04","5.96","LATEST_PRICE_OK"
"107","PCT","FALSE","34.600968",,,"2026-05-21","2026-05-29","12.39","2026-05-28","12.87","-3.73","LATEST_PRICE_OK"
"108","IRDM","FALSE","34.596",,,"2026-05-26","2026-05-29","51.78","2026-05-28","51.26","1.01","LATEST_PRICE_OK"
