snapshot_price_date,ticker,yf_ticker,baseline_close,technical_timing_score,technical_signal,bb_status,rsi_status,kdj_status,bb_percent_b,bb_bandwidth,signal_bb_squeeze,rsi_14,kdj_k,kdj_d,kdj_j,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_warning_label,vix_date,vix_close,vix_regime,signal_watch_positive,signal_pullback_watch,signal_overheat_old,signal_breakout_continuation,signal_exhaustion_risk,signal_overheat_unclassified,official_decision_impact,tracker_added_at,obs_price_date_1,obs_close_1,ret_fwd_1,completed_1,obs_price_date_3,obs_close_3,ret_fwd_3,completed_3,obs_price_date_5,obs_close_5,ret_fwd_5,completed_5,obs_price_date_10,obs_close_10,ret_fwd_10,completed_10,obs_price_date_20,obs_close_20,ret_fwd_20,completed_20
2026-05-15,COHR,COHR,387.795,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_NEUTRAL,0.8548,0.345,False,64.8045,82.2247,78.3972,89.8797,0.9609,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,COHU,COHU,46.97,50.0,TECH_TIMING_NEUTRAL,BB_MID,RSI_NEUTRAL,KDJ_NEUTRAL,0.4849,0.1772,False,57.1441,46.9489,61.5794,17.688,0.6499,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CORZ,CORZ,23.67,50.0,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,RSI_STRONG,KDJ_NEUTRAL,0.7831,0.3023,False,62.2811,73.5411,71.291,78.0414,0.731,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CRDO,CRDO,176.46,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.2731,0.222,True,51.7845,37.5638,54.5288,3.6338,0.9589,0,8,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CRM,CRM,174.1,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.2883,0.1495,False,45.2603,26.8318,31.2839,17.9276,0.8235,0,8,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CRWD,CRWD,587.53,10.0,TECH_TIMING_OVERHEAT_AVOID_CHASE,BB_NEAR_UPPER,RSI_EXTREME_OVERHEAT,KDJ_EXTREME_OVERHEAT,0.9937,0.41,False,81.9041,96.049,93.4422,101.2627,0.9882,40,0,0,BB_UPPER_CHASE_RISK;RSI_EXTREME_OVERHEAT;KDJ_EXTREME_OVERHEAT,2026-05-15,18.35,VIX_CAUTION,False,False,True,False,True,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CRWV,CRWV,107.36,58.0,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,RSI_NEUTRAL,KDJ_NEUTRAL,0.2144,0.2812,True,47.2003,29.1678,39.0051,9.4931,0.8677,0,8,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,CSCO,CSCO,116.675,19.0,TECH_TIMING_OVERHEAT_AVOID_CHASE,BB_ABOVE_UPPER,RSI_EXTREME_OVERHEAT,KDJ_OVERHEAT,1.1558,0.3556,False,87.9167,90.9311,90.2196,92.3543,1.6664,35,0,4,BB_UPPER_CHASE_RISK;RSI_EXTREME_OVERHEAT;KDJ_OVERHEAT,2026-05-15,18.35,VIX_CAUTION,False,False,True,False,False,True,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,D,D,62.19,50.0,TECH_TIMING_NEUTRAL,BB_MID,RSI_NEUTRAL,KDJ_NEUTRAL,0.4064,0.0541,True,47.508,42.9708,39.0049,50.9026,0.9286,0,0,0,NONE,2026-05-15,18.35,VIX_CAUTION,False,False,False,False,False,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
2026-05-15,DDOG,DDOG,206.105,20.0,TECH_TIMING_OVERHEAT_AVOID_CHASE,BB_UPPER_HALF,RSI_EXTREME_OVERHEAT,KDJ_EXTREME_OVERHEAT,0.8667,0.8292,False,82.919,96.0716,93.6633,100.8882,0.7444,30,0,0,RSI_EXTREME_OVERHEAT;KDJ_EXTREME_OVERHEAT,2026-05-15,18.35,VIX_CAUTION,False,False,True,False,True,False,NONE,2026-05-16 01:17:53,,,,False,,,,False,,,,False,,,,False,,,,False
