ticker,canonical_universe_present,first_seen_date,last_attempt_scan_timestamp,last_success_scan_timestamp,last_success_scan_date,last_scan_status,last_scan_run_id,success_scan_count,attempt_scan_count,local_price_available,factor_pack_available,technical_timing_available,full_history_ready,failure_reason,source_notes,last_attempt_scan_date,last_scan_source,last_scan_mode,last_scan_note
AEHR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AEIS,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
AEVA,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
AFRM,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
AGX,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
ALAB,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ALM,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
AMAT,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AMC,TRUE,2026-05-21,2026-05-22T15:21:10,2026-05-22T15:21:10,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R23E_20260522_152110,1,3,TRUE,FALSE,FALSE,TRUE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,2026-05-22,V18_25A_R23E_AFTER_PRICE_CACHE_INTEGRATION,APPLY_ROLLING_LEDGER_UPDATE_AFTER_PRICE_INTEGRATION,R23E official price cache local validation passed; no external fetch.
AMD,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AMKR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AMZN,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ANET,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
APG,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
APH,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
APLD,TRUE,2026-05-21,2026-05-22T15:21:10,2026-05-22T15:21:10,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R23E_20260522_152110,1,3,TRUE,FALSE,FALSE,TRUE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,2026-05-22,V18_25A_R23E_AFTER_PRICE_CACHE_INTEGRATION,APPLY_ROLLING_LEDGER_UPDATE_AFTER_PRICE_INTEGRATION,R23E official price cache local validation passed; no external fetch.
APO,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
APP,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
ARGT,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
ARM,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
ASML,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AVGO,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
AXON,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BABA,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BAC,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BALL,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BE,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
BIDU,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BITF,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BKNG,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BLSH,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,,,,
BLTE,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BN,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BSX,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
BTDR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
BW,TRUE,2026-05-21,2026-05-22T15:21:10,2026-05-22T15:21:10,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R23E_20260522_152110,1,3,TRUE,FALSE,FALSE,TRUE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,2026-05-22,V18_25A_R23E_AFTER_PRICE_CACHE_INTEGRATION,APPLY_ROLLING_LEDGER_UPDATE_AFTER_PRICE_INTEGRATION,R23E official price cache local validation passed; no external fetch.
BYND,TRUE,2026-05-21,2026-05-22T15:21:10,2026-05-22T15:21:10,2026-05-22,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_25A_R23E_20260522_152110,1,3,TRUE,FALSE,FALSE,TRUE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,2026-05-22,V18_25A_R23E_AFTER_PRICE_CACHE_INTEGRATION,APPLY_ROLLING_LEDGER_UPDATE_AFTER_PRICE_INTEGRATION,R23E official price cache local validation passed; no external fetch.
CAI,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,,,,
CAMT,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CARR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CART,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CDNS,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CDTX,FALSE,2026-05-21,2026-05-21T14:16:59,,,EXCLUDED_FROM_ACTIVE_UNIVERSE_V18_35G,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,USER_CONFIRMED_REMOVE_UNCOMPUTED_TICKER,local_price=missing;factor_pack=missing;technical_timing=missing;V18.35G excluded from active universe: USER_CONFIRMED_REMOVE_UNCOMPUTED_TICKER,,,,
CEG,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CFLT,FALSE,2026-05-21,2026-05-21T14:16:59,,,EXCLUDED_FROM_ACTIVE_UNIVERSE_V18_35G,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,USER_CONFIRMED_REMOVE_UNCOMPUTED_TICKER,local_price=missing;factor_pack=missing;technical_timing=missing;V18.35G excluded from active universe: USER_CONFIRMED_REMOVE_UNCOMPUTED_TICKER,,,,
CHPT,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CHRW,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CHYM,TRUE,2026-05-21,2026-05-21T14:16:59,,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,0,2,FALSE,FALSE,FALSE,FALSE,LOCAL_PRICE_CACHE_MISSING_OR_EMPTY,local_price=missing;factor_pack=missing;technical_timing=missing,,,,
CIEN,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CIFR,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CLF,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CLH,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CLS,TRUE,2026-05-21,2026-05-21T14:09:30,2026-05-21T14:09:30,2026-05-21,SUCCESS_LOCAL_SCAN,V18_23B_20260521_140930,1,1,TRUE,TRUE,TRUE,TRUE,,local_price=available;factor_pack=available;technical_timing=available,,,,
CLSK,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CMG,TRUE,2026-05-21,2026-05-21T22:19:28,2026-05-21T22:19:28,2026-05-21,SUCCESS_LOCAL_PRICE_FULL_HISTORY,V18_23C_R7_20260521_221928,1,3,TRUE,FALSE,FALSE,TRUE,,local_price=available;factor_pack=false;technical_timing=false;source=V18_23C_R7,2026-05-21,V18_23C_R7_BATCH2_LOCAL_ONLY_LEDGER_RETEST,LOCAL_ONLY_BATCH2_ROLLING_COVERAGE_LEDGER_RETEST,R7 local-only official price cache retest; no external fetch.
CNM,TRUE,2026-05-21,2026-05-21T15:15:58,2026-05-21T15:15:58,2026-05-21,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,V18_23C_R3_20260521_151558,1,3,TRUE,FALSE,FALSE,TRUE,,official_cache=available;full_history_ready=TRUE;ledger_updated_by=V18_23C_R3,,,,
