factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
256,SHOP,30.330824,2026-05-29,118.70999908447266,0.183785,-0.056584,-0.057408,-0.251702,0.534291,4.05375,33.333333,2.286067,28.294613,30.330824,23.029667,33.333333,,,V18_35D_RECOMPUTE
257,COGT,30.210588,2026-05-29,34.959999084472656,0.069767,-0.050258,-0.114040,-0.130781,1.226691,32.55825,33.333333,48.446067,23.058161,30.210588,25.172633,33.333333,,,V18_35D_RECOMPUTE
258,ECL,30.03658,2026-05-29,256.0,0.019514,-0.071387,-0.158338,-0.041450,0.864566,45.1215,33.333333,24.3044,23.046871,30.03658,26.673733,33.333333,,,V18_35D_RECOMPUTE
259,CMG,29.971751,2026-05-29,31.860000610351562,-0.007167,-0.060177,-0.150400,-0.063767,0.780944,51.79175,33.333333,18.7296,25.500855,29.971751,26.194433,33.333333,,,V18_35D_RECOMPUTE
260,DUOL,29.834295,2026-05-29,111.36000061035156,0.020201,0.110380,-0.002597,-0.409011,0.77101,44.94975,33.333333,18.067333,47.517347,29.834295,19.613067,33.333333,,,V18_35D_RECOMPUTE
261,BLTE,29.783642,2026-05-29,144.17999267578125,-0.038480,-0.123259,-0.233248,0.112328,1.679045,59.62,33.333333,78.603,0.0,29.783642,29.302667,33.333333,,,V18_35D_RECOMPUTE
262,CRM,29.733895,2026-05-29,191.10000610351562,0.076680,0.025930,0.032080,-0.158558,0.739153,30.83,7.773333,15.943533,36.527706,29.733895,29.1174,7.773333,,,V18_35D_RECOMPUTE
263,DAKT,29.210127,2026-05-29,20.68000030517578,0.044445,0.064882,-0.236055,0.081025,1.097197,38.88875,33.333333,39.813133,45.198056,29.210127,28.165667,33.333333,,,V18_35D_RECOMPUTE
264,AXON,28.982636,2026-05-29,448.7200012207031,0.155929,0.142828,-0.137376,-0.158392,0.822373,11.01775,33.333333,21.491533,52.909648,28.982636,23.4744,33.333333,,,V18_35D_RECOMPUTE
265,SHW,28.943311,2026-05-29,303.8399963378906,0.012462,-0.100267,-0.157171,-0.115948,0.780703,46.8845,33.333333,18.713533,20.286875,28.943311,24.229367,33.333333,,,V18_35D_RECOMPUTE
266,RERE,28.773305,2026-05-29,4.650000095367432,0.076389,-0.027197,-0.223706,0.024229,2.07232,30.90275,33.333333,100.0,23.939852,28.773305,26.6841,33.333333,,,V18_35D_RECOMPUTE
267,SFIX,28.533678,2026-05-29,3.559999942779541,0.163399,-0.075325,0.043988,-0.162353,1.249822,9.15025,0.0,49.988133,17.64286,28.533678,29.387833,0.0,,,V18_35D_RECOMPUTE
268,BKNG,28.499252,2026-05-29,167.42999267578125,0.083830,-0.052730,0.005465,-0.147826,0.975658,29.0425,5.39,31.710533,24.758926,28.499252,28.587967,5.39,,,V18_35D_RECOMPUTE
269,CHYM,28.304225,2026-05-29,18.600000381469727,0.059829,-0.157227,-0.159512,-0.152620,0.697976,35.04275,33.333333,13.1984,15.043221,28.304225,22.928933,33.333333,,,V18_35D_RECOMPUTE
270,RH,28.198452,2026-05-29,148.49000549316406,0.205570,0.079849,-0.204276,-0.057745,1.033346,0.0,33.333333,35.5564,47.085274,28.198452,24.5993,33.333333,,,V18_35D_RECOMPUTE
271,INFY,28.11635,2026-05-29,12.649999618530273,0.084906,-0.022411,-0.111657,-0.273823,1.480688,28.7735,33.333333,65.3792,27.802717,28.11635,20.484,33.333333,,,V18_35D_RECOMPUTE
