factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
157,PI,39.13207,2026-05-21,142.6199951171875,-0.013898,0.17936,0.136233,-0.174701,0.734141,53.4745,37.966,15.6094,55.279255,39.13207,32.051067,37.966,,,STAGED_R25B_RECOMPUTE
158,PM,39.116164,2026-05-21,188.8300018310547,-0.015793,0.116083,-0.005111,0.206659,0.918667,53.94825,33.333333,27.911133,51.106937,39.116164,40.0516,33.333333,,,STAGED_R25B_RECOMPUTE
159,CEG,39.05,2026-05-18,262.0,-0.124405,-0.08747,-0.108809,-0.22286,1.291098,83.809524,,92.380952,8.571429,39.047619,4.761905,17.142857,40.952381,5.714286,NEUTRAL_SHADOW
160,DAL,38.643549,2026-05-20,74.12000274658203,0.043209,0.083467,0.070634,0.192599,1.033537,39.19775,18.930333,35.569133,47.711039,38.643549,42.107767,18.930333,,,V18_35D_RECOMPUTE
161,WAB,38.613403,2026-05-21,255.16000366210938,-0.052964,-0.053034,-0.029108,0.228207,1.070353,63.241,33.333333,38.023533,23.872483,38.613403,39.969967,33.333333,,,STAGED_R25B_RECOMPUTE
162,NVAX,38.595301,2026-05-21,8.979999542236328,-0.039572,0.10184,-0.057713,0.292086,0.747032,59.893,33.333333,16.4688,46.012956,38.595301,41.145767,33.333333,,,STAGED_R25B_RECOMPUTE
163,MA,38.46,2026-05-20,498.040009,0.015082,-0.023757,8e-05,-0.088623,0.878894,40.384615,,26.923077,61.538462,38.461538,40.384615,36.27451,9.615385,48.076923,NEUTRAL_SHADOW
164,LINE,38.221861,2026-05-22,40.880001068115234,0.063199,0.100700,-0.002197,0.141262,0.794706,34.20025,33.333333,19.647067,46.671149,38.221861,37.968833,33.333333,,,V18_35D_RECOMPUTE
165,HPE,38.1,2026-05-18,33.0,0.068999,0.186624,0.554178,0.628291,1.372487,9.52381,16.883117,93.333333,93.333333,38.095238,67.619048,17.142857,27.619048,71.428571,VOLUME_UP_CONFIRM
166,FWONK,37.877691,2026-05-20,90.44000244140625,-0.015458,0.029248,0.037513,-0.039405,0.815473,53.8645,38.486,21.031533,37.308492,37.877691,33.270267,38.486,,,V18_35D_RECOMPUTE
167,PFGC,37.551207,2026-05-21,94.55000305175781,-0.023143,0.047994,0.003183,-0.016436,0.762197,55.78575,41.047667,17.4798,39.430147,37.551207,32.891567,41.047667,,,STAGED_R25B_RECOMPUTE
168,JCI,37.549456,2026-05-20,137.75,-0.042072,-0.014734,-0.048096,0.201483,1.052623,60.518,33.333333,36.841533,30.748442,37.549456,38.446233,33.333333,,,V18_35D_RECOMPUTE
169,IYW,37.14,2026-05-18,236.389999,-0.015206,0.123366,0.225715,0.245424,1.076958,34.285714,18.181818,74.285714,64.761905,37.142857,34.285714,41.904762,5.714286,40.0,NEUTRAL_SHADOW
170,DBVT,37.12921,2026-05-21,18.56999969482422,-0.064012,-0.039814,-0.164642,0.438977,0.734244,66.003,33.333333,15.616267,28.461135,37.12921,42.477833,33.333333,,,STAGED_R25B_RECOMPUTE
171,RSP,37.103167,2026-05-21,203.22000122070312,-0.00216,0.003803,-0.001768,0.066772,1.19441,50.54,33.333333,46.294,34.09039,37.103167,35.500133,33.333333,,,STAGED_R25B_RECOMPUTE
172,KRC,37.015416,2026-05-20,34.25,-0.005517,0.081465,0.104126,-0.204044,0.817953,51.37925,35.172333,21.196867,44.43909,37.015416,30.002733,35.172333,,,V18_35D_RECOMPUTE
173,FCNCA,36.842606,2026-05-21,1989.47998046875,0.026802,0.006633,-0.003117,0.052718,0.954491,43.2995,33.333333,30.2994,34.388523,36.842606,34.9867,33.333333,,,STAGED_R25B_RECOMPUTE
174,HLT,36.799972,2026-05-20,323.8699951171875,0.040012,-0.029370,0.035456,0.137464,0.774413,39.997,19.996,18.2942,29.542582,36.799972,39.097333,19.996,,,V18_35D_RECOMPUTE
175,BLSH,36.692342,2026-05-22,35.18000030517578,-0.013460,-0.119399,0.074855,-0.193489,0.982676,53.365,37.82,32.1784,13.778245,36.692342,29.378867,37.82,,,V18_35D_RECOMPUTE
176,WLK,36.612205,2026-05-21,88.0999984741211,-0.037474,-0.215145,-0.145407,0.361248,1.011287,59.3685,33.333333,34.0858,0.0,36.612205,40.528033,33.333333,,,STAGED_R25B_RECOMPUTE
177,ADSK,36.54,2026-05-20,243.630005,0.054538,-0.015915,0.102847,-0.172537,0.97039,19.230769,,48.076923,88.461538,36.538462,42.307692,36.27451,36.538462,63.461538,VOLUME_UP_CONFIRM
178,CPAY,36.523483,2026-05-20,350.4800109863281,0.058053,0.059813,0.034566,0.200356,0.987839,35.48675,13.982333,32.5226,43.180936,36.523483,41.164067,13.982333,,,V18_35D_RECOMPUTE
179,AMC,36.521931,2026-05-21,1.559999942779541,0.164179,-0.065868,0.344828,-0.321739,0.889458,8.95525,0.0,25.963867,23.568863,36.521931,34.102967,0.0,,,STAGED_R25B_RECOMPUTE
180,V,36.253978,2026-05-21,331.1199951171875,0.026665,0.072002,0.057925,-0.007999,1.025725,43.33375,24.445,35.048333,45.642375,36.253978,34.997533,24.445,,,STAGED_R25B_RECOMPUTE
181,IGV,36.19,2026-05-18,92.870003,0.024038,0.07613,0.149666,-0.079766,1.033136,17.142857,,63.809524,85.714286,36.190476,18.095238,17.142857,11.428571,27.619048,VOLUME_UP_CONFIRM
182,EQT,36.091404,2026-05-20,57.83000183105469,0.033971,-0.015157,-0.009930,0.018851,0.900916,41.50725,33.333333,26.727733,31.057469,36.091404,33.6307,33.333333,,,V18_35D_RECOMPUTE
183,WWD,35.762391,2026-05-21,355.760009765625,-0.026409,-0.031998,-0.096092,0.193225,0.801513,56.60225,33.333333,20.100867,29.058865,35.762391,36.5711,33.333333,,,STAGED_R25B_RECOMPUTE
184,EWZ,35.726352,2026-05-20,36.75,-0.000816,-0.094605,-0.068913,0.129032,1.241998,50.204,33.333333,49.466533,13.75013,35.726352,35.3373,33.333333,,,V18_35D_RECOMPUTE
185,XLF,35.704221,2026-05-21,51.72999954223633,0.008579,-0.001351,-0.002699,-0.023041,1.04357,47.85525,33.333333,36.238,33.098356,35.704221,32.475333,33.333333,,,STAGED_R25B_RECOMPUTE
186,DIS,35.618672,2026-05-20,104.08000183105469,-0.007817,-0.007060,-0.018576,0.007453,0.875232,51.95425,33.333333,25.015467,32.303477,35.618672,32.962567,33.333333,,,V18_35D_RECOMPUTE
187,UBER,35.415384,2026-05-21,73.30500030517578,-0.018543,-0.018675,0.006522,-0.144233,0.82696,54.63575,39.514333,21.797333,30.75942,35.415384,28.742967,39.514333,,,STAGED_R25B_RECOMPUTE
188,SCCO,35.405326,2026-05-21,176.0,-0.066313,-0.024636,-0.173978,0.34693,0.755867,66.57825,33.333333,17.0578,30.229743,35.405326,39.0984,33.333333,,,STAGED_R25B_RECOMPUTE
189,PINS,35.367012,2026-05-21,18.780000686645508,-0.013137,-0.051036,0.068867,-0.265546,0.672729,53.28425,37.712333,11.515267,27.6111,35.367012,26.777367,37.712333,,,STAGED_R25B_RECOMPUTE
190,MSFT,35.24,2026-05-18,423.540009,0.026366,0.013084,0.066234,-0.10085,1.020746,15.238095,,60.952381,86.666667,35.238095,13.333333,17.142857,9.52381,16.190476,VOLUME_UP_CONFIRM
191,FIGR,35.095162,2026-05-22,33.95000076293945,-0.215573,0.055988,-0.002644,-0.063190,0.820991,100.0,33.333333,21.3994,40.994274,35.095162,31.138867,33.333333,,,V18_35D_RECOMPUTE
192,PGNY,35.063445,2026-05-21,24.809999465942383,0.084827,0.404075,0.16315,-0.070787,0.851269,28.79325,5.057667,23.417933,90.662754,35.063445,36.4121,5.057667,,,STAGED_R25B_RECOMPUTE
193,CART,34.62,2026-05-20,41.299999,0.033792,-0.051447,0.138055,-0.021095,0.903539,25.0,,32.692308,75.0,34.615385,65.384615,36.27451,59.615385,67.307692,VOLUME_UP_CONFIRM
194,QQQ,34.29,2026-05-18,705.880005,-0.010388,0.091359,0.160904,0.199316,1.107314,31.428571,15.584416,79.047619,68.571429,34.285714,28.571429,36.190476,1.904762,33.333333,NEUTRAL_SHADOW
195,SCHW,33.862721,2026-05-21,89.91500091552734,0.005311,0.01119,-0.057,-0.020534,0.962176,48.67225,33.333333,30.811733,35.127792,33.862721,30.748867,33.333333,,,STAGED_R25B_RECOMPUTE
196,UPST,33.797619,2026-05-21,28.850000381469727,-0.028946,-0.120963,0.014416,-0.314075,1.014627,57.2365,42.982,34.308467,12.877946,33.797619,23.3447,42.982,,,STAGED_R25B_RECOMPUTE
197,LHX,33.547041,2026-05-20,309.1499938964844,0.013839,-0.067871,-0.127360,0.118771,0.787473,46.54025,33.333333,19.164867,24.42557,33.547041,33.047033,33.333333,,,V18_35D_RECOMPUTE
198,BTDR,33.33,2026-05-18,13.15,-0.001519,0.00921,0.690231,0.27794,1.280613,28.571429,41.558442,90.47619,72.380952,33.333333,52.380952,35.238095,92.380952,80.952381,NEUTRAL_SHADOW
199,CVNA,33.304029,2026-05-21,64.38999938964844,-0.073925,-0.201156,-0.03864,-0.099012,0.90998,68.48125,33.333333,27.332,2.825344,33.304029,28.744933,33.333333,,,STAGED_R25B_RECOMPUTE
200,TLN,32.954825,2026-05-22,366.2513122558594,0.095773,0.005301,-0.061014,-0.071065,0.96246,26.05675,33.333333,30.830667,34.183667,32.954825,28.9307,33.333333,,,STAGED_R27F_RECOMPUTE
201,DB,32.711306,2026-05-20,32.869998931884766,0.031701,0.013255,-0.075387,-0.054373,1.089769,42.07475,33.333333,39.317933,35.740815,32.711306,29.008,33.333333,,,V18_35D_RECOMPUTE
202,BKNG,32.69,2026-05-20,156.949997,0.012385,-0.125139,-0.035592,-0.200253,0.926184,42.307692,,36.538462,59.615385,32.692308,25.0,36.27451,15.384615,32.692308,NEUTRAL_SHADOW
203,DASH,32.673833,2026-05-20,160.72999572753906,0.078218,-0.118176,-0.022205,-0.177810,1.067078,30.4455,33.333333,37.8052,12.316165,32.673833,26.666167,33.333333,,,V18_35D_RECOMPUTE
204,RTX,32.628132,2026-05-21,175.10000610351562,-0.003301,-0.023424,-0.106541,0.011028,0.892395,50.82525,33.333333,26.159667,29.849423,32.628132,30.149567,33.333333,,,STAGED_R25B_RECOMPUTE
205,COF,32.57369,2026-05-20,187.22999572753906,0.031343,-0.061174,-0.047466,-0.126929,1.014396,42.16425,33.333333,34.293067,22.99089,32.57369,27.520167,33.333333,,,V18_35D_RECOMPUTE
206,ANET,32.38,2026-05-18,141.710007,0.038701,-0.150674,0.067174,0.206762,0.998863,12.380952,,57.142857,90.47619,32.380952,26.666667,17.142857,59.047619,17.142857,VOLUME_UP_CONFIRM
