"ticker","symbol","run_time_jst","source_file","compat_status"
"COHR","COHR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"COHU","COHU","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CORZ","CORZ","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CRDO","CRDO","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CRM","CRM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CRWD","CRWD","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CRWV","CRWV","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"CSCO","CSCO","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"D","D","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"DDOG","DDOG","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"DELL","DELL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ECL","ECL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ENTG","ENTG","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ETN","ETN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ETR","ETR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"FIX","FIX","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"FLEX","FLEX","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"FLR","FLR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"FN","FN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"FORM","FORM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"GEV","GEV","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"GLW","GLW","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"GNRC","GNRC","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"GOOGL","GOOGL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"HPE","HPE","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"HUBB","HUBB","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ICHR","ICHR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"IGV","IGV","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"INTC","INTC","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"IRDM","IRDM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"IREN","IREN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"IYW","IYW","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"JBL","JBL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"KEYS","KEYS","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"KLAC","KLAC","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"KLIC","KLIC","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"LITE","LITE","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"LRCX","LRCX","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MCHP","MCHP","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MDB","MDB","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"META","META","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MKSI","MKSI","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MOD","MOD","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MPWR","MPWR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MRVL","MRVL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MSFT","MSFT","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"MU","MU","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NET","NET","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NOW","NOW","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NTAP","NTAP","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NVDA","NVDA","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NVT","NVT","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"NXPI","NXPI","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ON","ON","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ORCL","ORCL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"PANW","PANW","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"PLTR","PLTR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"POWL","POWL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"PSTG","PSTG","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"PWR","PWR","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"QCOM","QCOM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"QQQ","QQQ","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SANM","SANM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SMCI","SMCI","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SMH","SMH","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SNDK","SNDK","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SNOW","SNOW","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SOXL","SOXL","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SOXX","SOXX","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"SPY","SPY","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"STX","STX","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"TER","TER","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"TQQQ","TQQQ","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"TSLA","TSLA","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"TSM","TSM","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"TXN","TXN","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"VECO","VECO","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"VRT","VRT","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"VST","VST","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"WDC","WDC","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"XLK","XLK","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
"ZS","ZS","2026-05-30 22:35:32","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","OK_V18_RAW105_TO_V17_SCREENED_TICKERS"
