ticker,selected_price_source,source_type,latest_date,latest_close,row_count,has_volume,history_depth_days,history_depth_trading_rows,factor_scope_class,can_compute_return_20d,can_compute_return_60d,can_compute_sma20,can_compute_sma50,can_compute_sma200,can_compute_52w_high,can_compute_realized_vol_20d,can_compute_realized_vol_60d,can_compute_volume_surge,can_compute_buy_zone,can_compute_relative_strength_vs_qqq
CLSK,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CMG,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CNM,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COF,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COG,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COGT,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COHR,D:\us-tech-quant\state\v18\price_cache\COHR.csv,STATE_V18_PRICE_CACHE,2026-05-15,387.089996,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
COHU,D:\us-tech-quant\state\v18\price_cache\COHU.csv,STATE_V18_PRICE_CACHE,2026-05-15,46.980000,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CORZ,D:\us-tech-quant\state\v18\price_cache\CORZ.csv,STATE_V18_PRICE_CACHE,2026-05-15,23.815001,580,TRUE,580,580,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CPAY,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CPNG,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRCL,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRDO,D:\us-tech-quant\state\v18\price_cache\CRDO.csv,STATE_V18_PRICE_CACHE,2026-05-15,175.770004,1079,TRUE,1079,1079,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CRH,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRM,D:\us-tech-quant\state\v18\price_cache\CRM.csv,STATE_V18_PRICE_CACHE,2026-05-15,173.235001,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CRS,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
