ticker,latest_date,latest_close,return_20d,return_60d,qqq_return_20d,qqq_return_60d,relative_strength_20d_vs_qqq,relative_strength_60d_vs_qqq,sma20,sma50,sma200,distance_to_20dma,distance_to_50dma,distance_to_200dma,rolling_52w_high,drawdown_from_52w_high,realized_volatility_20d,realized_volatility_60d,avg_volume_20d,volume_surge_20d,breakout_20d,breakout_60d,breakout_volume_confirmed,ma_alignment_label,ma_slope_20d,ma_slope_50d,ma_slope_200d,ma_slope_label,nearest_buy_zone_distance,buy_zone_label,price_factor_data_status,price_source_path
BTDR,2026-05-15,13.090000,0.015516,0.648615,0.094860,0.177192,-0.079344,0.471423,12.639500,10.599500,13.348025,0.035642,0.234964,-0.019331,25.900000,-0.494595,1.100913,0.904758,6695983.00,0.492842,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,0.024001,0.056453,-0.001283,MIXED_MA_SLOPES,0.035642,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\BTDR.csv
BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
BYND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CAMT,2026-05-15,170.535004,-0.051424,0.113225,0.094860,0.177192,-0.146284,-0.063967,188.442751,173.912500,130.331175,-0.095030,-0.019421,0.308474,207.460007,-0.177986,0.884546,0.736149,463016.90,0.492289,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.000733,0.006984,0.015873,MIXED_MA_SLOPES,-0.019421,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CAMT.csv
CARR,2026-05-15,64.574997,0.053082,0.026303,0.094860,0.177192,-0.041778,-0.150889,64.364750,60.642300,59.611875,0.003266,0.064851,0.083257,80.730003,-0.200112,0.433762,0.458304,6027114.40,0.182822,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.015585,0.005780,-0.004335,MIXED_MA_SLOPES,0.003266,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CARR.csv
CART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CDTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CEG,2026-05-15,268.739990,-0.092738,-0.078585,0.094860,0.177192,-0.187598,-0.255777,299.437502,297.455399,325.830975,-0.102517,-0.096537,-0.175217,403.950012,-0.334720,0.539033,0.508238,3128723.25,0.410508,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.010938,-0.014880,-0.003689,FALLING_MA_SLOPES,-0.096537,BELOW_KEY_SUPPORT,OK,D:\us-tech-quant\state\v18\price_cache\CEG.csv
CFLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CHPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CHRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CHYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CIEN,2026-05-15,570.059998,0.123426,0.790333,0.094860,0.177192,0.028566,0.613141,535.408998,461.080601,260.934900,0.064719,0.236357,1.184683,591.570007,-0.036361,0.640881,0.787923,1924753.30,0.378836,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.046182,0.055866,0.049213,RISING_MA_SLOPES,-0.036361,BREAKOUT_NEAR,OK,D:\us-tech-quant\state\v18\price_cache\CIEN.csv
CIFR,2026-05-15,20.584999,0.062726,0.302848,0.094860,0.177192,-0.032134,0.125656,19.418500,16.727800,15.157050,0.060072,0.230586,0.358114,24.709999,-0.166936,1.040877,0.983382,26215919.85,0.405643,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.036109,0.033607,0.025037,RISING_MA_SLOPES,0.060072,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CIFR.csv
CLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CLS,2026-05-15,363.459991,-0.082195,0.247589,0.094860,0.177192,-0.177055,0.070397,394.109497,338.187399,291.978400,-0.077769,0.074730,0.244818,422.209991,-0.139149,0.783028,0.722789,2333965.30,0.341224,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,-0.004725,0.032650,0.016726,MIXED_MA_SLOPES,0.074730,NEAR_50DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CLS.csv
CLSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
COF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
COGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
