ticker,factor_scope_class,mapping_status,score_scope,full_factor_score_ready,light_factor_score_ready,selected_price_source,score_readiness_reason
APO,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
APP,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ARGT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ARM,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ARM.csv,FULL_HISTORY_AVAILABLE
ASML,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ASML.csv,FULL_HISTORY_AVAILABLE
AVGO,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\AVGO.csv,FULL_HISTORY_AVAILABLE
AXON,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BABA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BAC,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BALL,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BE,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\BE.csv,FULL_HISTORY_AVAILABLE
BIDU,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BITF,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BKNG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BLSH,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BLTE,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BN,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BSX,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BTDR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\BTDR.csv,FULL_HISTORY_AVAILABLE
BW,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
BYND,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CAI,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CAMT,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CAMT.csv,FULL_HISTORY_AVAILABLE
CARR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CARR.csv,FULL_HISTORY_AVAILABLE
CART,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CDNS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CDTX,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CEG,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CEG.csv,FULL_HISTORY_AVAILABLE
CFLT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CHPT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CHRW,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CHYM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CIEN,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CIEN.csv,FULL_HISTORY_AVAILABLE
CIFR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CIFR.csv,FULL_HISTORY_AVAILABLE
CLF,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CLH,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CLS,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CLS.csv,FULL_HISTORY_AVAILABLE
CLSK,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CMG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CNM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
COF,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
COG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
COGT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
COHR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\COHR.csv,FULL_HISTORY_AVAILABLE
COHU,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\COHU.csv,FULL_HISTORY_AVAILABLE
CORZ,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CORZ.csv,FULL_HISTORY_AVAILABLE
CPAY,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CPNG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CRCL,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CRDO,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CRDO.csv,FULL_HISTORY_AVAILABLE
CRH,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CRM,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CRM.csv,FULL_HISTORY_AVAILABLE
CRS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CRWD,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CRWD.csv,FULL_HISTORY_AVAILABLE
CRWV,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CRWV.csv,FULL_HISTORY_AVAILABLE
CSCO,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\CSCO.csv,FULL_HISTORY_AVAILABLE
CSGP,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
CVNA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
D,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\D.csv,FULL_HISTORY_AVAILABLE
DAKT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DAL,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DASH,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DB,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DBVT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DDOG,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\DDOG.csv,FULL_HISTORY_AVAILABLE
DELL,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\DELL.csv,FULL_HISTORY_AVAILABLE
DIS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DOCU,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
DUOL,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ECL,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ECL.csv,FULL_HISTORY_AVAILABLE
EEM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ENPH,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ENTG,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ENTG.csv,FULL_HISTORY_AVAILABLE
EQIX,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
EQT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ET,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ETN,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ETN.csv,FULL_HISTORY_AVAILABLE
ETR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ETR.csv,FULL_HISTORY_AVAILABLE
EWY,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
EWZ,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
FCNCA,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
FIGR,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
FIX,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\FIX.csv,FULL_HISTORY_AVAILABLE
FLEX,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\FLEX.csv,FULL_HISTORY_AVAILABLE
FLR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\FLR.csv,FULL_HISTORY_AVAILABLE
FLS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
FLUT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
FN,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\FN.csv,FULL_HISTORY_AVAILABLE
FORM,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\FORM.csv,FULL_HISTORY_AVAILABLE
FWONK,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GEHC,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GEMI,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GEV,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\GEV.csv,FULL_HISTORY_AVAILABLE
GLW,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\GLW.csv,FULL_HISTORY_AVAILABLE
GNRC,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\GNRC.csv,FULL_HISTORY_AVAILABLE
GOOG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GOOGL,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\GOOGL.csv,FULL_HISTORY_AVAILABLE
GRAB,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GSG,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
GT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HIVE,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HLT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HOOD,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HPE,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\HPE.csv,FULL_HISTORY_AVAILABLE
HTZ,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HUBB,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\HUBB.csv,FULL_HISTORY_AVAILABLE
HUBS,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HUM,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
HUT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
IBIT,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
ICHR,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\ICHR.csv,FULL_HISTORY_AVAILABLE
IGV,FULL_HISTORY_FACTOR_READY,MAPPED_FULL_HISTORY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,D:\us-tech-quant\state\v18\price_cache\IGV.csv,FULL_HISTORY_AVAILABLE
INFY,NO_LOCAL_PRICE_DATA,NO_CANDIDATE_SOURCE_FOUND,NOT_SCORE_READY,FALSE,FALSE,,NO_LOCAL_PRICE_EVIDENCE
