ticker,relative_strength_score,trend_structure_score,buy_zone_score,volume_confirmation_score,volatility_risk_score,price_derived_total_score,price_derived_status,score_ready,fatal_factor_fail,partial_degraded,scoring_degradation_reason,score_component_available_count,score_component_total_count,score_coverage_ratio
CART,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CDNS,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CDTX,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CEG,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT,TRUE,FALSE,FALSE,,5,5,1.000000
CFLT,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CHPT,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CHRW,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CHYM,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CIEN,3,3,1,0,-1,6,STRONG_TREND_NEAR_BUY_ZONE,TRUE,FALSE,FALSE,,5,5,1.000000
CIFR,1,3,2,0,-2,4,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
CLF,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CLH,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CLS,0,0,2,0,-2,0,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
CLSK,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CMG,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CNM,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
COF,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
COG,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
COGT,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
COHR,3,3,-2,0,-2,2,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
COHU,3,1,2,0,-1,5,NEUTRAL_PRICE_STRUCTURE,TRUE,FALSE,FALSE,,5,5,1.000000
CORZ,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE,TRUE,FALSE,FALSE,,5,5,1.000000
CPAY,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CPNG,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CRCL,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CRDO,1,1,2,0,-2,2,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
CRH,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CRM,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT,TRUE,FALSE,FALSE,,5,5,1.000000
CRS,,,,,,,INSUFFICIENT_HISTORY,FALSE,TRUE,FALSE,MISSING_LOCAL_PRICE_HISTORY;INSUFFICIENT_RETURN_HISTORY;MISSING_200DMA_HISTORY;MISSING_52W_HIGH_HISTORY;VOLUME_MISSING,0,5,0.000000
CRWD,4,-1,-2,-1,0,0,BREAKOUT_NO_VOLUME,TRUE,FALSE,FALSE,,5,5,1.000000
CRWV,-2,-2,2,0,-2,-4,HIGH_VOL_CAUTION,TRUE,FALSE,FALSE,,5,5,1.000000
