input_name,input_path,input_exists,parsed_row_count,parsed_ticker_count,key_columns_detected,date_columns_detected,score_columns_detected,horizon_columns_detected,usable_for_backtest_design,usable_for_backtest_execution_now,readiness_status,blocking_reason,notes
PRICE_DERIVED_FACTOR_SCORES,D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R1_CURRENT_PRICE_DERIVED_FACTOR_SCORES.csv,TRUE,325,325,ticker,,relative_strength_score;trend_structure_score;buy_zone_score;volume_confirmation_score;volatility_risk_score;price_derived_total_score;score_ready;score_component_available_count;score_component_total_count;score_coverage_ratio,,TRUE,FALSE,DEGRADED_MISSING_FULL_HISTORY,Full-history coverage is incomplete.,Read-only audit; no data fetched or modified.
FACTOR_SCOPE_SUMMARY,D:\us-tech-quant\outputs\v18\price_factors\V18_21A_R3_CURRENT_FACTOR_SCOPE_SUMMARY.csv,TRUE,325,325,ticker,,score_scope;full_factor_score_ready;light_factor_score_ready;score_readiness_reason,,TRUE,FALSE,DEGRADED_MISSING_FULL_HISTORY,Full-history coverage is incomplete.,Read-only audit; no data fetched or modified.
TECHNICAL_TIMING,D:\us-tech-quant\outputs\v18\technical_timing\V18_6A_CURRENT_TECHNICAL_TIMING.csv,TRUE,105,105,ticker;yf_ticker,price_date;vix_date,technical_timing_score;iv_rank_proxy,,TRUE,FALSE,READY_FOR_DESIGN,,Read-only audit; no data fetched or modified.
FACTOR_PACK_RANKING,D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,TRUE,105,105,ticker,latest_price_date,factor_pack_rank;factor_pack_score;F010_XSEC_COMPOSITE_RANK,,TRUE,FALSE,READY_FOR_DESIGN,,Read-only audit; no data fetched or modified.
EVENT_ADJUSTED_CANDIDATES,D:\us-tech-quant\outputs\v18\event_risk\V18_21E_R1_CURRENT_EVENT_ADJUSTED_CANDIDATES.csv,TRUE,325,325,ticker;signal_snapshot_id;calendar_ticker_event_risk_coefficient,asof_date;composite_candidate_score,raw_research_score;factor_pack_score;composite_candidate_score;price_derived_total_score;technical_timing_score;calendar_market_event_risk_coefficient;calendar_ticker_event_risk_coefficient;hard_lock_overlay_advisory_coefficient;final_advisory_event_risk_coefficient;event_adjusted_score_calendar_only;event_adjusted_score_with_advisory_overlay;event_adjusted_rank_calendar_only;event_adjusted_rank_with_advisory_overlay,,TRUE,FALSE,READY_FOR_DESIGN,,Read-only audit; no data fetched or modified.
MARKET_EVENT_RISK_SEMANTICS,D:\us-tech-quant\outputs\v18\event_risk\V18_21E_R1_CURRENT_MARKET_EVENT_RISK_SEMANTICS.csv,TRUE,1,0,,asof_date,calendar_market_event_risk_coefficient;hard_lock_overlay_advisory_coefficient;final_advisory_market_event_risk_coefficient;coefficient_semantics_status,,TRUE,FALSE,READY_FOR_DESIGN,,Read-only audit; no data fetched or modified.
FORWARD_TRACKER_SHADOW,D:\us-tech-quant\outputs\v18\forward_tracker\V18_21D_R1_CURRENT_UPGRADED_FORWARD_TRACKER_SHADOW.csv,TRUE,525,105,snapshot_date;ticker;signal_snapshot_id;forward_tracker_link_key;simulation_link_key;manual_feedback_link_key;source_snapshot_path;source_signal_snapshot_row_found;source_signal_snapshot_quality_status;link_key_completeness_status,snapshot_date;planned_outcome_date,,planned_horizon;forward_return;forward_return_status,TRUE,FALSE,DEGRADED_MISSING_FORWARD_RETURNS,Forward returns remain pending.,Read-only audit; no data fetched or modified.
FORWARD_OUTCOME_ELIGIBILITY_AUDIT,D:\us-tech-quant\outputs\v18\forward_tracker\V18_21G_CURRENT_FORWARD_OUTCOME_ELIGIBILITY_AUDIT.csv,TRUE,525,105,snapshot_date;ticker;signal_snapshot_id;forward_tracker_link_key;simulation_link_key;manual_feedback_link_key,snapshot_date;planned_outcome_date;entry_price_date;outcome_price_date;latest_local_price_date,,planned_horizon;forward_return_current_value;forward_return_status_current;horizon_matured;dryrun_forward_return_preview,TRUE,FALSE,DEGRADED_MISSING_FORWARD_RETURNS,Forward returns remain pending.,Read-only audit; no data fetched or modified.
BATCH1_STAGED_BACKFILL_MANIFEST,D:\us-tech-quant\outputs\v18\price_factors\V18_21H_R1_CURRENT_BATCH1_STAGED_BACKFILL_REQUEST_MANIFEST.csv,TRUE,25,25,ticker,required_start_date;required_end_date,priority_score;current_score_ready;current_score_scope;required_history_days_for_full_score;minimum_history_days_for_light_score,,TRUE,FALSE,DEGRADED_MISSING_FULL_HISTORY,Full-history coverage is incomplete.,Read-only audit; no data fetched or modified.
BATCH1_COVERAGE_IMPACT_PROJECTION,D:\us-tech-quant\outputs\v18\price_factors\V18_21H_R1_CURRENT_BATCH1_COVERAGE_IMPACT_PROJECTION.csv,TRUE,4,0,batch1_ticker_count;projected_missing_history_ticker_count,,projected_score_ready_ratio,,TRUE,FALSE,READY_FOR_DESIGN,,Read-only audit; no data fetched or modified.
