summary_type,ticker,current_tier,current_score,data_readiness_status,held_out_status,current_tier_reason,count,detail_path
SAMPLE,BN,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,BSX,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,BW,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,BYND,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CAI,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CART,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CDNS,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CDTX,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CFLT,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CHPT,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CHRW,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CHYM,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CLF,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CLH,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CLSK,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CMG,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CNM,TIER_0_DATA_NOT_READY,,PRICE_AND_FULL_HISTORY_READY,,NO_USABLE_SCORE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,COF,TIER_0_DATA_NOT_READY,,PRICE_AND_FULL_HISTORY_READY,,NO_USABLE_SCORE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,COG,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,HOLD_EMPTY_FETCH,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,COGT,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,HOLD_SUSPICIOUS_PRICE_DATA,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CPAY,TIER_0_DATA_NOT_READY,,PRICE_AND_FULL_HISTORY_READY,,NO_USABLE_SCORE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CPNG,TIER_0_DATA_NOT_READY,,PRICE_AND_FULL_HISTORY_READY,,NO_USABLE_SCORE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CRCL,TIER_0_DATA_NOT_READY,,DATA_NOT_READY,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,NO_USABLE_SCORE;LOCAL_PRICE_NOT_AVAILABLE;HELD_OUT_BY_BACKFILL_QUALITY,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
SAMPLE,CRH,TIER_0_DATA_NOT_READY,,PRICE_AND_FULL_HISTORY_READY,,NO_USABLE_SCORE,,D:\us-tech-quant\outputs\v18\tier_migration\V18_24A_CURRENT_DATA_NOT_READY_OR_BLOCKED.csv
