"ticker","comparison_layer","old_in_stable","current_in_latest","delta_status","current_semantic_layer","current_price_status","current_latest_price_date","current_latest_close","current_manual_review_decision","current_special_tag","current_inferred_exclusion_reason"
"CLS","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","358.54998779296875","","",""
"COHR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","382.4500122070313","","",""
"COHU","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","47.13999938964844","","",""
"CORZ","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","24.209999084472656","","",""
"CRDO","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","172.1699981689453","","",""
"CRM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","173.50999450683594","","",""
"CRWD","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","594.0800170898438","","",""
"CRWV","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","107.3000030517578","BLOCK","",""
"CSCO","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","118.20999908447266","","",""
"D","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","61.72999954223633","","",""
"DDOG","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","207.97999572753903","","",""
"DELL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","241.9900054931641","","",""
"ECL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","247.6199951171875","","",""
"ENTG","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","133.07000732421875","","",""
"ETN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","399.4400024414063","","",""
"ETR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","109.02999877929688","","",""
"FIX","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1992.739990234375","","",""
"FLEX","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","137.86000061035156","","",""
"FLR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","44.36000061035156","WATCH","",""
"FN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","722.0399780273438","","",""
"FORM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","126.2699966430664","","",""
"GEV","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1049.22998046875","","",""
"GLW","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","191.80999755859372","","",""
"GNRC","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","263.67999267578125","","",""
"GOOGL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","396.7799987792969","","",""
"HPE","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","33.099998474121094","","",""
"HUBB","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","479.9700012207031","","",""
"ICHR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","73.2699966430664","","",""
"IGV","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","91.77999877929688","","",""
"INTC","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","108.7699966430664","","",""
"IRDM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","41.619998931884766","","",""
"IREN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","52.93999862670898","","",""
"IYW","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","238.8000030517578","","",""
"JBL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","339.82000732421875","","",""
"KEYS","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","349.010009765625","","",""
"KLAC","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1804.3199462890625","","",""
"KLIC","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","102.04000091552734","","",""
"LITE","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","970.7000122070312","","",""
"LRCX","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","284.7200012207031","","",""
"MCHP","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","93.8499984741211","","",""
"MDB","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","312.1600036621094","WATCH","",""
"META","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","614.22998046875","","",""
"MKSI","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","303.1700134277344","","",""
"MOD","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","271.260009765625","","",""
"MPWR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1550.02001953125","","",""
"MRVL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","176.88999938964844","","",""
"MSFT","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","421.9200134277344","","",""
"MU","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","724.6599731445312","","",""
"NET","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","197.55999755859372","WATCH","",""
"NOW","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","95.06999969482422","","",""
"NTAP","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","119.93000030517578","","",""
"NVDA","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","225.32000732421875","","",""
"NVT","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","169.00999450683594","","",""
"NXPI","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","291.5","","",""
"ON","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","113.11000061035156","","",""
"ORCL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","192.9499969482422","","",""
"PANW","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","242.8300018310547","","",""
"PLTR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","133.99000549316406","","",""
"POWL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","292.6499938964844","","",""
"PSTG","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","81.18000030517578","","",""
"PWR","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","769.989990234375","","",""
"QCOM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","201.4900054931641","","",""
"QQQ","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","708.9299926757812","","BENCHMARK_OR_CORE_ETF",""
"SANM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","235.33999633789065","","",""
"SMCI","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","31.040000915527344","","",""
"SMH","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","556.3400268554688","","BENCHMARK_OR_CORE_ETF",""
"SNDK","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1407.6099853515625","","",""
"SNOW","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","157.47000122070312","WATCH","",""
"SOXL","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","164.17999267578125","","LEVERAGED_ETF_WATCH_ONLY",""
"SOXX","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","508.5199890136719","","BENCHMARK_OR_CORE_ETF",""
"SPY","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","739.1699829101562","","BENCHMARK_OR_CORE_ETF",""
"STX","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","795.469970703125","","",""
"TER","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","337.8800048828125","","",""
"TQQQ","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","75.33999633789062","","LEVERAGED_ETF_WATCH_ONLY",""
"TSLA","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","422.239990234375","","",""
"TSM","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","404.3500061035156","","",""
"TXN","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","302.7300109863281","","",""
"VECO","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","58.63999938964844","","",""
"VRT","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","370.9400024414063","","",""
"VST","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","139.67999267578125","","",""
"WDC","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","482.0199890136719","","",""
"XLK","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","176.25999450683594","","BENCHMARK_OR_CORE_ETF",""
"ZS","MAIN_COMPUTE","False","True","ADDED_TO_MAIN_COMPUTE","MAIN_COMPUTE_UNIVERSE","OK_EXISTING_LOCAL_PRICE","2026-05-15","161.0500030517578","WATCH","",""
"AAPL","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","300.2300109863281","","",""
"ACLS","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","155.17999267578125","","",""
"ACM","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","71.30999755859375","WATCH","",""
"ACMR","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","63.66999816894531","","",""
"AEHR","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","99.5","","",""
"ALAB","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","232.67999267578125","","",""
"AMAT","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","436.6199951171875","","",""
"AMD","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","424.1000061035156","","",""
"AMKR","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","70.3499984741211","","",""
"AMZN","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","264.1400146484375","","",""
"ANET","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","141.97000122070312","WATCH","",""
"APH","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","125.0","","",""
"ARM","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","209.16000366210935","WATCH","",""
"ASML","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","1501.81005859375","","",""
"AVGO","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","425.1900024414063","","",""
"BE","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","275.95001220703125","BLOCK","",""
"BTDR","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","13.350000381469728","","",""
"CAMT","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","168.35000610351562","","",""
"CARR","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","64.66999816894531","","",""
"CEG","SECOND_STAGE","False","True","ADDED_TO_SECOND_STAGE","SECOND_STAGE_CANDIDATE","OK_EXISTING_LOCAL_PRICE","2026-05-15","267.20001220703125","","",""
