ticker,refresh_status,latest_price_date,latest_close,latest_volume,source,error,run_time,raw_index,freshness_status
ENTG,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,140.27499389648438,470783.0,yfinance,,2026-05-27 22:48:10,36,OK_LATEST_AVAILABLE
ETN,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,396.4949951171875,322647.0,yfinance,,2026-05-27 22:48:10,37,OK_LATEST_AVAILABLE
ETR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,111.13939666748047,79105.0,yfinance,,2026-05-27 22:48:10,38,OK_LATEST_AVAILABLE
FIX,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,1838.2550048828125,31091.0,yfinance,,2026-05-27 22:48:10,39,OK_LATEST_AVAILABLE
FLEX,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,140.3809051513672,259417.0,yfinance,,2026-05-27 22:48:10,40,OK_LATEST_AVAILABLE
FLR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,46.255001068115234,86955.0,yfinance,,2026-05-27 22:48:10,41,OK_LATEST_AVAILABLE
FN,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,658.8300170898438,44960.0,yfinance,,2026-05-27 22:48:10,42,OK_LATEST_AVAILABLE
FORM,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,131.91000366210938,216610.0,yfinance,,2026-05-27 22:48:10,43,OK_LATEST_AVAILABLE
GEV,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,1020.4749755859375,458959.0,yfinance,,2026-05-27 22:48:10,44,OK_LATEST_AVAILABLE
GLW,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,187.24000549316406,1809168.0,yfinance,,2026-05-27 22:48:10,45,OK_LATEST_AVAILABLE
GNRC,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,270.239990234375,32347.0,yfinance,,2026-05-27 22:48:10,46,OK_LATEST_AVAILABLE
GOOGL,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,389.1700134277344,2539434.0,yfinance,,2026-05-27 22:48:10,47,OK_LATEST_AVAILABLE
HPE,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,37.279998779296875,1154651.0,yfinance,,2026-05-27 22:48:10,48,OK_LATEST_AVAILABLE
HUBB,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,482.20001220703125,53733.0,yfinance,,2026-05-27 22:48:10,49,OK_LATEST_AVAILABLE
ICHR,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,71.94000244140625,120297.0,yfinance,,2026-05-27 22:48:10,50,OK_LATEST_AVAILABLE
IGV,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,93.45999908447266,2349708.0,yfinance,,2026-05-27 22:48:10,51,OK_LATEST_AVAILABLE
INTC,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,117.6449966430664,19012254.0,yfinance,,2026-05-27 22:48:10,52,OK_LATEST_AVAILABLE
IRDM,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,51.0,299456.0,yfinance,,2026-05-27 22:48:10,53,OK_LATEST_AVAILABLE
IREN,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,61.0099983215332,8536224.0,yfinance,,2026-05-27 22:48:10,54,OK_LATEST_AVAILABLE
IYW,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,245.47500610351562,347418.0,yfinance,,2026-05-27 22:48:10,55,OK_LATEST_AVAILABLE
JBL,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,366.4200134277344,58450.0,yfinance,,2026-05-27 22:48:10,56,OK_LATEST_AVAILABLE
KEYS,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,350.3599853515625,76378.0,yfinance,,2026-05-27 22:48:10,57,OK_LATEST_AVAILABLE
KLAC,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,1982.1500244140625,137767.0,yfinance,,2026-05-27 22:48:10,58,OK_LATEST_AVAILABLE
KLIC,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,105.1500015258789,160493.0,yfinance,,2026-05-27 22:48:10,59,OK_LATEST_AVAILABLE
LITE,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,861.9600219726562,1122169.0,yfinance,,2026-05-27 22:48:10,60,OK_LATEST_AVAILABLE
LRCX,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,318.65179443359375,1475261.0,yfinance,,2026-05-27 22:48:10,61,OK_LATEST_AVAILABLE
MCHP,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,96.79000091552734,1262972.0,yfinance,,2026-05-27 22:48:10,62,OK_LATEST_AVAILABLE
MDB,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,300.7799987792969,246744.0,yfinance,,2026-05-27 22:48:10,63,OK_LATEST_AVAILABLE
META,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,611.5999755859375,1247987.0,yfinance,,2026-05-27 22:48:10,64,OK_LATEST_AVAILABLE
MKSI,OK_YFINANCE_LATEST_AVAILABLE,2026-05-27,326.94000244140625,98703.0,yfinance,,2026-05-27 22:48:10,65,OK_LATEST_AVAILABLE
