"ticker","semantic_layer","trade_meaning_cn","in_raw_universe","in_classified_universe","in_main_compute_universe","in_second_stage_candidate","raw_price_ok","price_status","latest_price_date","latest_close","manual_review_decision","previous_full_pipeline_status","special_tag","inferred_exclusion_reason"
"GLW","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","191.80999755859372","","SELECTED_FOR_EXECUTION_REVIEW","",""
"GNRC","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","263.67999267578125","","SELECTED_FOR_EXECUTION_REVIEW","",""
"GOOGL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","396.7799987792969","","SELECTED_FOR_EXECUTION_REVIEW","",""
"HPE","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","33.099998474121094","","SELECTED_FOR_EXECUTION_REVIEW","",""
"HUBB","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","479.9700012207031","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ICHR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","73.2699966430664","","SELECTED_FOR_EXECUTION_REVIEW","",""
"IGV","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","91.77999877929688","","SELECTED_FOR_EXECUTION_REVIEW","",""
"INTC","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","108.7699966430664","","SELECTED_FOR_EXECUTION_REVIEW","",""
"IRDM","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","41.619998931884766","","SELECTED_FOR_EXECUTION_REVIEW","",""
"IREN","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","52.93999862670898","","SELECTED_FOR_EXECUTION_REVIEW","",""
"IYW","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","238.8000030517578","","SELECTED_FOR_EXECUTION_REVIEW","",""
"JBL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","339.82000732421875","","SELECTED_FOR_EXECUTION_REVIEW","",""
"KEYS","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","349.010009765625","","SELECTED_FOR_EXECUTION_REVIEW","",""
"KLAC","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1804.3199462890625","","SELECTED_FOR_EXECUTION_REVIEW","",""
"KLIC","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","102.04000091552734","","SELECTED_FOR_EXECUTION_REVIEW","",""
"LITE","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","970.7000122070312","","SELECTED_FOR_EXECUTION_REVIEW","",""
"LRCX","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","284.7200012207031","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MCHP","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","93.8499984741211","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MDB","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","312.1600036621094","WATCH","SELECTED_FOR_EXECUTION_REVIEW","",""
"META","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","614.22998046875","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MKSI","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","303.1700134277344","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MOD","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","271.260009765625","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MPWR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1550.02001953125","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MRVL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","176.88999938964844","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MSFT","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","421.9200134277344","","SELECTED_FOR_EXECUTION_REVIEW","",""
"MU","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","724.6599731445312","","SELECTED_FOR_EXECUTION_REVIEW","",""
"NET","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","197.55999755859372","WATCH","SELECTED_FOR_EXECUTION_REVIEW","",""
"NOW","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","95.06999969482422","","SELECTED_FOR_EXECUTION_REVIEW","",""
"NTAP","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","119.93000030517578","","SELECTED_FOR_EXECUTION_REVIEW","",""
"NVDA","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","225.32000732421875","","SELECTED_FOR_EXECUTION_REVIEW","",""
"NVT","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","169.00999450683594","","SELECTED_FOR_EXECUTION_REVIEW","",""
"NXPI","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","291.5","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ON","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","113.11000061035156","","SELECTED_FOR_EXECUTION_REVIEW","",""
"ORCL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","192.9499969482422","","SELECTED_FOR_EXECUTION_REVIEW","",""
"PANW","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","242.8300018310547","","SELECTED_FOR_EXECUTION_REVIEW","",""
"PLTR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","133.99000549316406","","SELECTED_FOR_EXECUTION_REVIEW","",""
"POWL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","292.6499938964844","","SELECTED_FOR_EXECUTION_REVIEW","",""
"PSTG","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","81.18000030517578","","SELECTED_FOR_EXECUTION_REVIEW","",""
"PWR","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","769.989990234375","","SELECTED_FOR_EXECUTION_REVIEW","",""
"QCOM","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","201.4900054931641","","SELECTED_FOR_EXECUTION_REVIEW","",""
"QQQ","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","708.9299926757812","","SELECTED_FOR_EXECUTION_REVIEW","BENCHMARK_OR_CORE_ETF",""
"SANM","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","235.33999633789065","","SELECTED_FOR_EXECUTION_REVIEW","",""
"SMCI","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","31.040000915527344","","SELECTED_FOR_EXECUTION_REVIEW","",""
"SMH","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","556.3400268554688","","SELECTED_FOR_EXECUTION_REVIEW","BENCHMARK_OR_CORE_ETF",""
"SNDK","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1407.6099853515625","","SELECTED_FOR_EXECUTION_REVIEW","",""
"SNOW","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","157.47000122070312","WATCH","SELECTED_FOR_EXECUTION_REVIEW","",""
"SOXL","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","164.17999267578125","","SELECTED_FOR_EXECUTION_REVIEW","LEVERAGED_ETF_WATCH_ONLY",""
"SOXX","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","508.5199890136719","","SELECTED_FOR_EXECUTION_REVIEW","BENCHMARK_OR_CORE_ETF",""
"SPY","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","739.1699829101562","","SELECTED_FOR_EXECUTION_REVIEW","BENCHMARK_OR_CORE_ETF",""
"STX","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","795.469970703125","","SELECTED_FOR_EXECUTION_REVIEW","",""
"TER","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","337.8800048828125","","SELECTED_FOR_EXECUTION_REVIEW","",""
"TQQQ","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","75.33999633789062","","SELECTED_FOR_EXECUTION_REVIEW","LEVERAGED_ETF_WATCH_ONLY",""
"TSLA","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","422.239990234375","","SELECTED_FOR_EXECUTION_REVIEW","",""
"TSM","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","404.3500061035156","","SELECTED_FOR_EXECUTION_REVIEW","",""
"TXN","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","302.7300109863281","","SELECTED_FOR_EXECUTION_REVIEW","",""
"VECO","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","58.63999938964844","","SELECTED_FOR_EXECUTION_REVIEW","",""
"VRT","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","370.9400024414063","","SELECTED_FOR_EXECUTION_REVIEW","",""
"VST","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","139.67999267578125","","SELECTED_FOR_EXECUTION_REVIEW","",""
"WDC","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","482.0199890136719","","SELECTED_FOR_EXECUTION_REVIEW","",""
"XLK","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","176.25999450683594","","SELECTED_FOR_EXECUTION_REVIEW","BENCHMARK_OR_CORE_ETF",""
