snapshot_date,ticker,expiration_date,days_to_expiration,dte_bucket,underlying_price,atm_call_mid,atm_put_mid,atm_call_iv,atm_put_iv,atm_straddle_expected_move,atm_straddle_expected_move_pct,iv_sqrt_time_expected_move_pct,selected_expected_move_pct,otm_5_call_iv,otm_5_put_iv,otm_10_call_iv,otm_10_put_iv,put_call_iv_skew,put_call_volume_ratio,put_call_open_interest_ratio,good_contract_count,ok_contract_count,thin_contract_count,unusable_contract_count,dte_bucket_liquidity_status,dte_bucket_options_risk_score,dte_bucket_options_risk_level,calculation_notes
2026-05-28,ICHR,2026-08-21,85,EXTENDED,73.7400,13.5500,12.3000,0.9200,0.9194,25.8500,0.3506,0.4438,0.3506,0.9120,0.9080,0.9148,0.9126,-0.0031,0.1333,0.1942,0,1,5,0,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CRWV,2026-06-05,8,NEAR,104.2700,6.1250,5.8500,0.9189,0.9180,11.9750,0.1148,0.1360,0.1148,0.9180,0.9343,0.9104,0.9604,0.0332,0.3966,0.3389,5,1,0,0,LOW,46.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CRWV,2026-07-02,35,MID,104.2700,11.4500,11.0750,0.8699,0.8618,22.5250,0.2160,0.2681,0.2160,0.8931,0.8655,0.8679,0.8723,-0.0116,0.4375,0.6346,0,2,4,0,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CRWV,2026-07-17,50,FAR,104.2700,13.0750,13.5750,0.8649,0.8500,26.6500,0.2556,0.3173,0.2556,0.8678,0.8355,0.8601,0.8431,-0.0247,0.8514,0.9981,6,0,0,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CRWV,2026-08-21,85,EXTENDED,104.2700,17.9000,17.6250,0.9086,0.8579,35.5250,0.3407,0.4262,0.3407,0.9089,0.8622,0.9070,0.8688,-0.0424,0.4448,1.2935,5,1,0,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETR,2026-06-18,21,MID,111.5100,3.4000,1.6500,0.2656,0.2526,5.0500,0.0453,0.0621,0.0453,0.2531,0.3157,0.3428,0.3818,0.0508,0.2788,0.2552,0,1,3,2,HIGH,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETR,2026-07-17,50,FAR,111.5100,4.8000,2.8250,0.2728,0.2368,7.6250,0.0684,0.0943,0.0684,0.2560,0.2623,0.2449,UNKNOWN,0.0063,0.6154,0.4928,0,1,3,1,HIGH,31.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETR,2026-09-18,113,EXTENDED,111.5100,6.9500,4.8000,0.2682,0.2361,11.7500,0.1054,0.1403,0.1054,0.2534,0.2535,0.2462,0.2706,0.0123,1.0000,0.0559,0,3,3,0,MEDIUM,31.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,COHU,2026-06-18,21,MID,54.9400,4.1500,4.3000,0.7773,0.7944,8.4500,0.1538,0.1885,0.1538,0.7734,0.8062,UNKNOWN,UNKNOWN,0.0327,0.0515,0.0617,0,0,4,0,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,COHU,2026-07-17,50,FAR,54.9400,6.2500,3.9000,0.7688,0.7769,10.1500,0.1847,0.2860,0.1847,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0714,0.0095,0,1,1,0,MEDIUM,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED;SKEW_UNKNOWN
2026-05-28,COHU,2026-08-21,85,EXTENDED,54.9400,8.5500,8.2000,0.8112,0.7720,16.7500,0.3049,0.3820,0.3049,0.7866,0.7854,UNKNOWN,UNKNOWN,-0.0012,0.2143,0.0305,1,1,2,0,MEDIUM,48.75,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,HUBB,2026-06-18,21,MID,484.2500,19.6000,14.9000,0.4195,0.4057,34.5000,0.0712,0.0990,0.0712,0.4014,0.4721,0.4025,0.5078,0.0880,1.4928,5.6449,0,1,5,0,HIGH,53.75,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,HUBB,2026-07-17,50,FAR,484.2500,24.3000,22.7500,0.4090,0.3755,47.0500,0.0972,0.1452,0.0972,0.3984,0.3841,UNKNOWN,0.4095,-0.0143,2.0000,0.6129,0,0,5,0,HIGH,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,HUBB,2026-08-21,85,EXTENDED,484.2500,40.0500,27.5500,0.4404,0.4000,67.6000,0.1396,0.2028,0.1396,0.4116,0.4063,0.4273,0.4194,-0.0066,0.3333,0.5000,0,0,6,0,HIGH,48.75,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,FN,2026-06-18,21,MID,686.9000,56.9000,55.5500,0.8683,0.8020,112.4500,0.1637,0.2003,0.1637,0.8854,0.8066,0.8602,0.8226,-0.0582,0.6667,0.5706,0,5,1,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,FN,2026-07-17,50,FAR,686.9000,88.6500,74.0000,0.8389,0.7621,162.6500,0.2368,0.2963,0.2368,0.8377,0.7995,0.8256,0.7769,-0.0434,0.1818,0.7674,0,6,0,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CARR,2026-06-05,8,NEAR,64.5100,1.2750,1.0250,0.4648,0.4644,2.3000,0.0357,0.0688,0.0357,0.4839,0.4873,0.5176,0.6289,0.0574,4.5000,0.1750,0,0,5,1,HIGH,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CARR,2026-07-02,35,MID,64.5100,2.4500,UNKNOWN,0.4526,UNKNOWN,UNKNOWN,UNKNOWN,0.1402,0.1402,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0000,0,0,1,0,HIGH,60.00,HIGH,IV_SQRT_TIME_EXPECTED_MOVE_USED;SKEW_UNKNOWN
2026-05-28,CARR,2026-07-17,50,FAR,64.5100,3.6000,3.4500,0.4500,0.3887,7.0500,0.1093,0.1552,0.1093,0.4512,0.4041,0.4236,0.4143,-0.0282,0.1882,0.4429,0,1,5,0,HIGH,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,CARR,2026-09-18,113,EXTENDED,64.5100,6.0000,5.8000,0.4683,0.3993,11.8000,0.1829,0.2414,0.1829,0.4489,0.3999,0.4332,0.4191,-0.0316,1.0000,0.3466,1,4,1,0,LOW,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETN,2026-06-05,8,NEAR,406.3700,11.2000,9.1000,0.4408,0.4160,20.3000,0.0500,0.0634,0.0500,0.4367,0.4461,0.5388,0.5540,0.0122,0.3721,2.5373,0,2,3,1,HIGH,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETN,2026-07-02,35,MID,406.3700,26.4000,13.8500,0.4294,0.4104,40.2500,0.0990,0.1300,0.0990,UNKNOWN,UNKNOWN,UNKNOWN,0.4157,UNKNOWN,3.0000,1.5000,0,0,3,0,HIGH,51.67,HIGH,STRADDLE_EXPECTED_MOVE_USED;SKEW_UNKNOWN
2026-05-28,ETN,2026-07-17,50,FAR,406.3700,22.9500,24.3000,0.4189,0.3871,47.2500,0.1163,0.1492,0.1163,0.4058,0.3836,0.3999,0.3928,-0.0147,0.7403,0.5449,6,0,0,0,LOW,30.00,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,ETN,2026-09-18,113,EXTENDED,406.3700,36.6500,36.6000,0.4360,0.3971,73.2500,0.1803,0.2318,0.1803,0.4280,0.4041,0.4178,0.4097,-0.0160,1.2353,0.1719,0,6,0,0,LOW,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,POWL,2026-06-18,21,MID,295.9400,21.6500,25.5000,0.8108,0.8037,47.1500,0.1593,0.1936,0.1593,0.8147,0.8021,0.7900,0.8151,0.0062,0.4545,0.7589,0,6,0,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,POWL,2026-07-17,50,FAR,295.9400,32.5500,35.9500,0.7801,0.7652,68.5000,0.2315,0.2860,0.2315,0.7646,0.7728,0.7549,0.7832,0.0182,0.0377,0.5520,0,2,4,0,HIGH,55.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,POWL,2026-08-21,85,EXTENDED,295.9400,51.6500,47.8000,0.8890,0.8669,99.4500,0.3360,0.4237,0.3360,0.8763,0.8711,0.8671,0.0000,-0.4362,0.4000,2.1475,0,2,3,1,HIGH,60.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
