priority_rank,ticker,output_bucket,trust_level,composite_score,tier_current,official_price_cache_available,technical_status,rolling_ledger_status,staged_backfill_status,data_gap_reason,likely_upgrade_path,priority_score,priority_reason
48,KKR,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
49,KNX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
50,KRC,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
51,KVYO,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
52,KWEB,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
53,LBRT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
54,LCID,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
55,LHX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
56,LIN,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,TRUE,,SUCCESS_OFFICIAL_CACHE_LEDGER_RETEST,,SCORE_MISSING|TECHNICAL_TIMING_MISSING,UNKNOWN_OR_OTHER_GAP,55,"official_price_present, technical_source_repair_possible"
57,LINE,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,NEEDS_OFFICIAL_INTEGRATION,55,"staged_merge_candidate, official_integration_possible"
58,MNTN,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,NEEDS_OFFICIAL_INTEGRATION,55,"staged_merge_candidate, official_integration_possible"
59,AMC,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
60,APLD,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
61,BW,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
62,BYND,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
63,CDTX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_EMPTY_FETCH,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
64,CFLT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_EMPTY_FETCH,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
65,MPW,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_EMPTY_FETCH,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
66,NVAX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,,TIER_0_DATA_NOT_READY,FALSE,,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,NEEDS_OFFICIAL_INTEGRATION,-30,"hold_or_empty_fetch, official_integration_possible"
