ticker,refresh_attempted,refresh_success,technical_status,formula_compatibility,merge_ready,blocker,input_history_rows,price_date,vix_date,vix_regime
MCK,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
MELI,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
MOH,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
MPLX,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
MTSI,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
MTZ,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NAMS,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NFLX,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NI,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NRG,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NTRA,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
NU,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1115,2026-05-20,2026-05-20,VIX_NORMAL
NUVB,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
OC,TRUE,TRUE,TECHNICAL_FULL_COMPATIBLE_READY,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,TRUE,NONE,1262,2026-05-20,2026-05-20,VIX_NORMAL
