ticker,official_price_cache_available,official_price_cache_row_count,latest_price_date,close_column_available,full_history_ready,rolling_ledger_success,factor_pack_present_current,factor_pack_score_present_current,factor_pack_refresh_input_ready,factor_pack_refresh_blocker,technical_timing_present_current,technical_refresh_input_ready,technical_refresh_blocker,required_history_days_available,estimated_refresh_readiness,recommended_refresh_action,refresh_priority,reason_summary
LPLA,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
LSCC,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
LYB,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
LYFT,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MA,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MCK,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MELI,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MOH,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MPLX,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MTSI,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
MTZ,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NAMS,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NFLX,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NI,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NRG,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NTRA,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NU,TRUE,1115,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1115,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1115; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
NUVB,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
OC,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FACTOR_MARKET_PROXY_HISTORY_MISSING,FALSE,TRUE,NONE,1262,READY_FOR_TECHNICAL_REFRESH_ONLY,READY_FOR_TECHNICAL_REFRESH_ONLY,P2_PARTIAL_REFRESH,Official cache rows=1262; latest_date=2026-05-20; factor_current=NO; technical_current=NO; factor_market_proxy_ready=NO; ledger_success=YES.
