ticker,r6_integration_success,r7_ledger_success,current_output_bucket,current_trust_level,official_rank_allowed,watch_only,trade_allowed,score_available,best_available_score,factor_pack_present,technical_present,technical_status,tier_migration_present,tier_current,official_price_cache_available,rolling_ledger_last_status,rolling_ledger_last_success_date,current_data_gap_reason,promotion_blocker_primary,promotion_blocker_secondary,recommended_next_fix
LYFT,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,57.69,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,38.46,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MCK,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,42.31,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MELI,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,9.62,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MOH,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,76.92,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MPLX,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,59.62,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MTSI,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,86.54,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
MTZ,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,98.08,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NAMS,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,7.69,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NFLX,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,44.23,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NI,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,71.15,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NRG,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,30.77,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NTRA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,26.92,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NU,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,65.38,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
NUVB,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,15.38,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
OC,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,80.77,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
