priority_rank,ticker,output_bucket,trust_level,tier_current,data_gap_reason,rolling_ledger_status,staged_backfill_status,historic_evidence_source,historic_tier,historic_score,priority_score,priority_reason
11,INSM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
12,JBS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
13,JFROG,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
14,KLAR,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
15,OKTA,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
16,OLMA,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
17,OLPX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
18,OPCH,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
19,PATH,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
20,PCOR,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
21,PCT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
22,PDD,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
23,PFGC,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
24,PGNY,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
25,PI,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
26,PINS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
27,PLUG,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
28,PM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
29,PONY,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
30,PSIX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
31,PTGX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
32,PTON,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
33,PUMP,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
34,PYPL,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
35,QS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
36,QSR,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
37,RBLX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
38,RDDT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
39,RERE,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
40,RH,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
41,RIOT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
42,RKT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
43,RNG,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
44,ROKU,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
45,RSP,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
46,RTX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
47,RVMD,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
48,SATS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
49,SCCO,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
50,SCHW,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
51,SE,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
52,SEI,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
53,SFIX,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
54,SFM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
55,SHOP,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
56,SHW,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
57,SITM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
58,SMTC,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
59,SNPS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
60,SOLS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
61,SPOT,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
62,STG,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
63,STM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
64,STUB,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
65,TEAM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
66,TEVA,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
67,TICKERS,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
68,TIGR,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
69,TLN,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
70,TSEM,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
71,TTD,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
72,TTMI,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
73,TTWO,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
74,TWLO,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
75,TWST,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
76,U,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
77,UAL,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
78,UBER,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
79,UNH,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
80,UPST,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
81,USFD,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
82,V,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
83,VEEV,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
84,VIAV,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
85,VIST,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
86,VMC,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
87,WAB,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
88,WDAY,DATA_NOT_READY,NONE,TIER_0_DATA_NOT_READY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,,,,,-5,uniform_missing_local_data
