snapshot_date,ticker,rank,tracking_tier,matched_any_event_source,matched_earnings_source,matched_macro_source,matched_manual_source,matched_seed_source,best_next_earnings_date,best_next_earnings_source,days_to_best_next_earnings,latest_past_earnings_date,latest_past_earnings_source,days_since_latest_past_earnings,nearest_macro_event_date,nearest_macro_event_type,days_to_nearest_macro_event,manual_override_found,seed_row_found,match_status,unknown_reason,recommended_fix
2026-05-28,CARR,11,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,ENTG,12,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,CRWV,13,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,ETR,14,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,COHU,15,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,GEV,16,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,FN,17,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,ETN,18,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,HUBB,19,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
2026-05-28,POWL,20,TIER_3_OCCASIONAL,FALSE,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,UNKNOWN_REVIEW_REQUIRED,MANUAL_SEED_BLANK,CHECK_TICKER_ALIAS
