factor_date,version,ticker,factor_id,factor_name,factor_value,rank_metric,status,reason,official_decision_impact,source,factor_rank,factor_zscore
2026-05-15,V18.1B,ANET,F004,PULLBACK_REPAIR_20D,0.33165476347159306,0.33165476347159306,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,99,-1.8356497063610346
2026-05-15,V18.1B,ANET,F005,DIST_TO_MA20,-0.08302755085001301,-0.11302755085001301,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,76,-0.3557849772120233
2026-05-15,V18.1B,APH,F001,REL_STRENGTH_20D,-0.25656678333099825,-0.25656678333099825,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,103,-1.590032837511135
2026-05-15,V18.1B,APH,F002,REL_STRENGTH_60D,-0.31345294064527807,-0.31345294064527807,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,99,-1.1943903101068765
2026-05-15,V18.1B,APH,F003,VOL_ADJ_MOMENTUM_20D,-4.753574620299589,-4.753574620299589,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,102,-2.033800433738984
2026-05-15,V18.1B,APH,F004,PULLBACK_REPAIR_20D,0.3454289935569784,0.3454289935569784,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,97,-1.8127553577508633
2026-05-15,V18.1B,APH,F005,DIST_TO_MA20,-0.08347934391515599,-0.11347934391515599,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,78,-0.3628988085825532
2026-05-15,V18.1B,ARM,F001,REL_STRENGTH_20D,0.283779856799697,0.283779856799697,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,14,0.9332958850088952
2026-05-15,V18.1B,ARM,F002,REL_STRENGTH_60D,0.6061367432740163,0.6061367432740163,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,17,0.843133141612515
2026-05-15,V18.1B,ARM,F003,VOL_ADJ_MOMENTUM_20D,6.085333710583749,6.085333710583749,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,48,0.16770835607324888
2026-05-15,V18.1B,ARM,F004,PULLBACK_REPAIR_20D,2.462916127523865,2.462916127523865,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,6,1.7067508739642363
2026-05-15,V18.1B,ARM,F005,DIST_TO_MA20,0.10458778344311948,-0.07458778344311948,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,45,0.24947890210071222
2026-05-15,V18.1B,ASML,F001,REL_STRENGTH_20D,0.0017114075506801107,0.0017114075506801107,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,68,-0.38391674637634715
2026-05-15,V18.1B,ASML,F002,REL_STRENGTH_60D,-0.10848838533017946,-0.10848838533017946,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,82,-0.7402528882451482
2026-05-15,V18.1B,ASML,F003,VOL_ADJ_MOMENTUM_20D,4.15451318775233,4.15451318775233,OK,,NONE,V18_FACTOR_LAB_SHADOW_ONLY,66,-0.2244638279511915
